epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737464199.6527638, 1737464199.7387917, 6.941444260120391]","[1737464237.506167, 1737464237.5309324, 4.155390949160554]","[1737464274.2850523, 1737464274.315621, 5.972606078624725]","[1737464311.05565, 1737464311.0784647, 4.092008050918579]","[1737464347.5231616, 1737464347.5480967, 4.702468053102493]"
"[1737464199.8608181, 1737464199.8864644, 2.151465285658836]","[1737464237.5827172, 1737464237.6037047, 3.215727374076843]","[1737464274.3687847, 1737464274.3898952, 3.8413151092529296]","[1737464311.1337512, 1737464311.1552114, 3.8299780111312867]","[1737464347.6027226, 1737464347.6238205, 3.735593905448914]"
"[1737464199.9387634, 1737464199.9600172, 1.7956293404102326]","[1737464237.6549008, 1737464237.6760218, 3.22701805973053]","[1737464274.4393585, 1737464274.4603693, 3.792526096820831]","[1737464311.2034333, 1737464311.2246904, 3.550605041742325]","[1737464347.6722078, 1737464347.6933472, 3.8134146606922146]"
"[1737464200.0093777, 1737464200.0302265, 1.942227952003479]","[1737464237.7266152, 1737464237.7486024, 3.442871908307075]","[1737464274.5094848, 1737464274.5303454, 3.851148871898651]","[1737464311.2745962, 1737464311.2957234, 3.5677754387855534]","[1737464347.741717, 1737464347.762635, 3.8291248035430905]"
"[1737464200.0825171, 1737464200.103348, 2.1576823117733004]","[1737464237.8017657, 1737464237.8227632, 3.3164329719543453]","[1737464274.5846713, 1737464274.605649, 3.9027608492374424]","[1737464311.3448148, 1737464311.3656766, 3.596012404203415]","[1737464347.8140216, 1737464347.8349352, 3.883091023921967]"
"[1737464200.1554644, 1737464200.1762977, 2.1579292681217193]","[1737464237.87127, 1737464237.8930964, 3.5851126873493193]","[1737464274.6546059, 1737464274.6754591, 3.952760270833969]","[1737464311.4164314, 1737464311.437304, 3.6733885016441343]","[1737464347.8847404, 1737464347.905621, 3.9904060125350944]"
"[1737464200.225888, 1737464200.2469094, 2.3881322979927067]","[1737464237.9436011, 1737464237.9645336, 3.4994637162685396]","[1737464274.7244384, 1737464274.7454011, 4.0487807292938225]","[1737464311.4853437, 1737464311.5061657, 3.773975411891937]","[1737464347.9549472, 1737464347.9759216, 4.008312264680862]"
"[1737464200.298984, 1737464200.3199542, 2.6017191267013553]","[1737464238.0141447, 1737464238.0350118, 3.555008122205734]","[1737464274.79338, 1737464274.8141873, 4.018757015228271]","[1737464311.554113, 1737464311.5749145, 3.9244441026271755]","[1737464348.0251112, 1737464348.046153, 4.0871728515625]"
"[1737464200.3709588, 1737464200.3919938, 3.1860389440059658]","[1737464238.086113, 1737464238.107002, 3.8753145182132727]","[1737464274.8637033, 1737464274.8845809, 4.146541834831238]","[1737464311.6241982, 1737464311.6449902, 3.9235141811370853]","[1737464348.0971344, 1737464348.1180649, 4.153914575099945]"
"[1737464200.4437323, 1737464200.46473, 3.705475180149078]","[1737464238.1586754, 1737464238.1796577, 4.272618718147278]","[1737464274.9341626, 1737464274.9549875, 4.329269550800324]","[1737464311.6973116, 1737464311.7193289, 4.24336074900627]","[1737464348.1675382, 1737464348.1884723, 4.295777268409728]"
"[1737464200.5160344, 1737464200.537195, 4.127439013004302]","[1737464238.2297113, 1737464238.2506092, 4.564806252241135]","[1737464275.0055969, 1737464275.0264468, 4.48455896615982]","[1737464311.7708898, 1737464311.7926655, 4.578911825180054]","[1737464348.238716, 1737464348.2598445, 4.562225847244262]"
"[1737464200.5871599, 1737464200.6083124, 4.573825435638428]","[1737464238.3000479, 1737464238.3209941, 4.673614268302918]","[1737464275.0776303, 1737464275.0984504, 4.742786442756653]","[1737464311.8444479, 1737464311.8663096, 4.816495563268662]","[1737464348.3100224, 1737464348.331204, 4.9465987172126775]"
"[1737464200.6585143, 1737464200.6797478, 4.59135362148285]","[1737464238.3704815, 1737464238.3913565, 5.084893924713135]","[1737464275.1492898, 1737464275.1700833, 5.113792577266692]","[1737464311.9187772, 1737464311.940481, 4.9734074592590325]","[1737464348.3819036, 1737464348.4028916, 5.31701280593872]"
