epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737470585.2883668, 1737470585.2885036, 0.010294574737548828]","[1737470644.5840783, 1737470644.5842085, 0.01898533773422241]","[1737470705.258691, 1737470705.258814, 0.017326698303222657]","[1737470764.280136, 1737470764.280268, 0.02280333399772644]","[1737470823.2598512, 1737470823.2600095, 0.028231727600097654]"
"[1737470585.4370813, 1737470585.4371533, 0.006413110733032227]","[1737470644.7266476, 1737470644.7267299, 0.012587145566940306]","[1737470705.4000285, 1737470705.4001045, 0.010958764791488647]","[1737470764.4213374, 1737470764.421411, 0.011934904575347901]","[1737470823.4016638, 1737470823.4017406, 0.012584496974945068]"
"[1737470585.5796123, 1737470585.5796828, 0.006986547470092773]","[1737470644.8775973, 1737470644.8778682, 0.04257280731201172]","[1737470705.5354977, 1737470705.5355835, 0.012548789978027344]","[1737470764.5582523, 1737470764.5583231, 0.011554190397262572]","[1737470823.5403495, 1737470823.5404227, 0.01219266724586487]"
"[1737470585.7167244, 1737470585.7167926, 0.007944482326507568]","[1737470645.0179358, 1737470645.018008, 0.011820261240005493]","[1737470705.670261, 1737470705.6703303, 0.010400379896163941]","[1737470764.6942945, 1737470764.6943662, 0.012692323207855224]","[1737470823.6771667, 1737470823.6772385, 0.012366442918777466]"
"[1737470585.8516786, 1737470585.851748, 0.011939224004745484]","[1737470645.1704457, 1737470645.1705174, 0.012870800256729126]","[1737470705.8048728, 1737470705.8049426, 0.01293437671661377]","[1737470764.8301175, 1737470764.8301866, 0.012335445880889893]","[1737470823.8130825, 1737470823.8131537, 0.012803173065185547]"
"[1737470585.9869115, 1737470585.987011, 0.01839190649986267]","[1737470645.3093374, 1737470645.309407, 0.015608545303344726]","[1737470705.9396853, 1737470705.9397547, 0.013914605855941772]","[1737470764.9711845, 1737470764.9712613, 0.015721044063568116]","[1737470823.9497428, 1737470823.949827, 0.016366768836975097]"
"[1737470586.1219075, 1737470586.1219783, 0.015760677337646484]","[1737470645.4524007, 1737470645.452506, 0.024243639469146726]","[1737470706.0743701, 1737470706.0744429, 0.01577587962150574]","[1737470765.122455, 1737470765.1225512, 0.02221338081359863]","[1737470824.0850966, 1737470824.0851696, 0.016943175315856932]"
"[1737470586.256505, 1737470586.256578, 0.017724024295806884]","[1737470645.5865898, 1737470645.586659, 0.016891725063323974]","[1737470706.2097893, 1737470706.20986, 0.018085026025772097]","[1737470765.2633781, 1737470765.2634647, 0.02108406329154968]","[1737470824.2219691, 1737470824.2220645, 0.02361602783203125]"
"[1737470586.3912623, 1737470586.391334, 0.018639979362487794]","[1737470645.7266097, 1737470645.7266798, 0.019807252407073976]","[1737470706.3447495, 1737470706.3448622, 0.030567862272262575]","[1737470765.4013777, 1737470765.4014537, 0.02136445379257202]","[1737470824.359347, 1737470824.3594203, 0.019325910806655886]"
"[1737470586.5256202, 1737470586.5256886, 0.019047371864318846]","[1737470645.8610528, 1737470645.8611195, 0.01837244987487793]","[1737470706.4802983, 1737470706.4803765, 0.022265628814697264]","[1737470765.5376663, 1737470765.537739, 0.02045257091522217]","[1737470824.4963717, 1737470824.4964418, 0.02011896514892578]"
