epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737470585.3572767, 1737470585.3591697, 0.14817798137664795]","[1737470644.6512957, 1737470644.6523018, 0.14673649311065673]","[1737470705.3259227, 1737470705.3269243, 0.13281769895553588]","[1737470764.3474026, 1737470764.34835, 0.15291306018829345]","[1737470823.3271427, 1737470823.3281152, 0.15907335996627808]"
"[1737470585.503306, 1737470585.5040975, 0.07836262702941894]","[1737470644.7932694, 1737470644.7942953, 0.1567352123260498]","[1737470705.466168, 1737470705.4669635, 0.11463761162757874]","[1737470764.4877388, 1737470764.4885309, 0.12830988025665285]","[1737470823.4680698, 1737470823.4690468, 0.16015921926498414]"
"[1737470585.6457937, 1737470585.6465464, 0.08069336390495299]","[1737470644.9479344, 1737470644.948794, 0.13510120630264283]","[1737470705.6018023, 1737470705.6025474, 0.11168792843818665]","[1737470764.6245499, 1737470764.6252897, 0.120716002702713]","[1737470823.606724, 1737470823.6075366, 0.14001607131958008]"
"[1737470585.782949, 1737470585.7836735, 0.08441706919670106]","[1737470645.0847433, 1737470645.0855925, 0.15231159639358519]","[1737470705.7366538, 1737470705.737384, 0.11913651394844056]","[1737470764.7606592, 1737470764.7613912, 0.13058558225631714]","[1737470823.743465, 1737470823.7442112, 0.13359594106674194]"
"[1737470585.9177797, 1737470585.9184895, 0.13130145239830018]","[1737470645.2368464, 1737470645.2377079, 0.1751635308265686]","[1737470705.871178, 1737470705.8719127, 0.1360537509918213]","[1737470764.8963835, 1737470764.8971179, 0.1503752040863037]","[1737470823.879335, 1737470823.8800566, 0.12961606979370116]"
"[1737470586.0530674, 1737470586.0538852, 0.1655922245979309]","[1737470645.3749921, 1737470645.3757849, 0.17773429155349732]","[1737470706.0060363, 1737470706.0067668, 0.15848293495178223]","[1737470765.0376687, 1737470765.0386705, 0.2257735061645508]","[1737470824.0156534, 1737470824.0163767, 0.15522262811660767]"
"[1737470586.1879292, 1737470586.1886442, 0.15914569473266602]","[1737470645.5185385, 1737470645.519287, 0.18289660930633544]","[1737470706.1416414, 1737470706.142382, 0.17379306030273436]","[1737470765.188182, 1737470765.189271, 0.25111017370224]","[1737470824.1513722, 1737470824.1521883, 0.18953101015090942]"
"[1737470586.3225217, 1737470586.3232625, 0.1924066972732544]","[1737470645.6528835, 1737470645.6536145, 0.1907646231651306]","[1737470706.2761343, 1737470706.2768762, 0.18949697303771973]","[1737470765.329903, 1737470765.3307724, 0.22762273645401]","[1737470824.2882998, 1737470824.289046, 0.19703615903854374]"
"[1737470586.4575403, 1737470586.4582489, 0.19350257396697995]","[1737470645.792884, 1737470645.793554, 0.18931421518325806]","[1737470706.4112537, 1737470706.411971, 0.2042599911689758]","[1737470765.4677954, 1737470765.4686663, 0.24465313386917115]","[1737470824.4257216, 1737470824.4265072, 0.22475000500679015]"
"[1737470586.5917802, 1737470586.5924897, 0.19750863647460937]","[1737470645.9273262, 1737470645.927985, 0.18451207208633424]","[1737470706.5466197, 1737470706.5473568, 0.20849951744079587]","[1737470765.6040614, 1737470765.6048658, 0.22625237464904785]","[1737470824.562694, 1737470824.5634575, 0.2191187973022461]"
"[1737470586.7266388, 1737470586.7273602, 0.20359521532058716]","[1737470646.062384, 1737470646.0630944, 0.19971373558044433]","[1737470706.6814368, 1737470706.6821456, 0.20370591259002685]","[1737470765.7395914, 1737470765.7403579, 0.21648243904113768]","[1737470824.6982753, 1737470824.698987, 0.20422282576560974]"
