epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737464394.06532, 1737464394.1346533, 5.5451398587226866]","[1737464452.967908, 1737464453.0357668, 13.28378631877899]","[1737464510.3372722, 1737464510.405051, 12.49097302651405]","[1737464567.3792033, 1737464567.447502, 13.36391451001167]","[1737464624.9637485, 1737464625.0320299, 12.838244934439656]"
"[1737464394.1808043, 1737464394.2466962, 6.025492213964461]","[1737464453.0828629, 1737464453.1487963, 12.187309194803236]","[1737464510.450778, 1737464510.5168417, 11.830960905551914]","[1737464567.4941509, 1737464567.560389, 12.891271653175352]","[1737464625.0789022, 1737464625.1450229, 12.550830523014069]"
"[1737464394.2948809, 1737464394.3607006, 6.834195274353028]","[1737464453.1972337, 1737464453.2631629, 12.705234299421313]","[1737464510.565363, 1737464510.6312332, 12.014436267614364]","[1737464567.6091022, 1737464567.675377, 13.176459411621092]","[1737464625.1923625, 1737464625.2591493, 12.966911177635193]"
"[1737464394.4055316, 1737464394.4714286, 7.565669021844863]","[1737464453.3083105, 1737464453.374271, 13.342219115734096]","[1737464510.6774654, 1737464510.7433946, 12.284456661701203]","[1737464567.7377362, 1737464567.8037674, 13.265936447024345]","[1737464625.303203, 1737464625.3692756, 13.072441335439683]"
"[1737464394.520669, 1737464394.5864468, 9.186238430976864]","[1737464453.4200299, 1737464453.4859471, 13.702739023804664]","[1737464510.790771, 1737464510.856785, 12.624197126626969]","[1737464567.8684776, 1737464567.9345584, 13.347775981903078]","[1737464625.4144664, 1737464625.4803135, 13.388642737984664]"
"[1737464394.6331692, 1737464394.699054, 12.729709102869036]","[1737464453.5322397, 1737464453.5981467, 14.530578334927563]","[1737464510.90144, 1737464510.967401, 13.831849507570265]","[1737464567.9805014, 1737464568.0464847, 13.881031607389453]","[1737464625.5252988, 1737464625.5912, 14.310001523494718]"
"[1737464394.7465434, 1737464394.8124096, 14.435443596959114]","[1737464453.6441128, 1737464453.7099884, 15.958544827938077]","[1737464511.0155416, 1737464511.081408, 15.148761245727545]","[1737464568.0933394, 1737464568.1596467, 15.3659888522625]","[1737464625.6374755, 1737464625.7031968, 15.61287715673447]"
"[1737464394.856902, 1737464394.9226272, 16.078921532273295]","[1737464453.7540371, 1737464453.8198872, 17.338178422451012]","[1737464511.1271825, 1737464511.1933055, 16.610269374608997]","[1737464568.2061791, 1737464568.2724302, 16.598071680307385]","[1737464625.7473419, 1737464625.8131046, 17.101013419389723]"
"[1737464394.9701035, 1737464395.0358982, 17.803730403072393]","[1737464453.8654335, 1737464453.9312997, 18.70706372451782]","[1737464511.2380273, 1737464511.3039722, 18.10081722140312]","[1737464568.319857, 1737464568.3861976, 18.008889319777484]","[1737464625.859259, 1737464625.925742, 18.854038667678836]"
"[1737464395.0830593, 1737464395.1488922, 19.398176892757416]","[1737464453.976418, 1737464454.042264, 20.159978726863862]","[1737464511.3490171, 1737464511.4149792, 19.67228257739544]","[1737464568.4345865, 1737464568.500738, 19.567569082260132]","[1737464625.9825711, 1737464626.048608, 20.42839285886288]"
"[1737464395.196575, 1737464395.2624269, 20.69930200409889]","[1737464454.0884259, 1737464454.154272, 21.477029579877854]","[1737464511.4608755, 1737464511.5268059, 20.982875120162966]","[1737464568.5478923, 1737464568.613965, 20.671555086731914]","[1737464626.0979254, 1737464626.1633005, 21.029147910356517]"
"[1737464395.3088615, 1737464395.3748465, 20.946224066615105]","[1737464454.200083, 1737464454.2659464, 21.420723918795595]","[1737464511.57314, 1737464511.6390448, 21.32640271472931]","[1737464568.6613007, 1737464568.7272823, 20.825564480304717]","[1737464626.2118251, 1737464626.2772827, 21.139669945955276]"
"[1737464395.4218779, 1737464395.487817, 20.971414073944093]","[1737464454.3116715, 1737464454.377639, 21.494419809222222]","[1737464511.6854925, 1737464511.7513337, 21.469508108973503]","[1737464568.7898974, 1737464568.8558824, 20.984538369178768]","[1737464626.3359034, 1737464626.4017615, 21.21580004119873]"
"[1737464395.5345128, 1737464395.6002386, 20.91529616045952]","[1737464454.422937, 1737464454.4888644, 21.501402618050573]","[1737464511.797229, 1737464511.863773, 21.706271782875064]","[1737464568.9022503, 1737464568.9684658, 20.983829177856443]","[1737464626.4571059, 1737464626.5228255, 21.233360286712653]"
"[1737464395.662464, 1737464395.7283213, 20.81847754788399]","[1737464454.5345755, 1737464454.600441, 21.454765876650818]","[1737464511.9097397, 1737464511.9759533, 21.43526503562927]","[1737464569.015196, 1737464569.0813777, 21.068534275054926]","[1737464626.5773156, 1737464626.643796, 21.24619318580627]"
"[1737464395.7754054, 1737464395.8413062, 20.91190628814698]","[1737464454.645948, 1737464454.7120402, 21.594850472927092]","[1737464512.0222797, 1737464512.088521, 21.461435082583353]","[1737464569.1279318, 1737464569.1941566, 21.085295895218856]","[1737464626.7011933, 1737464626.7677724, 21.023082070589066]"
"[1737464395.9037013, 1737464395.9695268, 20.945955914854363]","[1737464454.7578888, 1737464454.824186, 21.646198664188386]","[1737464512.135309, 1737464512.2014427, 21.41705432116986]","[1737464569.2406957, 1737464569.3068118, 21.089133211851117]","[1737464626.8148727, 1737464626.8811264, 20.733829390525827]"
"[1737464396.0153284, 1737464396.0810804, 20.62810791063309]","[1737464454.8705595, 1737464454.9368873, 21.62180490875244]","[1737464512.2467217, 1737464512.3127553, 21.389280608177188]","[1737464569.3560917, 1737464569.4224672, 21.17769187057018]","[1737464626.927518, 1737464626.9936929, 20.67187384510041]"
"[1737464396.1437516, 1737464396.209789, 20.507531475663182]","[1737464454.983342, 1737464455.0493405, 21.637207695961]","[1737464512.3586237, 1737464512.4245396, 21.38918684852123]","[1737464569.469502, 1737464569.5356536, 21.246592415809623]","[1737464627.0395749, 1737464627.10558, 20.688019223213193]"
"[1737464396.2569058, 1737464396.3226771, 20.270140396356577]","[1737464455.0953667, 1737464455.161499, 21.584544133424757]","[1737464512.4701095, 1737464512.536053, 21.382019576430316]","[1737464569.5835056, 1737464569.6495051, 21.2025532400608]","[1737464627.1534336, 1737464627.2195663, 21.004108784675598]"
"[1737464396.386477, 1737464396.4522994, 20.347864510297768]","[1737464455.2075286, 1737464455.273507, 21.442436806559563]","[1737464512.5853348, 1737464512.6516812, 21.59437356877327]","[1737464569.6972744, 1737464569.7632844, 21.16399364185333]","[1737464627.266714, 1737464627.332927, 21.04283185839653]"
"[1737464396.501149, 1737464396.5669334, 20.22023351669311]","[1737464455.319065, 1737464455.3849933, 21.448083812952046]","[1737464512.698354, 1737464512.7644098, 21.519319999217984]","[1737464569.810243, 1737464569.876524, 21.183101841211318]","[1737464627.3793793, 1737464627.4456182, 21.072932622432713]"
"[1737464396.613808, 1737464396.6795607, 20.18437827086449]","[1737464455.446708, 1737464455.5124807, 21.163903695812984]","[1737464512.8099806, 1737464512.8760788, 21.357919040679928]","[1737464569.9225495, 1737464569.9883294, 20.89505876326561]","[1737464627.4927354, 1737464627.5589597, 21.042194079160687]"
"[1737464396.7258675, 1737464396.791901, 20.324807539820668]","[1737464455.5579586, 1737464455.6236827, 21.165471636056896]","[1737464512.9218192, 1737464512.9879065, 21.340303363854787]","[1737464570.0361621, 1737464570.1025162, 21.37332552349568]","[1737464627.6057801, 1737464627.6718042, 21.045746094822874]"
"[1737464396.8516765, 1737464396.9174984, 20.217236831903463]","[1737464455.6690025, 1737464455.734941, 21.27109192371368]","[1737464513.0338702, 1737464513.1000896, 21.41208525264263]","[1737464570.1501756, 1737464570.2164805, 21.375472854852674]","[1737464627.7180765, 1737464627.7841024, 21.221665537397257]"
