epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737464394.0651593, 1737464394.0653195, 0.01281385803222656]","[1737464452.9677706, 1737464452.9679072, 0.0272253634929657]","[1737464510.3371277, 1737464510.3372712, 0.02673883295059204]","[1737464567.3790553, 1737464567.3792002, 0.02836388397216797]","[1737464624.9636075, 1737464624.9637468, 0.026201236724853517]"
"[1737464394.1807277, 1737464394.180804, 0.006976699829101562]","[1737464453.082792, 1737464453.0828624, 0.012958873510360718]","[1737464510.4507084, 1737464510.4507775, 0.012312421798706055]","[1737464567.4940813, 1737464567.49415, 0.013363494873046874]","[1737464625.0788338, 1737464625.0789018, 0.01274110436439514]"
"[1737464394.2948084, 1737464394.2948806, 0.007500909805297851]","[1737464453.197159, 1737464453.1972332, 0.014005775213241579]","[1737464510.5652936, 1737464510.5653625, 0.012446425676345825]","[1737464567.6090367, 1737464567.6091018, 0.012940589904785157]","[1737464625.192296, 1737464625.1923623, 0.012783162593841553]"
"[1737464394.4054627, 1737464394.4055314, 0.007867103576660156]","[1737464453.308243, 1737464453.30831, 0.013402540922164917]","[1737464510.6773891, 1737464510.6774647, 0.01386128282546997]","[1737464567.7376559, 1737464567.7377357, 0.016020848751068115]","[1737464625.3031385, 1737464625.3032029, 0.01254713773727417]"
"[1737464394.520596, 1737464394.5206685, 0.009054325103759767]","[1737464453.419964, 1737464453.4200294, 0.01335434341430664]","[1737464510.7907, 1737464510.7907705, 0.013495817184448243]","[1737464567.8683915, 1737464567.8684769, 0.017208104610443115]","[1737464625.4144003, 1737464625.414466, 0.013014084100723267]"
"[1737464394.6330957, 1737464394.6331687, 0.01341392469406128]","[1737464453.532176, 1737464453.532239, 0.013182489395141602]","[1737464510.9013734, 1737464510.9014394, 0.013848798036575318]","[1737464567.980434, 1737464567.980501, 0.013540350914001464]","[1737464625.5252302, 1737464625.5252984, 0.014806484699249268]"
"[1737464394.7464726, 1737464394.746543, 0.014425537586212159]","[1737464453.6440485, 1737464453.6441123, 0.015479041099548339]","[1737464511.0154762, 1737464511.015541, 0.014914947509765625]","[1737464568.0932598, 1737464568.093339, 0.01834329319000244]","[1737464625.6374085, 1737464625.637475, 0.015802335262298586]"
"[1737464394.8568428, 1737464394.8569014, 0.01331676149368286]","[1737464453.7539742, 1737464453.7540367, 0.0164470853805542]","[1737464511.1271186, 1737464511.1271818, 0.015780446529388426]","[1737464568.2061093, 1737464568.2061787, 0.017381931066513062]","[1737464625.7472768, 1737464625.7473414, 0.016801622152328492]"
"[1737464394.9700372, 1737464394.970103, 0.01695612212285599]","[1737464453.8653712, 1737464453.8654327, 0.01747039031982422]","[1737464511.2379591, 1737464511.2380264, 0.01814297103881836]","[1737464568.3197792, 1737464568.3198555, 0.020647354125976562]","[1737464625.859184, 1737464625.8592582, 0.020830521821975707]"
"[1737464395.0829873, 1737464395.0830586, 0.021005330562591552]","[1737464453.9763565, 1737464453.9764175, 0.01866546630859375]","[1737464511.348954, 1737464511.3490167, 0.018183996915817263]","[1737464568.4345198, 1737464568.4345863, 0.01931266450881958]","[1737464625.982485, 1737464625.9825704, 0.025681352138519284]"
