epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737470899.2915707, 1737470899.3148575, 1.7089047523736958]","[1737470976.2185977, 1737470976.2395267, 2.881308939456939]","[1737471050.4182367, 1737471050.4387023, 3.0361936135757204]","[1737471126.999645, 1737471127.0108182, 1.4371478881835937]","[1737471202.4327362, 1737471202.4564037, 3.191863061666488]"
"[1737470899.5006604, 1737470899.5205753, 1.6078283774852753]","[1737470976.3999352, 1737470976.4180048, 2.492887074708939]","[1737471050.635004, 1737471050.6479857, 1.7658105421066284]","[1737471127.1738176, 1737471127.1915586, 2.1559708328247065]","[1737471202.6215975, 1737471202.6368186, 1.9069170002937317]"
"[1737470899.708386, 1737470899.7226763, 1.5034457362890241]","[1737470976.5791264, 1737470976.591552, 1.731863790988922]","[1737471050.810304, 1737471050.8309247, 2.827052958011628]","[1737471127.3492496, 1737471127.3650844, 1.9830405540466307]","[1737471202.796777, 1737471202.8119376, 1.9373680400848388]"
"[1737470899.8827617, 1737470899.8998601, 2.086709107398987]","[1737470976.7482035, 1737470976.7660418, 2.443499908208847]","[1737471050.9931376, 1737471051.0124536, 2.7956565525531767]","[1737471127.5186532, 1737471127.536414, 2.3154161686897274]","[1737471202.9685392, 1737471202.9860525, 2.33998371887207]"
"[1737470900.0682085, 1737470900.0807905, 1.898268528699875]","[1737470976.9217892, 1737470976.9392858, 2.8697200241088865]","[1737471051.1796877, 1737471051.1972802, 2.963884663581848]","[1737471127.7002277, 1737471127.7138042, 2.1140115699768067]","[1737471203.1476045, 1737471203.1669085, 3.0878158614635467]"
"[1737470900.256742, 1737470900.2770452, 3.53414600944519]","[1737470977.0943818, 1737470977.1120517, 3.3798838918209078]","[1737471051.3574543, 1737471051.3728514, 2.931371521949768]","[1737471127.8879237, 1737471127.9031718, 2.7683920705318448]","[1737471203.326202, 1737471203.3413703, 2.5842991268634794]"
"[1737470900.437603, 1737470900.4545653, 3.4370009350776667]","[1737470977.2697906, 1737470977.2844071, 3.10980549032446]","[1737471051.5316107, 1737471051.5498607, 3.7637366943359374]","[1737471128.0624602, 1737471128.078669, 3.324977637529373]","[1737471203.4983754, 1737471203.5147252, 3.1438034973144533]"
"[1737470900.6139565, 1737470900.632133, 3.8302659849883653]","[1737470977.4392655, 1737470977.457292, 4.026815804958343]","[1737471051.7100286, 1737471051.729402, 4.077096839904785]","[1737471128.233321, 1737471128.2524073, 4.060432424545288]","[1737471203.6711411, 1737471203.6873894, 3.504579901695252]"
"[1737470900.7922492, 1737470900.808338, 3.3869016728401187]","[1737470977.6142936, 1737470977.6311572, 3.7993150012493135]","[1737471051.8894246, 1737471051.909087, 4.255666587352754]","[1737471128.409797, 1737471128.4259424, 3.503501921653748]","[1737471203.8442345, 1737471203.8656888, 4.6876433095932]"
"[1737470900.968377, 1737470900.9855144, 3.6917490811347964]","[1737470977.7928672, 1737470977.8095214, 3.7699732902050016]","[1737471052.0735, 1737471052.0910156, 3.783242290496826]","[1737471128.583027, 1737471128.5988526, 3.396984303474426]","[1737471204.0259206, 1737471204.0399857, 2.9589941264816253]"
"[1737470901.163982, 1737470901.1802263, 3.487382742881775]","[1737470977.9659731, 1737470977.9844158, 4.067446510791779]","[1737471052.2693613, 1737471052.2928085, 5.002476155757903]","[1737471128.7555933, 1737471128.7719173, 3.58729012966156]","[1737471204.1959727, 1737471204.2135966, 3.7654875183105463]"
"[1737470901.3403246, 1737470901.3583372, 3.9670962214469907]","[1737470978.1428132, 1737470978.157628, 3.31858648109436]","[1737471052.4532893, 1737471052.472505, 4.0667213196754455]","[1737471128.928053, 1737471128.9493403, 4.640151294708252]","[1737471204.3827438, 1737471204.3986886, 3.464484557390213]"
"[1737470901.520335, 1737470901.5373015, 3.62682732796669]","[1737470978.3177102, 1737470978.3376675, 4.476982091903687]","[1737471052.6411138, 1737471052.661365, 4.283725996017456]","[1737471129.1089556, 1737471129.1218336, 2.785009305000305]","[1737471204.5570526, 1737471204.5725484, 3.3588336591720585]"
"[1737470901.6975694, 1737470901.7155406, 3.8418107932806014]","[1737470978.5002432, 1737470978.5118856, 2.609132614135742]","[1737471052.8416436, 1737471052.8553712, 2.901944606423378]","[1737471129.276153, 1737471129.2933726, 3.7874531216621397]","[1737471204.7283196, 1737471204.7459028, 3.7442336918115617]"
"[1737470901.8764815, 1737470901.8940258, 3.750526225566864]","[1737470978.6687663, 1737470978.685782, 3.7210107454644605]","[1737471053.0167468, 1737471053.0324044, 3.218244808673859]","[1737471129.4510524, 1737471129.4675515, 3.6930796794891365]","[1737471204.9093385, 1737471204.9263787, 3.6226213989257814]"
"[1737470902.0538754, 1737470902.0715313, 3.7832247982025144]","[1737470978.8431509, 1737470978.8602684, 3.7876064100265503]","[1737471053.1910868, 1737471053.2060452, 3.1036846923828127]","[1737471129.628295, 1737471129.645446, 3.7802777695655823]","[1737471205.1342282, 1737471205.1449797, 2.2922331495285033]"
"[1737470902.2363687, 1737470902.251154, 3.1604739694595336]","[1737470979.0210612, 1737470979.0377157, 3.705074743747711]","[1737471053.3651788, 1737471053.38192, 3.5502888736724856]","[1737471129.8060493, 1737471129.8231308, 3.671189949512482]","[1737471205.3018239, 1737471205.322236, 4.255393956899643]"
"[1737470902.4111688, 1737470902.4289432, 3.7991882932186125]","[1737470979.1957073, 1737470979.2125819, 3.768728643894195]","[1737471053.547483, 1737471053.5644946, 3.6183253154754635]","[1737471129.9793773, 1737471129.9960933, 3.65295792388916]","[1737471205.4818187, 1737471205.4954503, 2.8290576875209807]"
