epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737464691.0052326, 1737464691.00956, 0.358068953037262]","[1737464762.9881446, 1737464762.9929867, 0.9231403253078461]","[1737464836.2426534, 1737464836.2520936, 1.6228714096546173]","[1737464909.8789523, 1737464909.8874936, 1.4489965736865997]","[1737464982.5021863, 1737464982.5109468, 1.6029087123870849]"
"[1737464691.2427318, 1737464691.246805, 0.38137245273590087]","[1737464763.1475565, 1737464763.151638, 0.6996118805408478]","[1737464836.4026568, 1737464836.406504, 0.6111653728485107]","[1737464910.0384562, 1737464910.0422552, 0.6130688314437867]","[1737464982.6609495, 1737464982.6650822, 0.7120269598960877]"
"[1737464691.3917794, 1737464691.3959482, 0.41619537949562074]","[1737464763.2953947, 1737464763.29949, 0.6889058556556702]","[1737464836.552871, 1737464836.5570905, 0.6464365239143371]","[1737464910.268469, 1737464910.2725937, 0.637615942955017]","[1737464982.807223, 1737464982.8112655, 0.6765460169315338]"
"[1737464691.5350103, 1737464691.5390577, 0.4905077018737793]","[1737464763.4369743, 1737464763.4410434, 0.6820730545520782]","[1737464836.6944413, 1737464836.698283, 0.5969734290454036]","[1737464910.4123058, 1737464910.4160004, 0.5547638816833496]","[1737464982.948158, 1737464982.9522064, 0.676365509033203]"
"[1737464691.678186, 1737464691.6818166, 0.4553401107788086]","[1737464763.580775, 1737464763.5848904, 0.6806654016971588]","[1737464836.8367877, 1737464836.8423734, 0.8786650648117065]","[1737464910.5563185, 1737464910.5599785, 0.5682532696723938]","[1737464983.0902357, 1737464983.0942883, 0.6699539122581482]"
"[1737464691.825096, 1737464691.8291016, 0.7350044944286347]","[1737464763.7241, 1737464763.7283115, 0.7775934448242188]","[1737464836.9907627, 1737464836.9950523, 0.7818942112922669]","[1737464910.7005327, 1737464910.7041411, 0.6702435421943664]","[1737464983.2336874, 1737464983.2379758, 0.747345564365387]"
"[1737464691.9678106, 1737464691.9714508, 0.7077191572189332]","[1737464763.8683953, 1737464763.8720067, 0.7084772000312806]","[1737464837.136447, 1737464837.1406138, 0.8241720821857453]","[1737464910.843577, 1737464910.847058, 0.6850763311386109]","[1737464983.3774328, 1737464983.3810904, 0.7512521829605101]"
"[1737464692.1086822, 1737464692.11231, 0.8221138726122623]","[1737464764.008821, 1737464764.0125735, 0.8346833119392396]","[1737464837.2792735, 1737464837.2830741, 0.8017544205188751]","[1737464910.9851289, 1737464910.9886317, 0.7988730163574219]","[1737464983.5183256, 1737464983.5220606, 0.8065201549530029]"
"[1737464692.2505255, 1737464692.254453, 0.9390578985214233]","[1737464764.150599, 1737464764.1541793, 0.854113213777542]","[1737464837.4246874, 1737464837.430186, 1.3285337669849395]","[1737464911.1276433, 1737464911.131126, 0.8110128257274627]","[1737464983.660433, 1737464983.664429, 0.987857265472412]"
"[1737464692.3938344, 1737464692.398032, 1.0175983772277832]","[1737464764.2933931, 1737464764.2975936, 1.0245296387672425]","[1737464837.5688674, 1737464837.57285, 0.94650732421875]","[1737464911.271237, 1737464911.2756858, 1.0549850986003877]","[1737464983.8023016, 1737464983.8059402, 0.87861549782753]"
"[1737464692.53637, 1737464692.5437953, 1.868385757446289]","[1737464764.437928, 1737464764.441837, 0.9499569787979125]","[1737464837.7132378, 1737464837.7177606, 1.1043864583969116]","[1737464911.4163454, 1737464911.4199255, 0.8694328384399415]","[1737464983.947122, 1737464983.951534, 1.0907717132568358]"
"[1737464692.6829803, 1737464692.6870918, 1.0101202964782716]","[1737464764.5804374, 1737464764.584387, 0.9666314778327941]","[1737464837.8567975, 1737464837.8612955, 1.0750816483497623]","[1737464911.5596325, 1737464911.563263, 0.8841402831077576]","[1737464984.0964692, 1737464984.1007712, 1.0464933547973632]"
"[1737464692.8247576, 1737464692.828803, 1.0269143714904785]","[1737464764.723153, 1737464764.7272086, 0.998747992515564]","[1737464838.0014348, 1737464838.0061805, 1.167177060842514]","[1737464911.7141936, 1737464911.720828, 1.6289822556972502]","[1737464984.2587807, 1737464984.2629845, 1.0274330596923829]"
"[1737464692.9669895, 1737464692.970696, 0.9115841317176818]","[1737464764.8675065, 1737464764.8726726, 1.262413062095642]","[1737464838.1445732, 1737464838.1489084, 1.0297490887641905]","[1737464911.8615084, 1737464911.86521, 0.8905814380645751]","[1737464984.4174273, 1737464984.4214685, 0.9730874061584474]"
"[1737464693.1076841, 1737464693.1113174, 0.923545810699463]","[1737464765.0133417, 1737464765.0182993, 1.2322356134962322]","[1737464838.2869945, 1737464838.2911458, 1.0098145008087158]","[1737464912.0044448, 1737464912.0080848, 0.8916424720287324]","[1737464984.5613654, 1737464984.565516, 1.0085655019283295]"
"[1737464693.2487144, 1737464693.2523034, 0.8945800986289978]","[1737464765.1699684, 1737464765.1750987, 1.2442648634910582]","[1737464838.4284263, 1737464838.433529, 1.2278418202400208]","[1737464912.1470761, 1737464912.1506412, 0.855157628774643]","[1737464984.7037635, 1737464984.7075179, 0.9016813030242921]"
"[1737464693.3907647, 1737464693.3943906, 0.9011664161682129]","[1737464765.3164372, 1737464765.3205109, 1.0103514142036438]","[1737464838.5837908, 1737464838.5909274, 1.7269318435192107]","[1737464912.2897017, 1737464912.2932603, 0.8786378331184387]","[1737464984.8514388, 1737464984.8558927, 1.0630651574134826]"
"[1737464693.5442498, 1737464693.5510962, 1.7286271991729734]","[1737464765.4628568, 1737464765.466943, 0.9785357308387755]","[1737464838.7315114, 1737464838.7364178, 1.175685200214386]","[1737464912.4322855, 1737464912.4361713, 0.925926643371582]","[1737464984.9981487, 1737464985.0047686, 1.5800714359283448]"
"[1737464693.697494, 1737464693.7012682, 0.9264219093322754]","[1737464765.609224, 1737464765.6132803, 0.9898225104505554]","[1737464838.8774357, 1737464838.8820977, 1.113867841243744]","[1737464912.5756059, 1737464912.579719, 1.0182960357666015]","[1737464985.164762, 1737464985.1688771, 0.9727983999252319]"
"[1737464693.8463585, 1737464693.8523664, 1.5015028188228605]","[1737464765.753068, 1737464765.757275, 1.0103264608383178]","[1737464839.0231056, 1737464839.0278058, 1.135268311023712]","[1737464912.7210598, 1737464912.7251568, 0.9868776168823242]","[1737464985.3101945, 1737464985.313654, 0.8127571058273315]"
"[1737464693.9978483, 1737464694.0016234, 0.9167991642951965]","[1737464765.9006853, 1737464765.9045959, 0.9396757569313049]","[1737464839.1668017, 1737464839.1708767, 0.9710722742080689]","[1737464912.8653557, 1737464912.869356, 0.9602048683166504]","[1737464985.4517305, 1737464985.4555948, 0.9249135475158692]"
"[1737464694.1415522, 1737464694.1456153, 1.0119711408615113]","[1737464766.0443554, 1737464766.0483432, 0.9648455858230591]","[1737464839.3105297, 1737464839.3159895, 1.3334106445312501]","[1737464913.0120602, 1737464913.016077, 0.9796116714477539]","[1737464985.59411, 1737464985.5981224, 0.9728535377979278]"
"[1737464694.2844436, 1737464694.2882082, 0.9127381539344788]","[1737464766.1893117, 1737464766.1932943, 0.9533772125244141]","[1737464839.463153, 1737464839.4683158, 1.2243739676475527]","[1737464913.155738, 1737464913.159749, 0.9709825408458711]","[1737464985.7376432, 1737464985.7417092, 0.9578822937011718]"
"[1737464694.4290402, 1737464694.4334645, 1.1021191902160645]","[1737464766.3346198, 1737464766.338329, 0.9070910339355469]","[1737464839.6075273, 1737464839.612002, 1.0854984169006348]","[1737464913.2985854, 1737464913.3023944, 0.9359794807434082]","[1737464985.8804348, 1737464985.88455, 0.998970728635788]"
"[1737464694.5770273, 1737464694.580774, 0.9102536857128144]","[1737464766.4779637, 1737464766.481677, 0.8979335606098175]","[1737464839.753622, 1737464839.7578228, 0.9936454575061798]","[1737464913.4432602, 1737464913.4469287, 0.8838225967884065]","[1737464986.0252216, 1737464986.0286465, 0.8113376319408417]"
"[1737464694.718688, 1737464694.7223015, 0.9057203664779663]","[1737464766.622074, 1737464766.626189, 1.0169205522537232]","[1737464839.9092772, 1737464839.9183743, 2.238978080749512]","[1737464913.5876482, 1737464913.5912914, 0.9045958642959594]","[1737464986.1673365, 1737464986.1708164, 0.855620650291443]"
"[1737464694.8593485, 1737464694.8629277, 0.8826802768707276]","[1737464766.7689893, 1737464766.7730527, 0.983794178724289]","[1737464840.073909, 1737464840.0788631, 1.168003305196762]","[1737464913.7305675, 1737464913.7341733, 0.8634803075790405]","[1737464986.3100643, 1737464986.31418, 0.9896533083915711]"
"[1737464695.0021114, 1737464695.0067363, 1.1360901518104716]","[1737464766.9130595, 1737464766.91712, 1.0099271940791676]","[1737464840.2352922, 1737464840.2406554, 1.2669012308120728]","[1737464913.8727067, 1737464913.8766236, 0.9570879394106886]","[1737464986.4536376, 1737464986.457647, 0.9940115344524384]"
"[1737464695.1678472, 1737464695.171368, 0.8609586191177367]","[1737464767.05741, 1737464767.0613525, 0.9521664390563966]","[1737464840.3940454, 1737464840.3982606, 0.9876508510112763]","[1737464914.0156205, 1737464914.019636, 0.9753758554458618]","[1737464986.5970614, 1737464986.600705, 0.8846376028060914]"
"[1737464695.3101444, 1737464695.3139153, 0.9443850803375244]","[1737464767.2024486, 1737464767.206657, 1.0332156579494478]","[1737464840.5407364, 1737464840.5454493, 1.0993595337867739]","[1737464914.158311, 1737464914.162271, 0.9611954641342163]","[1737464986.739368, 1737464986.743366, 0.9667183547019959]"
