epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737467873.3152616, 1737467873.3721292, 3.6766873178482062]","[1737467974.628959, 1737467974.6809285, 8.90555032157898]","[1737468076.631986, 1737468076.6840293, 9.280958334445955]","[1737468179.2447782, 1737468179.2968583, 8.24246563911438]","[1737468281.1635408, 1737468281.2155218, 8.667307319641115]"
"[1737467873.553355, 1737467873.6064065, 4.423502033560638]","[1737467974.8585176, 1737467974.9116445, 9.035223786830901]","[1737468076.8886106, 1737468076.9418745, 9.212842527627947]","[1737468179.479513, 1737468179.5326355, 8.413827215075495]","[1737468281.392955, 1737468281.4461174, 9.010059089183807]"
"[1737467873.7843506, 1737467873.8373747, 7.672951720476149]","[1737467975.103602, 1737467975.1630938, 9.97248713302612]","[1737468077.1234972, 1737468077.176759, 8.891251205444338]","[1737468179.7108183, 1737468179.7638144, 8.544702467322349]","[1737468281.6312463, 1737468281.6844053, 9.113149062633514]"
"[1737467874.0171, 1737467874.0701034, 9.096534267425538]","[1737467975.3411627, 1737467975.3942802, 10.885372073650364]","[1737468077.3584971, 1737468077.446422, 17.851963304400442]","[1737468179.9468853, 1737468180.0305922, 17.284302238106726]","[1737468281.8660777, 1737468281.9191535, 11.058494803309438]"
"[1737467874.2493887, 1737467874.3297377, 16.843613710165027]","[1737467975.581427, 1737467975.6620278, 20.14321224212646]","[1737468077.6261287, 1737468077.6791005, 12.57446834397316]","[1737468180.2272694, 1737468180.2803159, 13.59803691053391]","[1737468282.100794, 1737468282.1539545, 13.238435313224791]"
"[1737467874.5072231, 1737467874.5603085, 13.447359254121784]","[1737467975.8380792, 1737467975.891426, 14.39859597837925]","[1737468077.8603988, 1737468077.913421, 13.801339761972425]","[1737468180.4585254, 1737468180.5115798, 14.19142414569855]","[1737468282.331145, 1737468282.3842287, 15.033024049043654]"
"[1737467874.7430313, 1737467874.7958632, 13.526311171889306]","[1737467976.0768864, 1737467976.154359, 21.16670164346695]","[1737468078.099092, 1737468078.1521995, 14.228176755428313]","[1737468180.694395, 1737468180.747414, 14.817137676596637]","[1737468282.5672972, 1737468282.6500094, 22.91445800220967]"
"[1737467874.9757533, 1737467875.0286431, 13.097221054077147]","[1737467976.3310895, 1737467976.3841717, 14.091414667367935]","[1737468078.3323226, 1737468078.385606, 14.730370428800585]","[1737468180.92464, 1737468180.9778106, 14.610987486720084]","[1737468282.8276062, 1737468282.8808007, 15.005895073413852]"
"[1737467875.2469141, 1737467875.2999165, 13.186032499313358]","[1737467976.5666094, 1737467976.619834, 14.078952083587643]","[1737468078.5692892, 1737468078.6222715, 14.843317733764648]","[1737468181.1588798, 1737468181.245782, 24.395840093851085]","[1737468283.0646544, 1737468283.117689, 14.4832412699461]"
"[1737467875.4772322, 1737467875.5302997, 13.93736861586571]","[1737467976.8001597, 1737467976.8533616, 14.351900882244111]","[1737468078.803732, 1737468078.856777, 14.611598338961597]","[1737468181.4266026, 1737468181.479632, 14.419886012792588]","[1737468283.298127, 1737468283.3512034, 14.775649951934815]"
"[1737467875.7126243, 1737467875.7655432, 13.49923896145821]","[1737467977.035317, 1737467977.0884411, 14.380415739297865]","[1737468079.0437222, 1737468079.0969796, 15.143797313213344]","[1737468181.6587934, 1737468181.7119362, 14.874346951961524]","[1737468283.5302992, 1737468283.6182497, 24.143410821437843]"
"[1737467875.9471247, 1737467876.000131, 13.506473293304444]","[1737467977.2701812, 1737467977.3233893, 14.69569921135902]","[1737468079.2763877, 1737468079.329328, 14.62088599443436]","[1737468181.8953466, 1737468181.9483507, 15.024817792654037]","[1737468283.7966905, 1737468283.84982, 14.738902095556261]"
"[1737467876.1779308, 1737467876.231011, 13.617360034942626]","[1737467977.5046961, 1737467977.5905592, 23.479611812591553]","[1737468079.513904, 1737468079.5669491, 14.812613678455351]","[1737468182.1281462, 1737468182.1812794, 14.68768218898773]","[1737468284.0314672, 1737468284.1183612, 23.76687842869758]"
