epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737461729.2387044, 1737461729.3415194, 7.271065885186196]","[1737461833.6747375, 1737461833.7747757, 18.839210777282712]","[1737461937.9964437, 1737461938.096561, 19.947369602441782]","[1737462042.6831179, 1737462042.783535, 18.799342107534407]","[1737462146.9726472, 1737462147.072867, 19.307107733249662]"
"[1737461729.463478, 1737461729.5681057, 9.745205176234244]","[1737461833.8760514, 1737461833.9817686, 19.376200820446016]","[1737461938.1976917, 1737461938.302316, 18.980005836963652]","[1737462042.8869128, 1737462042.9925203, 18.964565030932427]","[1737462147.1738837, 1737462147.2796063, 18.6360554382801]"
"[1737461729.6678119, 1737461729.7725644, 15.140374190807341]","[1737461834.0865338, 1737461834.191199, 18.408787452936185]","[1737461938.4085102, 1737461938.5130012, 19.493635555028916]","[1737462043.0977073, 1737462043.2022889, 19.79638920223713]","[1737462147.3853805, 1737462147.4900553, 18.91716029977798]"
"[1737461729.8735402, 1737461729.977888, 18.932172350764276]","[1737461834.2946308, 1737461834.3982682, 21.629225769042968]","[1737461938.6167557, 1737461938.720158, 23.609892234206196]","[1737462043.306868, 1737462043.4112165, 22.439192474007605]","[1737462147.5928016, 1737462147.696339, 22.04137256145477]"
"[1737461730.084901, 1737461730.190002, 24.69559557068347]","[1737461834.5029716, 1737461834.6063163, 25.788163721084604]","[1737461938.826811, 1737461938.930153, 26.14909935832024]","[1737462043.5278518, 1737462043.6307366, 25.861366120031125]","[1737462147.801207, 1737462147.9046493, 25.794863041877743]"
"[1737461730.2928154, 1737461730.3968904, 26.869943335294714]","[1737461834.7112167, 1737461834.8156095, 30.066652185275913]","[1737461939.0337949, 1737461939.1382022, 30.32062759661673]","[1737462043.7353122, 1737462043.8397608, 30.318654756784444]","[1737462148.0081997, 1737462148.1125057, 31.984061354875564]"
"[1737461730.499668, 1737461730.6037693, 28.145808722138387]","[1737461834.9190745, 1737461835.021444, 30.841880259275435]","[1737461939.241906, 1737461939.3452513, 30.604727875232726]","[1737462043.9456687, 1737462044.049822, 31.013981790304182]","[1737462148.215946, 1737462148.319324, 31.410578501701362]"
"[1737461730.707645, 1737461730.8117812, 28.452108088016512]","[1737461835.1322, 1737461835.236284, 31.169379357814776]","[1737461939.4662523, 1737461939.5708194, 30.77792048406601]","[1737462044.1579885, 1737462044.263205, 31.363426582813254]","[1737462148.4226823, 1737462148.527112, 31.828079986333847]"
"[1737461730.914241, 1737461731.0174034, 28.16508103597164]","[1737461835.3494213, 1737461835.4532394, 31.11266095447541]","[1737461939.6731465, 1737461939.7768044, 30.764485254287727]","[1737462044.3672104, 1737462044.4707582, 31.2444674190283]","[1737462148.62983, 1737462148.7333248, 31.71161896467209]"
"[1737461731.1213024, 1737461731.2254226, 28.37516126012802]","[1737461835.5577674, 1737461835.6622128, 31.154340837478667]","[1737461939.8813217, 1737461939.9858048, 31.043203358650207]","[1737462044.5764139, 1737462044.6808295, 31.49420035398007]","[1737462148.8399663, 1737462148.9432883, 31.773365097522742]"
"[1737461731.3302572, 1737461731.4344351, 28.64191113877297]","[1737461835.7735386, 1737461835.8776023, 30.64120177280902]","[1737461940.090445, 1737461940.2142038, 37.236268235325824]","[1737462044.7843976, 1737462044.8878856, 31.111183942794806]","[1737462149.0467448, 1737462149.1501443, 31.269306737422966]"
"[1737461731.5405695, 1737461731.6446664, 28.857634861588476]","[1737461835.985543, 1737461836.0898592, 30.464841492652884]","[1737461940.3201284, 1737461940.4245741, 31.011702682733535]","[1737462044.9945047, 1737462045.0998995, 31.5603431779146]","[1737462149.2567403, 1737462149.361175, 31.536295009493834]"
"[1737461731.7502851, 1737461731.8543918, 29.0046613252163]","[1737461836.1945324, 1737461836.2984762, 30.261920750098515]","[1737461940.5269833, 1737461940.6305213, 30.786393082141878]","[1737462045.2062845, 1737462045.309809, 30.69831212472916]","[1737462149.4651487, 1737462149.569752, 31.258654599666595]"
"[1737461731.9620647, 1737461732.0660706, 29.117187453031544]","[1737461836.4054377, 1737461836.5097356, 30.551583025217056]","[1737461940.7350655, 1737461940.839496, 30.91990250396728]","[1737462045.4146545, 1737462045.5191302, 30.80459703874587]","[1737462149.675829, 1737462149.7802744, 31.000891766071312]"
"[1737461732.1692626, 1737461732.2733896, 29.186021847724913]","[1737461836.6136534, 1737461836.7171876, 30.637113842499346]","[1737461940.9441464, 1737461941.0474222, 30.481240170955672]","[1737462045.6228187, 1737462045.7271984, 30.95947925186157]","[1737462149.8826323, 1737462149.9862282, 30.815587720632553]"
"[1737461732.377571, 1737461732.4818046, 29.12861141681671]","[1737461836.8269732, 1737461836.932437, 31.40258886694908]","[1737461941.1518993, 1737461941.2564206, 30.657142270088215]","[1737462045.8342283, 1737462045.9386132, 30.994752650856977]","[1737462150.0909443, 1737462150.21252, 36.06923335373402]"
"[1737461732.586881, 1737461732.6915946, 29.119298723936083]","[1737461837.0392141, 1737461837.1437333, 31.403010190010065]","[1737461941.3591037, 1737461941.4626813, 30.84424586629868]","[1737462046.0432377, 1737462046.1467116, 30.945110415220263]","[1737462150.3149505, 1737462150.418423, 30.850187908887857]"
"[1737461732.7974012, 1737461732.9026036, 29.06049148333072]","[1737461837.2481747, 1737461837.3530195, 30.940404773197855]","[1737461941.5671754, 1737461941.671689, 31.193462123394013]","[1737462046.2514036, 1737462046.3567667, 31.678929875135427]","[1737462150.523483, 1737462150.6279685, 31.63029874229431]"
"[1737461733.006991, 1737461733.1123683, 28.849520404338836]","[1737461837.4568253, 1737461837.5603416, 30.698081251859666]","[1737461941.7752388, 1737461941.8786297, 31.11282778191568]","[1737462046.4728708, 1737462046.5757203, 31.137576069116584]","[1737462150.7304597, 1737462150.834068, 30.867995351314562]"
"[1737461733.220681, 1737461733.3247724, 28.311466928720463]","[1737461837.6716752, 1737461837.77752, 31.07129877841473]","[1737461941.9820588, 1737461942.086558, 31.98019067108629]","[1737462046.6918023, 1737462046.7955844, 30.948260301589972]","[1737462150.9387522, 1737462151.0431447, 31.68402744936943]"
"[1737461733.4273295, 1737461733.5316586, 28.431392842531196]","[1737461837.905774, 1737461838.0093489, 30.38805874800683]","[1737461942.190317, 1737461942.2938762, 31.246363820314407]","[1737462046.8993583, 1737462047.0028336, 30.703520322203612]","[1737462151.1455886, 1737462151.2490392, 31.27790118646622]"
"[1737461733.638589, 1737461733.7434926, 28.801575727939596]","[1737461838.127512, 1737461838.2321672, 30.497708351254463]","[1737461942.398457, 1737461942.5029583, 31.843009822845463]","[1737462047.1074557, 1737462047.2118983, 30.75750811323874]","[1737462151.3535578, 1737462151.458001, 31.752920255184172]"
"[1737461733.849658, 1737461733.9538693, 28.85120241618157]","[1737461838.3346484, 1737461838.438179, 30.356927494049067]","[1737461942.6075258, 1737461942.7108054, 31.289328108310684]","[1737462047.3153355, 1737462047.4188907, 30.4166512466669]","[1737462151.5619562, 1737462151.6654751, 31.196783962726588]"
"[1737461734.0575676, 1737461734.161904, 29.13027296447755]","[1737461838.545905, 1737461838.651165, 30.167738316080015]","[1737461942.8153198, 1737461942.919797, 31.542753021955487]","[1737462047.5233572, 1737462047.6277063, 30.547329819440836]","[1737462151.7700324, 1737462151.87445, 31.26786286306382]"
"[1737461734.265549, 1737461734.3699038, 29.356236841797813]","[1737461838.754505, 1737461838.8589346, 30.873982917428027]","[1737461943.0232184, 1737461943.1267183, 31.102167991161352]","[1737462047.731032, 1737462047.8344479, 30.506232391834256]","[1737462151.9779127, 1737462152.0813909, 31.020703394055367]"
"[1737461734.4768653, 1737461734.580943, 29.260507755041118]","[1737461838.9654112, 1737461839.069853, 30.86630457234383]","[1737461943.2348685, 1737461943.3400753, 31.372225036859525]","[1737462047.9401839, 1737462048.0451384, 31.421612251281736]","[1737462152.185919, 1737462152.2903664, 31.09851300060749]"
"[1737461734.683754, 1737461734.7881436, 29.192154603719718]","[1737461839.1736424, 1737461839.276985, 30.348157582044596]","[1737461943.4425797, 1737461943.5460696, 30.60835493099688]","[1737462048.147511, 1737462048.2510297, 31.227598399877536]","[1737462152.3948698, 1737462152.4982746, 31.122430932760235]"
"[1737461734.8926933, 1737461734.9970222, 29.08613741385936]","[1737461839.383283, 1737461839.4895983, 31.289836555242537]","[1737461943.6508596, 1737461943.7552829, 30.94438433289529]","[1737462048.3554466, 1737462048.4599357, 31.94441723155974]","[1737462152.6033611, 1737462152.707769, 31.434147984147064]"
