epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737462261.0718033, 1737462261.1567335, 6.748371922016143]","[1737462435.5523577, 1737462435.632862, 16.416502594709396]","[1737462606.8669374, 1737462606.9476948, 18.47234223544598]","[1737462780.3403256, 1737462780.420626, 17.214383482933044]","[1737462954.4783585, 1737462954.5590398, 17.443836995124823]"
"[1737462261.3795912, 1737462261.4662385, 9.508657138586043]","[1737462435.8451328, 1737462435.9388423, 18.69985267543792]","[1737462607.1606877, 1737462607.2640228, 20.76482449817657]","[1737462780.6315348, 1737462780.7611597, 26.40856017911435]","[1737462954.7823448, 1737462954.9003174, 22.485965009450908]"
"[1737462261.695784, 1737462261.816781, 23.837455810308455]","[1737462436.1620066, 1737462436.2464275, 17.958170016765592]","[1737462607.4831128, 1737462607.6086257, 27.63963966178894]","[1737462781.0105052, 1737462781.1315525, 26.293629617929458]","[1737462955.179177, 1737462955.3166978, 30.279815051794035]"
"[1737462262.0357258, 1737462262.1200078, 22.068440119266505]","[1737462436.480457, 1737462436.5994375, 33.16975447177888]","[1737462607.843954, 1737462607.9636357, 33.88236559438706]","[1737462781.3732955, 1737462781.4918935, 32.87123597157001]","[1737462955.5390701, 1737462955.6775758, 38.30032390117647]"
"[1737462262.4132197, 1737462262.4976552, 24.467234540224073]","[1737462436.8120062, 1737462436.9814436, 52.74757016420365]","[1737462608.2075562, 1737462608.3246, 34.51194165992735]","[1737462781.706098, 1737462781.8493056, 41.65727252435685]","[1737462955.9009233, 1737462956.0041826, 29.50271672129632]"
"[1737462262.7291315, 1737462262.8564382, 37.028135619640366]","[1737462437.1921904, 1737462437.3080413, 34.95520630455017]","[1737462608.542319, 1737462608.6681893, 37.21721997261048]","[1737462782.0654106, 1737462782.192384, 37.33441399073601]","[1737462956.2229471, 1737462956.403894, 52.46293929064275]"
"[1737462263.0772903, 1737462263.2046275, 36.65531083965301]","[1737462437.548369, 1737462437.664176, 33.56211655449867]","[1737462608.8833375, 1737462609.0570571, 50.97110110306738]","[1737462782.429127, 1737462782.5481958, 34.62498903036117]","[1737462956.6143646, 1737462956.7890577, 50.486136585831645]"
"[1737462263.4190903, 1737462263.5033617, 24.96703709113597]","[1737462437.8776488, 1737462437.996702, 34.87014640331268]","[1737462609.265893, 1737462609.3485317, 24.459517090082162]","[1737462782.7879436, 1737462782.9637392, 51.084376627206815]","[1737462956.9988642, 1737462957.115748, 33.46066260766983]"
"[1737462263.7571719, 1737462263.8686523, 33.02567355036736]","[1737462438.2086303, 1737462438.3832622, 52.949503592227146]","[1737462609.5793614, 1737462609.6787498, 29.115666180968283]","[1737462783.180563, 1737462783.3048997, 35.18103287696838]","[1737462957.3314505, 1737462957.4556992, 35.50569982361794]"
"[1737462264.092923, 1737462264.2213461, 38.08812894177435]","[1737462438.6021478, 1737462438.7767715, 51.51269131743906]","[1737462609.8931653, 1737462610.0123081, 36.323900254964826]","[1737462783.5439818, 1737462783.717666, 49.830825090765984]","[1737462957.6704588, 1737462957.8451204, 51.30273497045039]"
"[1737462264.4404376, 1737462264.542863, 30.294069617033003]","[1737462438.9901536, 1737462439.1616259, 47.43252192187308]","[1737462610.2461913, 1737462610.442907, 61.63186365640165]","[1737462783.9289272, 1737462784.0773547, 43.032590320587154]","[1737462958.0552423, 1737462958.1631181, 31.771468349695205]"
"[1737462264.7698684, 1737462264.8961656, 37.45297413802147]","[1737462439.371822, 1737462439.517026, 41.02140739357469]","[1737462610.6577263, 1737462610.7758353, 34.77439677929878]","[1737462784.2940853, 1737462784.4120288, 33.731092785835266]","[1737462958.3795736, 1737462958.5636823, 53.610247354507464]"
