epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737462261.1567383, 1737462261.1569471, 0.016595592498779295]","[1737462435.632865, 1737462435.6331067, 0.048813526153564456]","[1737462606.947696, 1737462606.9479005, 0.04586796569824218]","[1737462780.4206352, 1737462780.4209547, 0.0684887170791626]","[1737462954.5590477, 1737462954.5592828, 0.047502055644989015]"
"[1737462261.46624, 1737462261.4663775, 0.015508674383163452]","[1737462435.9388437, 1737462435.9389398, 0.01877080988883972]","[1737462607.2640235, 1737462607.2641168, 0.018139630794525147]","[1737462780.7611604, 1737462780.7612622, 0.020929627895355227]","[1737462954.9003184, 1737462954.9004083, 0.01746073794364929]"
"[1737462261.816784, 1737462261.8170073, 0.048102102279663085]","[1737462436.2464287, 1737462436.2465184, 0.019646144866943358]","[1737462607.6086266, 1737462607.608737, 0.02603562545776367]","[1737462781.1315532, 1737462781.1316526, 0.022339399337768556]","[1737462955.316699, 1737462955.3167899, 0.020041836261749265]"
"[1737462262.1200092, 1737462262.1201391, 0.03425649762153626]","[1737462436.5994384, 1737462436.5995345, 0.027732153892517087]","[1737462607.9636366, 1737462607.9637325, 0.02742267465591431]","[1737462781.491896, 1737462781.4920895, 0.05550026226043701]","[1737462955.6775775, 1737462955.6776948, 0.032937681198120114]"
"[1737462262.4976575, 1737462262.4978595, 0.05794300007820129]","[1737462436.9814446, 1737462436.9815302, 0.026071405410766604]","[1737462608.3246012, 1737462608.324695, 0.02755836820602417]","[1737462781.849307, 1737462781.8494816, 0.05079806041717529]","[1737462956.0041838, 1737462956.0042994, 0.03298258185386658]"
"[1737462262.856441, 1737462262.8566496, 0.06064558029174805]","[1737462437.3080423, 1737462437.3081179, 0.022821967840194704]","[1737462608.66819, 1737462608.6682916, 0.029359165191650393]","[1737462782.192385, 1737462782.1925075, 0.035420905590057374]","[1737462956.4038951, 1737462956.4039972, 0.029573534011840822]"
"[1737462263.2046287, 1737462263.204765, 0.03865206909179687]","[1737462437.6641781, 1737462437.6643486, 0.04905611634254456]","[1737462609.057058, 1737462609.0571465, 0.025737873792648313]","[1737462782.5481977, 1737462782.5483994, 0.05844480228424072]","[1737462956.7890594, 1737462956.7891774, 0.03386291027069092]"
"[1737462263.5033638, 1737462263.5037982, 0.12862674379348754]","[1737462437.9967039, 1737462437.996955, 0.0733418834209442]","[1737462609.3485324, 1737462609.348638, 0.031425371646881105]","[1737462782.9637415, 1737462782.9638855, 0.0415534553527832]","[1737462957.1157494, 1737462957.115918, 0.04805717635154724]"
"[1737462263.8686602, 1737462263.8688636, 0.05758308863639831]","[1737462438.3832638, 1737462438.3833616, 0.028794201515225725]","[1737462609.678751, 1737462609.678844, 0.027171750068664548]","[1737462783.3049026, 1737462783.3051276, 0.06441308975219727]","[1737462957.4557004, 1737462957.4558046, 0.029968692302703857]"
"[1737462264.2213483, 1737462264.2215812, 0.06705801272392273]","[1737462438.7767742, 1737462438.7770052, 0.06675057435035706]","[1737462610.012309, 1737462610.0124087, 0.030182216167449955]","[1737462783.7176683, 1737462783.7178261, 0.04548844623565674]","[1737462957.8451223, 1737462957.8452516, 0.037270201683044436]"
"[1737462264.5428646, 1737462264.5430171, 0.04388595581054687]","[1737462439.1616282, 1737462439.1617725, 0.03890831589698791]","[1737462610.4429078, 1737462610.44301, 0.030766603231430052]","[1737462784.0773559, 1737462784.077451, 0.02710377788543701]","[1737462958.1631188, 1737462958.163197, 0.02252314567565918]"
"[1737462264.8961685, 1737462264.8963454, 0.05278308725357056]","[1737462439.5170279, 1737462439.5171971, 0.04720226764678955]","[1737462610.7758362, 1737462610.7759242, 0.025925341844558716]","[1737462784.4120314, 1737462784.4123573, 0.09434223699569702]","[1737462958.563683, 1737462958.5637686, 0.02462960362434387]"
"[1737462265.223757, 1737462265.2238634, 0.031091305255889896]","[1737462439.8475869, 1737462439.8478556, 0.07662641501426698]","[1737462611.1082022, 1737462611.1083395, 0.03969744873046875]","[1737462784.7476885, 1737462784.7478647, 0.05268666958808899]","[1737462958.8914742, 1737462958.8915622, 0.025292263269424436]"
"[1737462265.5726311, 1737462265.572849, 0.0620710072517395]","[1737462440.209345, 1737462440.2095025, 0.045201687812805175]","[1737462611.4358613, 1737462611.43598, 0.034718318939208986]","[1737462785.1413286, 1737462785.141429, 0.029757443666458126]","[1737462959.2108471, 1737462959.2109234, 0.022916717529296877]"
"[1737462265.919926, 1737462265.9200811, 0.04564337110519409]","[1737462440.5231588, 1737462440.523261, 0.029485424280166626]","[1737462611.7753766, 1737462611.7754962, 0.035334217071533204]","[1737462785.4878879, 1737462785.4881375, 0.07233287072181702]","[1737462959.5810783, 1737462959.5811603, 0.02373263931274414]"
"[1737462266.264497, 1737462266.2646248, 0.03678554153442383]","[1737462440.8597353, 1737462440.8599231, 0.05607583236694336]","[1737462612.160952, 1737462612.1610482, 0.027861289024353024]","[1737462785.9051633, 1737462785.9053218, 0.04401682853698731]","[1737462959.9176843, 1737462959.9177904, 0.03084282159805298]"
"[1737462266.5823956, 1737462266.5824964, 0.02822609353065491]","[1737462441.1963022, 1737462441.196446, 0.044220101594924933]","[1737462612.4879117, 1737462612.4880197, 0.03128227543830872]","[1737462786.2322998, 1737462786.2324216, 0.035062975406646726]","[1737462960.2726326, 1737462960.272771, 0.03997257232666016]"
"[1737462266.9314814, 1737462266.9317653, 0.08305359292030336]","[1737462441.551739, 1737462441.5518432, 0.03068863773345947]","[1737462612.8597977, 1737462612.8598905, 0.02672905921936035]","[1737462786.6037757, 1737462786.604026, 0.07155178785324097]","[1737462960.6654897, 1737462960.665596, 0.030572285652160643]"
"[1737462267.3367324, 1737462267.336919, 0.05294070339202881]","[1737462441.8882182, 1737462441.8884318, 0.06262338256835938]","[1737462613.2114131, 1737462613.2115293, 0.033419433116912846]","[1737462786.972183, 1737462786.9723475, 0.048009102344512944]","[1737462961.0528843, 1737462961.0530133, 0.0368418288230896]"
"[1737462267.713253, 1737462267.7133508, 0.027264587879180905]","[1737462442.2735727, 1737462442.2738605, 0.0837673258781433]","[1737462613.5686796, 1737462613.5687752, 0.027612021207809447]","[1737462787.3878887, 1737462787.3879843, 0.026192178726196287]","[1737462961.37973, 1737462961.3798394, 0.03101680541038513]"
"[1737462268.0562346, 1737462268.0563276, 0.02539344549179077]","[1737462442.5800877, 1737462442.5802102, 0.03617591857910156]","[1737462613.882858, 1737462613.8829575, 0.028737906932830806]","[1737462787.7276204, 1737462787.7278256, 0.0589241373538971]","[1737462961.7113135, 1737462961.7114465, 0.03868107175827026]"
"[1737462268.371688, 1737462268.371789, 0.02825218391418457]","[1737462442.919609, 1737462442.9198308, 0.06379173517227173]","[1737462614.2195067, 1737462614.2196312, 0.03723006534576416]","[1737462788.0841985, 1737462788.0843835, 0.053143266677856446]","[1737462962.025669, 1737462962.0257676, 0.028224642992019655]"
"[1737462268.759891, 1737462268.7600207, 0.036560791015625]","[1737462443.3117387, 1737462443.3119624, 0.06562929916381836]","[1737462614.548809, 1737462614.5489054, 0.028213993072509765]","[1737462788.4427083, 1737462788.4428046, 0.027753385543823242]","[1737462962.3283734, 1737462962.328471, 0.029884088171217484]"
"[1737462269.075418, 1737462269.0755594, 0.04150981903076172]","[1737462443.6068246, 1737462443.606948, 0.035539509773254395]","[1737462614.884414, 1737462614.8845146, 0.030675888538360598]","[1737462788.767574, 1737462788.7677414, 0.04937778568267822]","[1737462962.6764362, 1737462962.6765997, 0.049847519397735594]"
"[1737462269.4319618, 1737462269.4320998, 0.03955743885040283]","[1737462443.9813545, 1737462443.981543, 0.05436420154571533]","[1737462615.2455697, 1737462615.245676, 0.03251821041107178]","[1737462789.105922, 1737462789.1061344, 0.0617275493144989]","[1737462962.9767413, 1737462962.9768467, 0.03223004484176636]"
"[1737462269.8055723, 1737462269.805711, 0.03914769458770752]","[1737462444.3702471, 1737462444.3703928, 0.041828032732009884]","[1737462615.5403347, 1737462615.54043, 0.02809906005859375]","[1737462789.45976, 1737462789.459855, 0.02807904052734375]","[1737462963.2991216, 1737462963.2992244, 0.031267533779144284]"
"[1737462270.181322, 1737462270.1814175, 0.026686668395996094]","[1737462444.6957717, 1737462444.6960495, 0.07825210571289062]","[1737462615.8877592, 1737462615.8878589, 0.02974311876296997]","[1737462789.799496, 1737462789.7997458, 0.0727275276184082]","[1737462963.618068, 1737462963.618385, 0.09532783269882203]"
"[1737462270.5687876, 1737462270.568877, 0.024968236684799194]","[1737462445.060227, 1737462445.0604193, 0.05584558582305908]","[1737462616.279101, 1737462616.2792008, 0.02911189603805542]","[1737462790.160226, 1737462790.160403, 0.05180120715772996]","[1737462964.0112333, 1737462964.0114038, 0.0496612823009491]"
"[1737462270.9122403, 1737462270.9123278, 0.024277644157409666]","[1737462445.4175913, 1737462445.4177117, 0.034483678340911865]","[1737462616.6079879, 1737462616.6080842, 0.028555740356445314]","[1737462790.5517745, 1737462790.5518723, 0.028408281803131104]","[1737462964.3650115, 1737462964.3651183, 0.03090687561035156]"
"[1737462271.2268546, 1737462271.2270224, 0.04829603576660156]","[1737462445.7995753, 1737462445.7997186, 0.040830218553543095]","[1737462616.9525297, 1737462616.9526212, 0.026484649658203126]","[1737462790.8880444, 1737462790.888329, 0.0825161018371582]","[1737462964.7123678, 1737462964.712499, 0.0377811074256897]"
"[1737462271.5883389, 1737462271.588443, 0.029325117349624636]","[1737462446.10282, 1737462446.1029842, 0.0478912284374237]","[1737462617.283833, 1737462617.283938, 0.030472774505615238]","[1737462791.249766, 1737462791.2499704, 0.05929707765579223]","[1737462965.0443563, 1737462965.04454, 0.052758250236511234]"
"[1737462271.9333537, 1737462271.9334452, 0.02664816284179688]","[1737462446.4137938, 1737462446.4139166, 0.0363488256931305]","[1737462617.6124713, 1737462617.6125994, 0.0388773136138916]","[1737462791.608305, 1737462791.6084268, 0.035396672964096064]","[1737462965.40416, 1737462965.4042993, 0.040588539123535154]"
"[1737462272.234146, 1737462272.2342393, 0.02696091723442078]","[1737462446.805088, 1737462446.8052163, 0.03870163822174072]","[1737462617.948034, 1737462617.9481277, 0.027467715740203857]","[1737462792.0049424, 1737462792.0051546, 0.06119420528411865]","[1737462965.8005319, 1737462965.8006687, 0.039467782497406005]"
