epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1737469324.4403372, 1737469324.4407482, 0.0329792833328247]","[1737469528.257733, 1737469528.2579355, 0.03934487700462341]","[1737469732.52468, 1737469732.5248697, 0.03194472885131836]","[1737469938.201527, 1737469938.2017283, 0.037795339584350586]","[1737470141.906766, 1737470141.9069555, 0.037688684463500974]"
"[1737469324.939813, 1737469324.9399037, 0.013951626638020916]","[1737469528.7500637, 1737469528.750192, 0.021911200523376466]","[1737469733.0185845, 1737469733.0187645, 0.030232372283935546]","[1737469938.6961296, 1737469938.696235, 0.019945885658264162]","[1737470142.400384, 1737470142.4005666, 0.03214282178878784]"
"[1737469325.495629, 1737469325.4957395, 0.025116095066070557]","[1737469529.2434442, 1737469529.2435374, 0.023061455011367797]","[1737469733.516736, 1737469733.5169063, 0.04187611198425293]","[1737469939.1867602, 1737469939.1868646, 0.02593285846710205]","[1737470142.8937192, 1737470142.8938813, 0.04135199546813965]"
"[1737469325.9882581, 1737469325.9883926, 0.032765164375305175]","[1737469529.7342541, 1737469529.7343533, 0.025595336914062503]","[1737469734.010822, 1737469734.0109098, 0.022456111907958983]","[1737469939.6793008, 1737469939.6794062, 0.02707965326309204]","[1737470143.3849683, 1737470143.3851805, 0.05551342372766532]"
"[1737469326.4918623, 1737469326.4919925, 0.032772205352783204]","[1737469530.2275207, 1737469530.2276475, 0.03304337978363037]","[1737469734.52782, 1737469734.527946, 0.03227729415893555]","[1737469940.1756394, 1737469940.1757503, 0.028447090387344363]","[1737470143.8797584, 1737470143.8798974, 0.03604969549179077]"
"[1737469326.9820142, 1737469326.9822679, 0.06388103485107421]","[1737469530.7186186, 1737469530.718796, 0.04594230651855469]","[1737469735.0209222, 1737469735.0210266, 0.02655305242538452]","[1737469940.6645193, 1737469940.6646311, 0.028895753145217893]","[1737470144.3677616, 1737470144.3679435, 0.047769361019134524]"
"[1737469327.4764307, 1737469327.4765732, 0.036152995586395266]","[1737469531.210463, 1737469531.2105708, 0.027873899459838865]","[1737469735.518868, 1737469735.5190074, 0.035476130247116086]","[1737469941.1573184, 1737469941.1574206, 0.026583491563796996]","[1737470144.8640018, 1737470144.8641224, 0.03177471399307251]"
"[1737469327.9688463, 1737469327.9690182, 0.04363727879524231]","[1737469531.7024553, 1737469531.702625, 0.044164056777954104]","[1737469736.0067399, 1737469736.006848, 0.02804096508026123]","[1737469941.6501846, 1737469941.650287, 0.026714207410812377]","[1737470145.36215, 1737470145.3623674, 0.0572702751159668]"
"[1737469328.46393, 1737469328.4640634, 0.03398195266723633]","[1737469532.194406, 1737469532.1945453, 0.036488721847534177]","[1737469736.5173705, 1737469736.5175169, 0.03763222217559814]","[1737469942.1412556, 1737469942.1413674, 0.02917596983909607]","[1737470145.8569157, 1737470145.8571002, 0.04767653131484985]"
"[1737469328.9551978, 1737469328.9554143, 0.05532726669311523]","[1737469532.6861224, 1737469532.6862354, 0.029065711498260496]","[1737469737.034327, 1737469737.0344384, 0.028013849496841433]","[1737469942.634608, 1737469942.634711, 0.026929035186767578]","[1737470146.351771, 1737470146.3519063, 0.034894874095916746]"
"[1737469329.4522865, 1737469329.4524004, 0.028981977462768555]","[1737469533.1794143, 1737469533.1795163, 0.02638264465332031]","[1737469737.5329459, 1737469737.5331328, 0.04700387954711914]","[1737469943.1252828, 1737469943.125438, 0.04062510538101197]","[1737470146.8409166, 1737470146.8410406, 0.03203285217285156]"
"[1737469329.947256, 1737469329.9473958, 0.03547725534439087]","[1737469533.6719542, 1737469533.6720421, 0.022714025259017945]","[1737469738.0288682, 1737469738.029178, 0.07813256263732911]","[1737469943.6183436, 1737469943.6184497, 0.027218573093414307]","[1737470147.3339524, 1737470147.3341916, 0.06183690094947815]"
"[1737469330.443552, 1737469330.4436576, 0.026664047718048096]","[1737469534.1623766, 1737469534.1624799, 0.026664321660995482]","[1737469738.546931, 1737469738.5471232, 0.048875533580780034]","[1737469944.115116, 1737469944.11532, 0.05232405471801758]","[1737470147.8288546, 1737470147.828991, 0.035301188468933105]"
"[1737469330.9375198, 1737469330.9376447, 0.03156015396118164]","[1737469534.656373, 1737469534.6564903, 0.031058738708496094]","[1737469739.0754547, 1737469739.075738, 0.07446044826507568]","[1737469944.608772, 1737469944.6088972, 0.0323073148727417]","[1737470148.3227227, 1737470148.3228571, 0.03473794555664063]"
"[1737469331.4329498, 1737469331.4330513, 0.025632392406463624]","[1737469535.1522572, 1737469535.1524012, 0.038289010047912596]","[1737469739.5917883, 1737469739.5919375, 0.03877978467941284]","[1737469945.1020083, 1737469945.1021836, 0.045200275182724]","[1737470148.8168592, 1737470148.8169749, 0.02990512490272522]"
"[1737469331.926312, 1737469331.9264727, 0.04047226095199585]","[1737469535.6435533, 1737469535.6437123, 0.04263735747337342]","[1737469740.0878646, 1737469740.0880828, 0.05586549282073975]","[1737469945.5947843, 1737469945.5949364, 0.03923080968856811]","[1737470149.310579, 1737470149.3107116, 0.03415095806121826]"
"[1737469332.4199648, 1737469332.4200702, 0.02742340612411499]","[1737469536.133645, 1737469536.1337554, 0.02856748008728027]","[1737469740.6129837, 1737469740.613148, 0.041937247753143315]","[1737469946.0857222, 1737469946.0859306, 0.05373064231872558]","[1737470149.803992, 1737470149.8041239, 0.03407625389099121]"
"[1737469332.912219, 1737469332.9123623, 0.03764632439613342]","[1737469536.6258187, 1737469536.6259894, 0.044149791717529294]","[1737469741.1291735, 1737469741.1294181, 0.06126199722290039]","[1737469946.5787356, 1737469946.578911, 0.045339157104492184]","[1737470150.2999358, 1737470150.3000994, 0.04225120067596435]"
"[1737469333.3998733, 1737469333.3999784, 0.026651859998703002]","[1737469537.1183622, 1737469537.1185637, 0.052183127403259276]","[1737469741.6268506, 1737469741.6270428, 0.04882749223709107]","[1737469947.0724556, 1737469947.072654, 0.05100956726074219]","[1737470150.7989554, 1737470150.7990866, 0.03381048440933228]"
"[1737469333.8918002, 1737469333.8919349, 0.03410620331764221]","[1737469537.61267, 1737469537.6128068, 0.03547730731964111]","[1737469742.122308, 1737469742.122388, 0.020266350507736206]","[1737469947.5670843, 1737469947.5672421, 0.040645179748535154]","[1737470151.2899187, 1737470151.2900305, 0.028531136250509567]"
"[1737469334.382575, 1737469334.3826773, 0.025876725912094115]","[1737469538.1078413, 1737469538.1079805, 0.036074075698852535]","[1737469742.619519, 1737469742.619597, 0.01995584535598755]","[1737469948.0559762, 1737469948.0561612, 0.04817474746704102]","[1737470151.7838285, 1737470151.7839355, 0.027730324029922485]"
"[1737469334.875917, 1737469334.8760254, 0.027550780773162843]","[1737469538.6008842, 1737469538.6009984, 0.029728852033615114]","[1737469743.1143649, 1737469743.114443, 0.020110088348388674]","[1737469948.550832, 1737469948.5509415, 0.02795549511909485]","[1737470152.2757075, 1737470152.2758121, 0.02722607517242432]"
"[1737469335.3731003, 1737469335.3732195, 0.0303419828414917]","[1737469539.0958672, 1737469539.0960236, 0.040788074493408204]","[1737469743.6080675, 1737469743.60815, 0.02128034496307373]","[1737469949.044482, 1737469949.0446494, 0.043065264701843256]","[1737470152.767762, 1737470152.7678695, 0.028096532344818115]"
"[1737469335.8677428, 1737469335.8678434, 0.02553337526321411]","[1737469539.5897589, 1737469539.5898626, 0.027067401409149167]","[1737469744.1051576, 1737469744.1052456, 0.022626840591430664]","[1737469949.539933, 1737469949.540041, 0.02784560036659241]","[1737470153.2584789, 1737470153.258577, 0.025504705116284207]"
"[1737469336.3584347, 1737469336.358537, 0.026146442413330077]","[1737469540.0830467, 1737469540.083182, 0.035394235610961916]","[1737469744.6002219, 1737469744.6002972, 0.01929404067993164]","[1737469950.027096, 1737469950.0272644, 0.04346736001968384]","[1737470153.7514918, 1737470153.7516055, 0.029415483713150028]"
"[1737469336.851175, 1737469336.8512757, 0.025652400016784666]","[1737469540.5772312, 1737469540.5774496, 0.05667148113250733]","[1737469745.0980957, 1737469745.0982041, 0.028009436130523677]","[1737469950.5196352, 1737469950.519746, 0.029237444400787353]","[1737470154.2423131, 1737470154.242414, 0.026857948064804075]"
"[1737469337.3423972, 1737469337.3425026, 0.02693348979949951]","[1737469541.0712044, 1737469541.0714054, 0.0522145779132843]","[1737469745.594597, 1737469745.5947006, 0.026726626396179197]","[1737469951.0050743, 1737469951.0052412, 0.04326684474945069]","[1737470154.7352617, 1737470154.7353766, 0.030778882026672363]"
