epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1743624145.3014977, 1743624145.5321503, 12.721588349103921]","[1743624348.912704, 1743624349.1396863, 30.669840361356737]","[1743624551.41713, 1743624551.6448402, 28.791046199202505]","[1743624752.4169486, 1743624752.6431456, 30.186106132149696]","[1743624953.6965394, 1743624953.9239488, 30.874562290430063]"
"[1743624145.7683773, 1743624145.9985447, 38.208228309251346]","[1743624349.432164, 1743624349.6607914, 46.130756801843624]","[1743624551.941268, 1743624552.170824, 45.60904189538954]","[1743624752.936691, 1743624753.1653442, 48.126346787214274]","[1743624954.2213857, 1743624954.4508119, 45.584087847948076]"
"[1743624146.2397504, 1743624146.4685295, 63.09134960794451]","[1743624349.906039, 1743624350.1364152, 65.09940789437294]","[1743624552.41443, 1743624552.6454659, 63.71784042704104]","[1743624753.4274848, 1743624753.657122, 64.60850201308732]","[1743624954.716085, 1743624954.9464855, 64.86051696360111]"
"[1743624146.7000303, 1743624146.9304354, 66.71469906878467]","[1743624350.4005404, 1743624350.630727, 64.69990217661856]","[1743624552.9090202, 1743624553.1376972, 65.66205960464477]","[1743624753.892106, 1743624754.1205442, 66.23822378587724]","[1743624955.2347221, 1743624955.461617, 63.36234478878974]"
"[1743624147.1634858, 1743624147.3921804, 63.893300143957134]","[1743624350.9250977, 1743624351.1822093, 70.64161260414122]","[1743624553.4286604, 1743624553.6580575, 64.31174076390269]","[1743624754.3547342, 1743624754.5853949, 67.74180374658107]","[1743624955.756466, 1743624955.9868886, 63.28221268963816]"
"[1743624147.6802347, 1743624147.9089096, 63.883934026122105]","[1743624351.41948, 1743624351.6494372, 64.28337442636489]","[1743624553.9245284, 1743624554.1547275, 64.28346166300773]","[1743624754.8194692, 1743624755.0494852, 67.687587654829]","[1743624956.2239726, 1743624956.4538748, 63.947362151980414]"
"[1743624148.196959, 1743624148.4247596, 61.39691034424303]","[1743624351.8882134, 1743624352.117461, 65.8005692696571]","[1743624554.3930047, 1743624554.6239762, 66.06105778670312]","[1743624755.3122842, 1743624755.5409613, 65.4723034132719]","[1743624956.716156, 1743624956.9470732, 67.21615623128413]"
"[1743624148.7170663, 1743624148.944473, 60.509326303005196]","[1743624352.404333, 1743624352.6331813, 65.18738994252682]","[1743624554.8600154, 1743624555.089219, 66.68652683687208]","[1743624755.8327374, 1743624756.0608702, 63.51936749804021]","[1743624957.2366745, 1743624957.4651618, 63.57282767093182]"
"[1743624149.1758375, 1743624149.4054098, 63.71354594564441]","[1743624352.8681736, 1743624353.0981824, 64.72304540014268]","[1743624555.3279312, 1743624555.558332, 66.16507250475887]","[1743624756.3205612, 1743624756.5497663, 63.232535657167475]","[1743624957.7038887, 1743624957.934553, 65.4095425511599]"
"[1743624149.6641362, 1743624149.89233, 63.443289852142335]","[1743624353.3359454, 1743624353.5655758, 67.1637638437748]","[1743624555.8002188, 1743624556.0307183, 66.3787579437494]","[1743624756.8365855, 1743624757.0642545, 64.24617752683163]","[1743624958.172722, 1743624958.4026825, 65.06558877992626]"
"[1743624150.1825645, 1743624150.4112196, 62.42062933874128]","[1743624353.8610275, 1743624354.088863, 65.0971664248705]","[1743624556.2687595, 1743624556.501072, 67.07330612730978]","[1743624757.3250082, 1743624757.5561416, 65.06657501661778]","[1743624958.6953351, 1743624958.9247458, 64.30600307011608]"
"[1743624150.672638, 1743624150.9027755, 61.887910720825204]","[1743624354.3272612, 1743624354.5564995, 64.84767140769956]","[1743624556.739602, 1743624556.9704034, 69.30838354253768]","[1743624757.848465, 1743624758.0761044, 63.72396519172191]","[1743624959.164469, 1743624959.3937817, 65.25270023763181]"
"[1743624151.165139, 1743624151.3950906, 64.2482280164957]","[1743624354.7925453, 1743624355.0242822, 66.90666581296921]","[1743624557.2084582, 1743624557.438474, 67.09479491162307]","[1743624758.31622, 1743624758.5464013, 65.25412324786188]","[1743624959.632078, 1743624959.861005, 66.79790679800504]"
"[1743624151.6358063, 1743624151.866704, 65.07243504524229]","[1743624355.295844, 1743624355.5254526, 64.76555496096611]","[1743624557.729061, 1743624557.9585483, 64.98151410543919]","[1743624758.750655, 1743624758.9796362, 66.31622097492216]","[1743624960.1526198, 1743624960.38194, 65.38109370195863]"
"[1743624152.107575, 1743624152.3375173, 65.39245038712025]","[1743624355.7636628, 1743624355.9934564, 65.01710340893268]","[1743624558.2526028, 1743624558.4829757, 63.30010526990888]","[1743624759.216188, 1743624759.446957, 67.40129740607736]","[1743624960.6437879, 1743624960.8740954, 64.6666567735672]"
"[1743624152.571815, 1743624152.8017848, 64.09941326618194]","[1743624356.260711, 1743624356.4899194, 65.89877592015269]","[1743624558.7238574, 1743624558.953851, 64.1009214525223]","[1743624759.6844819, 1743624759.9129817, 66.17264521503444]","[1743624961.1651149, 1743624961.3933961, 63.70547231245044]"
"[1743624153.036089, 1743624153.2661939, 66.97222517323493]","[1743624356.7800796, 1743624357.0087938, 63.27636069846157]","[1743624559.188964, 1743624559.421061, 67.89952938175202]","[1743624760.1729097, 1743624760.4031656, 67.41505552220349]","[1743624961.6323113, 1743624961.8640366, 65.66412213635442]"
"[1743624153.560739, 1743624153.7894254, 63.917888370275506]","[1743624357.276479, 1743624357.5061252, 64.15336439967159]","[1743624559.6557922, 1743624559.8849483, 67.4598855243556]","[1743624760.643702, 1743624760.8727803, 65.91596433866025]","[1743624962.0678291, 1743624962.2972765, 65.76593219184868]"
"[1743624154.076721, 1743624154.3063617, 61.342179805517134]","[1743624357.7437043, 1743624357.9732745, 65.41920905566217]","[1743624560.1450012, 1743624560.3751035, 66.34940946757794]","[1743624761.1083724, 1743624761.3382819, 66.75129175102713]","[1743624962.563949, 1743624962.7937155, 65.86665787696838]"
"[1743624154.544286, 1743624154.7748017, 62.645141438961026]","[1743624358.2073596, 1743624358.4364815, 66.628991044879]","[1743624560.6121194, 1743624560.8434434, 67.70966736996172]","[1743624761.5759006, 1743624761.8034754, 65.19429393804076]","[1743624963.084286, 1743624963.31285, 63.49424222815036]"
"[1743624155.0162687, 1743624155.2462084, 64.94162225210667]","[1743624358.6715138, 1743624358.9027781, 68.70949158537387]","[1743624561.094996, 1743624561.326429, 67.9457175900936]","[1743624762.0436137, 1743624762.2717366, 67.86796608412266]","[1743624963.551877, 1743624963.782926, 65.10175319492816]"
