epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1743622987.2440445, 1743622987.259833, 1.7980638141632084]","[1743623216.8082752, 1743623216.8105683, 0.4217235474586487]","[1743623447.0377991, 1743623447.040214, 0.3754799790382385]","[1743623673.0788527, 1743623673.08127, 0.32571775364875794]","[1743623897.8526883, 1743623897.8551455, 0.3929854431152344]"
"[1743622987.69051, 1743622987.6926246, 0.4517068338394165]","[1743623217.2505507, 1743623217.2526135, 0.4599976644515991]","[1743623447.4832325, 1743623447.4853728, 0.500894847869873]","[1743623673.5251503, 1743623673.5274727, 0.5316217153072358]","[1743623898.2627597, 1743623898.2649982, 0.47379898118972774]"
"[1743622988.1790388, 1743622988.1811502, 0.5896899948120117]","[1743623217.7117054, 1743623217.7137487, 0.6413957357406617]","[1743623447.973819, 1743623447.9759202, 0.6361898663043976]","[1743623673.984683, 1743623673.986865, 0.6843995361328126]","[1743623898.7477217, 1743623898.7499697, 0.7083579232692718]"
"[1743622988.6684506, 1743622988.670555, 0.5816348309516908]","[1743623218.1989708, 1743623218.2010446, 0.6238237061500549]","[1743623448.3822105, 1743623448.3843095, 0.66311181538289]","[1743623674.470914, 1743623674.4731548, 0.6791439371109009]","[1743623899.2408328, 1743623899.243137, 0.6804078063964843]"
"[1743622989.1085975, 1743622989.1106822, 0.6000609359741211]","[1743623218.6864142, 1743623218.6885233, 0.607465669631958]","[1743623448.870531, 1743623448.8725984, 0.6530067372322083]","[1743623674.9078298, 1743623674.9099603, 0.6607303161621093]","[1743623899.7311797, 1743623899.7334332, 0.660501335144043]"
"[1743622989.570952, 1743622989.5729997, 0.6006785745620727]","[1743623219.1749122, 1743623219.177001, 0.6171688137768865]","[1743623449.3631482, 1743623449.3652897, 0.6324056067466736]","[1743623675.3387544, 1743623675.340917, 0.673347526301972]","[1743623900.2171547, 1743623900.2193284, 0.6419889528751372]"
"[1743622990.0044541, 1743622990.006541, 0.6196691532135009]","[1743623219.6407688, 1743623219.642837, 0.6245981633663177]","[1743623449.8529177, 1743623449.8550172, 0.6182627854347229]","[1743623675.8269944, 1743623675.8290918, 0.6431369972229004]","[1743623900.679797, 1743623900.6819172, 0.6411761438846587]"
"[1743622990.46268, 1743622990.4647572, 0.6142740325927734]","[1743623220.1260395, 1743623220.1281881, 0.6487782955169676]","[1743623450.3445024, 1743623450.3467028, 0.6362267575263978]","[1743623676.3162854, 1743623676.3183615, 0.6128667240142822]","[1743623901.1687396, 1743623901.1708722, 0.6422104215621949]"
"[1743622990.922014, 1743622990.9242408, 0.6496552467346192]","[1743623220.5885642, 1743623220.5906703, 0.63666534948349]","[1743623450.779558, 1743623450.781655, 0.6335680847167969]","[1743623676.804524, 1743623676.8068151, 0.6770320224761963]","[1743623901.6571474, 1743623901.6593127, 0.6383792014722374]"
"[1743622991.3575432, 1743622991.3596234, 0.6173041343688965]","[1743623221.0788305, 1743623221.0809684, 0.6454446558952331]","[1743623451.2691119, 1743623451.271189, 0.6403935985565186]","[1743623677.2932415, 1743623677.2955015, 0.6657215378284456]","[1743623902.0655956, 1743623902.0676832, 0.631699402809143]"
