epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1743622533.3912868, 1743622533.4282804, 1.4754120869636533]","[1743622590.9720519, 1743622591.0094044, 4.868234104156493]","[1743622648.4688485, 1743622648.5062838, 5.343919309854507]","[1743622707.7237387, 1743622707.7609305, 4.305107468605041]","[1743622766.474845, 1743622766.5123773, 4.709648193597793]"
"[1743622533.5268922, 1743622533.5631769, 1.9248173027038575]","[1743622591.1058114, 1743622591.1425195, 4.977363644838332]","[1743622648.6071393, 1743622648.6437576, 4.7926359879970555]","[1743622707.8633215, 1743622707.8995478, 3.643878617725243]","[1743622766.6188142, 1743622766.6557844, 4.222840135574341]"
"[1743622533.6584775, 1743622533.6953151, 3.335200620651244]","[1743622591.238464, 1743622591.275412, 4.9282674465179435]","[1743622648.7589004, 1743622648.7956896, 4.562373225688934]","[1743622708.002333, 1743622708.040854, 4.369059439659119]","[1743622766.758418, 1743622766.7952354, 4.428018143177033]"
"[1743622533.7903237, 1743622533.8266006, 3.651950922966003]","[1743622591.3704994, 1743622591.4071195, 4.98234261226654]","[1743622648.8941755, 1743622648.9308918, 5.226370729207991]","[1743622708.1437597, 1743622708.180647, 5.198250500679016]","[1743622766.8963077, 1743622766.9331565, 5.280454559326173]"
"[1743622533.9247649, 1743622533.9608617, 4.800897175788879]","[1743622591.503421, 1743622591.5399292, 5.9293186468762205]","[1743622649.0314534, 1743622649.067933, 5.84954515337944]","[1743622708.2847142, 1743622708.3211381, 6.219238914966584]","[1743622767.0330667, 1743622767.0699625, 6.374663543701171]"
"[1743622534.0551426, 1743622534.0912354, 6.4068015251159665]","[1743622591.6336586, 1743622591.6701455, 6.568985550165177]","[1743622649.1742742, 1743622649.2107148, 6.861402623653411]","[1743622708.4217806, 1743622708.4585702, 6.853802485227584]","[1743622767.1741612, 1743622767.2109256, 7.278906723976134]"
"[1743622534.186261, 1743622534.2225134, 6.940214589595795]","[1743622591.7636862, 1743622591.7999618, 7.410312170505524]","[1743622649.310349, 1743622649.3468611, 7.703732183694841]","[1743622708.558376, 1743622708.5952024, 7.134723760724066]","[1743622767.3108537, 1743622767.3472521, 7.253111319541931]"
"[1743622534.3179379, 1743622534.354205, 7.739459331035612]","[1743622591.8942935, 1743622591.9307804, 8.435179187774658]","[1743622649.4449663, 1743622649.4817367, 8.118487432956695]","[1743622708.7038088, 1743622708.7404082, 8.390338714599608]","[1743622767.4461668, 1743622767.482791, 8.062108520984651]"
"[1743622534.4502423, 1743622534.486329, 8.370332178884427]","[1743622592.0266345, 1743622592.0629854, 9.147138852596282]","[1743622649.5860593, 1743622649.6225362, 9.199060453176497]","[1743622708.8428466, 1743622708.8797808, 9.318556720256804]","[1743622767.5819473, 1743622767.6187925, 9.398579441849844]"
"[1743622534.5898638, 1743622534.6260645, 8.76045853126049]","[1743622592.1571705, 1743622592.1934433, 9.278402094364166]","[1743622649.7216504, 1743622649.758178, 9.277791436433791]","[1743622708.980767, 1743622709.0175397, 8.99821298789978]","[1743622767.7203548, 1743622767.7570484, 9.159633159637451]"
"[1743622534.7219455, 1743622534.7582383, 9.240471317052842]","[1743622592.2890565, 1743622592.3253145, 9.429577186822891]","[1743622649.8659372, 1743622649.9024756, 9.49043773818016]","[1743622709.1191611, 1743622709.1554546, 8.90334157705307]","[1743622767.8558817, 1743622767.8923779, 9.405754481315613]"
"[1743622534.854727, 1743622534.8909864, 9.23345946073532]","[1743622592.419494, 1743622592.4561467, 9.905273513317109]","[1743622650.0106168, 1743622650.0473566, 9.488868392944335]","[1743622709.2570376, 1743622709.2938464, 9.096816547155381]","[1743622767.9928484, 1743622768.0294557, 9.482820758581159]"
"[1743622534.9956775, 1743622535.0320785, 8.937727736234665]","[1743622592.5519338, 1743622592.588458, 9.634086553573608]","[1743622650.1742415, 1743622650.2106326, 9.134499329328538]","[1743622709.3956263, 1743622709.4325602, 9.345873199462888]","[1743622768.1281204, 1743622768.1647196, 9.51512689292431]"
"[1743622535.1511786, 1743622535.187508, 8.856023668289184]","[1743622592.682769, 1743622592.719234, 9.245211279153825]","[1743622650.310969, 1743622650.3475347, 9.408825931072236]","[1743622709.5370176, 1743622709.5732605, 9.214483115196229]","[1743622768.2655067, 1743622768.3019361, 9.407001130327403]"
"[1743622535.2831423, 1743622535.319322, 8.769486979246139]","[1743622592.8149498, 1743622592.85148, 9.476189217925072]","[1743622650.449969, 1743622650.4867175, 8.992352067232131]","[1743622709.6750572, 1743622709.7121205, 9.05624675154686]","[1743622768.4023414, 1743622768.4387136, 9.486920577049258]"
"[1743622535.4158077, 1743622535.452046, 8.713292438983917]","[1743622592.9477942, 1743622592.9841769, 9.100580453872682]","[1743622650.5908234, 1743622650.627522, 9.392157429456711]","[1743622709.8140447, 1743622709.851052, 9.154341370582582]","[1743622768.5385623, 1743622768.5749576, 9.095916213989257]"
"[1743622535.5501397, 1743622535.5865464, 8.886452123641966]","[1743622593.0814652, 1743622593.1179917, 9.167588938474657]","[1743622650.7282975, 1743622650.7643597, 8.937701772689822]","[1743622709.9570851, 1743622709.9947305, 9.491519565582276]","[1743622768.6739626, 1743622768.712075, 9.767768321871756]"
"[1743622535.6836812, 1743622535.7197647, 8.779666357636453]","[1743622593.2146986, 1743622593.2513092, 9.574697868347169]","[1743622650.864997, 1743622650.9014122, 8.75075422859192]","[1743622710.1278372, 1743622710.1643975, 9.265220149755482]","[1743622768.812031, 1743622768.848476, 9.353579755306246]"
"[1743622535.8159664, 1743622535.8521514, 8.845755312204359]","[1743622593.3517697, 1743622593.3883576, 9.456846651315688]","[1743622651.0107863, 1743622651.0476072, 9.274077191352843]","[1743622710.2653463, 1743622710.3019042, 9.019910863995552]","[1743622768.948346, 1743622768.9849887, 9.310529827833175]"
"[1743622535.9474921, 1743622535.984982, 9.200131733894349]","[1743622593.4866948, 1743622593.5233777, 9.183916864395142]","[1743622651.1502342, 1743622651.1870868, 8.791776939868926]","[1743622710.4028535, 1743622710.439247, 8.72979802441597]","[1743622769.0895529, 1743622769.1260924, 9.375245839118957]"
"[1743622536.080255, 1743622536.116581, 8.950346274375915]","[1743622593.6194391, 1743622593.6560853, 9.580397164821626]","[1743622651.2869313, 1743622651.3228407, 8.803710579872133]","[1743622710.5424762, 1743622710.5789814, 8.906033068656923]","[1743622769.2259722, 1743622769.2627234, 9.350889155387879]"
"[1743622536.2147598, 1743622536.2510688, 9.321407360196112]","[1743622593.760343, 1743622593.7970078, 9.419157341480258]","[1743622651.4229672, 1743622651.459406, 9.002363902330401]","[1743622710.6810746, 1743622710.717561, 9.180230437517167]","[1743622769.3634074, 1743622769.3998888, 9.222188966035842]"
"[1743622536.3460124, 1743622536.382303, 9.240551659703256]","[1743622593.8927176, 1743622593.9285512, 9.023150605916975]","[1743622651.5600991, 1743622651.5969667, 9.034299325466156]","[1743622710.8189976, 1743622710.8554544, 8.919052461862561]","[1743622769.4997144, 1743622769.5361044, 9.171715881586076]"
"[1743622536.4796576, 1743622536.516156, 9.076464507341388]","[1743622594.024298, 1743622594.0610368, 9.481017138957977]","[1743622651.6997418, 1743622651.7362864, 9.255896874189373]","[1743622710.9586458, 1743622710.9952307, 8.886268845558169]","[1743622769.6482906, 1743622769.686887, 9.761231664419174]"
"[1743622536.614881, 1743622536.6507335, 8.986842372894285]","[1743622594.161591, 1743622594.1981418, 9.429255481958387]","[1743622651.836446, 1743622651.873375, 9.272052241802214]","[1743622711.0981696, 1743622711.1346319, 8.727280438542365]","[1743622769.7866986, 1743622769.8234398, 9.329127147674562]"
"[1743622536.746598, 1743622536.7822576, 9.239175867557526]","[1743622594.2955585, 1743622594.3322487, 9.258562786579134]","[1743622651.9748166, 1743622652.0113735, 9.31727217912674]","[1743622711.2364774, 1743622711.2729135, 9.164694564819337]","[1743622769.92338, 1743622769.9600794, 9.027351241111756]"
"[1743622536.8812962, 1743622536.9175029, 9.067430489063263]","[1743622594.4350731, 1743622594.4717915, 9.461013283252715]","[1743622652.1112983, 1743622652.1477733, 9.30774894571304]","[1743622711.3829734, 1743622711.4195597, 9.18308427143097]","[1743622770.0727782, 1743622770.109301, 9.224141813278196]"
"[1743622537.0128167, 1743622537.0490823, 9.103374314904213]","[1743622594.5650365, 1743622594.6017182, 9.312563694000247]","[1743622652.247567, 1743622652.284214, 9.36761699986458]","[1743622711.52041, 1743622711.5568192, 8.873009792804718]","[1743622770.208318, 1743622770.244795, 8.890439721107482]"
"[1743622537.1449535, 1743622537.1811235, 9.370852762222288]","[1743622594.6974244, 1743622594.7338278, 9.24577640223503]","[1743622652.38375, 1743622652.4202552, 9.332925138473511]","[1743622711.6586187, 1743622711.695077, 9.11126115179062]","[1743622770.344515, 1743622770.381226, 9.145559508323668]"
"[1743622537.2768052, 1743622537.3128555, 9.188685729503629]","[1743622594.8283172, 1743622594.8646924, 9.536799259662628]","[1743622652.5187175, 1743622652.5552368, 9.449470294475555]","[1743622711.7962034, 1743622711.8326354, 9.158902497053145]","[1743622770.4814339, 1743622770.517924, 9.23282387781143]"
"[1743622537.4166555, 1743622537.45277, 9.01027210175991]","[1743622594.960791, 1743622594.997229, 9.373490295410155]","[1743622652.6545174, 1743622652.691295, 9.529222531557085]","[1743622711.935675, 1743622711.9724147, 9.025652664184571]","[1743622770.621257, 1743622770.6576777, 9.30276401853561]"
"[1743622537.5492465, 1743622537.5853853, 9.233817880153655]","[1743622595.1218286, 1743622595.1581695, 9.241124412775044]","[1743622652.7920375, 1743622652.8283505, 9.312737645149232]","[1743622712.0724607, 1743622712.1089075, 9.15918066251278]","[1743622770.7582524, 1743622770.7945902, 9.1891550989151]"
"[1743622537.6812708, 1743622537.7173004, 9.01373551940918]","[1743622595.25351, 1743622595.2898755, 9.276768623352053]","[1743622652.928061, 1743622652.9644804, 9.430145914077759]","[1743622712.209515, 1743622712.2459614, 9.039221606492998]","[1743622770.900258, 1743622770.9368637, 9.125006500482561]"
"[1743622537.8152876, 1743622537.8513534, 8.916622596502306]","[1743622595.3838885, 1743622595.4202313, 9.192708194732663]","[1743622653.0636952, 1743622653.100021, 9.233347350835801]","[1743622712.3469586, 1743622712.3834271, 9.145170745849608]","[1743622771.044281, 1743622771.0805979, 9.066103429794312]"
"[1743622537.9551158, 1743622537.9912508, 9.151575665712356]","[1743622595.51594, 1743622595.5524316, 9.321057679653167]","[1743622653.1998696, 1743622653.2363172, 9.29521708869934]","[1743622712.486688, 1743622712.523263, 9.228404473781586]","[1743622771.1806858, 1743622771.2177396, 9.348679661750795]"
"[1743622538.0860095, 1743622538.122134, 8.925163898229599]","[1743622595.6512055, 1743622595.6872911, 9.249123859405517]","[1743622653.3358674, 1743622653.37223, 9.369563512802126]","[1743622712.6256576, 1743622712.6627367, 9.263629877209665]","[1743622771.3188162, 1743622771.3552716, 9.07487739443779]"
"[1743622538.2177403, 1743622538.2538552, 9.084385885477067]","[1743622595.7835975, 1743622595.8199396, 9.164071376323701]","[1743622653.479846, 1743622653.5162568, 9.208075020790103]","[1743622712.763799, 1743622712.8002834, 9.173976845860482]","[1743622771.4549854, 1743622771.491743, 9.234505074977875]"
"[1743622538.3497095, 1743622538.3859081, 9.17291617154336]","[1743622595.9159381, 1743622595.9529355, 9.432207311153414]","[1743622653.6165342, 1743622653.6531043, 9.286626106500623]","[1743622712.9016826, 1743622712.9382105, 9.195489990949632]","[1743622771.592466, 1743622771.628867, 9.020116996765138]"
"[1743622538.4828568, 1743622538.518898, 8.7710503424374]","[1743622596.0474994, 1743622596.0838277, 9.201401438713074]","[1743622653.763127, 1743622653.7995713, 8.995339718818666]","[1743622713.0396197, 1743622713.076046, 9.191267603635788]","[1743622771.737292, 1743622771.7737145, 8.981850864648818]"
"[1743622538.6180568, 1743622538.6538987, 8.86027138900757]","[1743622596.1781042, 1743622596.2144854, 9.163915539145469]","[1743622653.8990238, 1743622653.9354477, 9.159887800216676]","[1743622713.1780813, 1743622713.2145007, 9.041041133880615]","[1743622771.8736672, 1743622771.9101, 9.13704050064087]"
"[1743622538.7646585, 1743622538.8010511, 9.066321821212767]","[1743622596.3095865, 1743622596.3459218, 9.676471402883527]","[1743622654.0351622, 1743622654.071545, 9.059941005706785]","[1743622713.3161027, 1743622713.352523, 9.081813725948333]","[1743622772.0097034, 1743622772.0464187, 8.994396475553511]"
"[1743622538.8963473, 1743622538.932523, 8.808608851432801]","[1743622596.4402072, 1743622596.4766922, 9.648994084596632]","[1743622654.174421, 1743622654.2108276, 9.030765707135197]","[1743622713.4537373, 1743622713.4902692, 9.12283723783493]","[1743622772.1470497, 1743622772.183554, 9.079721279476605]"
"[1743622539.0292861, 1743622539.0654886, 8.953404154777527]","[1743622596.5814927, 1743622596.6180189, 9.265455849647523]","[1743622654.3106155, 1743622654.3470588, 9.20011251246929]","[1743622713.5921915, 1743622713.6286426, 9.218228361845016]","[1743622772.2834375, 1743622772.3198285, 9.164436154357]"
"[1743622539.1664572, 1743622539.2025993, 8.963475133657456]","[1743622596.7135687, 1743622596.7501588, 9.170466825962068]","[1743622654.4465282, 1743622654.482906, 9.157083077430725]","[1743622713.7362263, 1743622713.7728217, 9.327750775337218]","[1743622772.4198365, 1743622772.456246, 9.167226024627686]"
"[1743622539.2973607, 1743622539.333525, 8.8620739787817]","[1743622596.8468163, 1743622596.8832335, 9.169814282178878]","[1743622654.58826, 1743622654.6246293, 9.140738502502442]","[1743622713.8750465, 1743622713.9116547, 8.998812781333925]","[1743622772.5563505, 1743622772.5929785, 9.208166201353075]"
"[1743622539.4278002, 1743622539.4639606, 9.011297369956973]","[1743622596.9775646, 1743622597.0141585, 9.139073872089387]","[1743622654.7245624, 1743622654.7611313, 9.055831582546233]","[1743622714.0141294, 1743622714.0506275, 9.04668334197998]","[1743622772.6930044, 1743622772.7294402, 9.152683639526366]"
"[1743622539.5589406, 1743622539.5950413, 9.119415232419968]","[1743622597.1092515, 1743622597.1457386, 9.509706501007077]","[1743622654.8613, 1743622654.8978274, 9.193251363515854]","[1743622714.1659448, 1743622714.2025673, 9.221331873893739]","[1743622772.8295212, 1743622772.8659635, 9.160568761825562]"
"[1743622539.694948, 1743622539.73076, 8.854909615516663]","[1743622597.2387235, 1743622597.2751858, 9.599540944576264]","[1743622655.0056283, 1743622655.0418627, 9.103058728456498]","[1743622714.299855, 1743622714.3363245, 9.140048887252808]","[1743622772.9660306, 1743622773.0024402, 9.186751189351083]"
"[1743622539.826088, 1743622539.8622427, 9.132571457028389]","[1743622597.3693721, 1743622597.4057055, 9.258057579278944]","[1743622655.170795, 1743622655.2073107, 9.161463684558866]","[1743622714.4335666, 1743622714.470252, 9.228852818012237]","[1743622773.102461, 1743622773.1391032, 9.218303197860717]"
"[1743622539.957999, 1743622539.994146, 9.294350157976151]","[1743622597.4990933, 1743622597.535452, 9.305864294886588]","[1743622655.3084147, 1743622655.3447742, 9.115157028436661]","[1743622714.5720973, 1743622714.6083107, 9.059665460586546]","[1743622773.2394943, 1743622773.2759001, 9.103998849391937]"
"[1743622540.1200726, 1743622540.156143, 8.91410088300705]","[1743622597.6309152, 1743622597.6672695, 9.320609078407287]","[1743622655.4448826, 1743622655.4814034, 8.747294231414795]","[1743622714.7101657, 1743622714.746688, 9.037017621874812]","[1743622773.374582, 1743622773.4111233, 9.33459065437317]"
"[1743622540.2524064, 1743622540.2884555, 9.026160808801652]","[1743622597.7629583, 1743622597.7988327, 9.037219353675843]","[1743622655.5811436, 1743622655.6174648, 9.009564945578576]","[1743622714.8450685, 1743622714.8815856, 9.217146059036256]","[1743622773.5114872, 1743622773.5480623, 9.17385066461563]"
"[1743622540.3843699, 1743622540.4204504, 8.910276522206177]","[1743622597.8945177, 1743622597.9310038, 9.540142794132233]","[1743622655.7171082, 1743622655.7535229, 9.042515662670134]","[1743622714.9798312, 1743622715.0162647, 9.239743632793425]","[1743622773.6478944, 1743622773.6845915, 9.180599228858949]"
