epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1743622533.3905203, 1743622533.3912864, 0.030298370361328125]","[1743622590.9718897, 1743622590.9720514, 0.021067880630493162]","[1743622648.4686773, 1743622648.468848, 0.02510546970367432]","[1743622707.723568, 1743622707.7237382, 0.019704903602600098]","[1743622766.4746654, 1743622766.4748383, 0.021913152933120728]"
"[1743622533.526756, 1743622533.526892, 0.005514764785766601]","[1743622591.1057155, 1743622591.105811, 0.012963484048843383]","[1743622648.607027, 1743622648.6071389, 0.014464705228805544]","[1743622707.8632205, 1743622707.8633208, 0.01008469843864441]","[1743622766.6187115, 1743622766.6188135, 0.011655674934387208]"
"[1743622533.6583827, 1743622533.658477, 0.008548032760620116]","[1743622591.2383716, 1743622591.2384634, 0.012243471145629882]","[1743622648.7587986, 1743622648.7588997, 0.012536510467529297]","[1743622708.0022168, 1743622708.0023322, 0.012231826782226562]","[1743622766.7583122, 1743622766.7584174, 0.01264549970626831]"
"[1743622533.7902193, 1743622533.7903235, 0.01048859429359436]","[1743622591.3704157, 1743622591.370499, 0.010291675090789796]","[1743622648.8940752, 1743622648.894175, 0.014219893217086792]","[1743622708.14347, 1743622708.1437573, 0.04048638701438904]","[1743622766.8962085, 1743622766.8963072, 0.013540589332580566]"
"[1743622533.9246829, 1743622533.9247646, 0.009925425767898559]","[1743622591.5033383, 1743622591.5034208, 0.012700482950345291]","[1743622649.0313582, 1743622649.0314527, 0.01485666561126709]","[1743622708.2845366, 1743622708.2847133, 0.030165382862091066]","[1743622767.0329716, 1743622767.033066, 0.016312336921691897]"
"[1743622534.055038, 1743622534.055141, 0.014867900848388673]","[1743622591.6335726, 1743622591.6336582, 0.015409775495529176]","[1743622649.1741717, 1743622649.174274, 0.019252148568495577]","[1743622708.4216828, 1743622708.4217799, 0.018077583074569702]","[1743622767.1740584, 1743622767.1741607, 0.020250523567199707]"
"[1743622534.1860943, 1743622534.1862602, 0.031767591476440434]","[1743622591.763602, 1743622591.7636857, 0.017094988346099852]","[1743622649.3102396, 1743622649.3103483, 0.022938703536987307]","[1743622708.5582738, 1743622708.5583754, 0.01884877824783325]","[1743622767.3107483, 1743622767.310853, 0.02085674524307251]"
"[1743622534.317837, 1743622534.3179376, 0.021470938682556152]","[1743622591.8942115, 1743622591.894293, 0.018850547790527344]","[1743622649.4448695, 1743622649.444966, 0.021319280862808227]","[1743622708.703707, 1743622708.7038083, 0.023229217529296874]","[1743622767.446065, 1743622767.4461663, 0.0213404655456543]"
"[1743622534.450145, 1743622534.4502363, 0.021155518054962158]","[1743622592.0265563, 1743622592.026634, 0.01955811595916748]","[1743622649.585963, 1743622649.5860584, 0.024050617218017576]","[1743622708.8427436, 1743622708.842846, 0.025805844783782957]","[1743622767.5818472, 1743622767.5819464, 0.023937286992339667]"
"[1743622534.5897775, 1743622534.5898635, 0.020965831995010373]","[1743622592.1570914, 1743622592.15717, 0.02037346601486206]","[1743622649.7215507, 1743622649.72165, 0.025217155456542968]","[1743622708.980666, 1743622708.9807668, 0.02467805242538452]","[1743622767.7202563, 1743622767.7203543, 0.02446076273918152]"
"[1743622534.7218604, 1743622534.7219448, 0.021489044666290286]","[1743622592.288975, 1743622592.289056, 0.02108179569244385]","[1743622649.8658462, 1743622649.8659363, 0.023408256053924558]","[1743622709.1190023, 1743622709.1191604, 0.03877731442451477]","[1743622767.8557887, 1743622767.855881, 0.02377921414375305]"
"[1743622534.8546429, 1743622534.8547266, 0.021310365200042727]","[1743622592.4194055, 1743622592.4194934, 0.023775285243988035]","[1743622650.010521, 1743622650.0106163, 0.0246307373046875]","[1743622709.256932, 1743622709.2570372, 0.025878220796585083]","[1743622767.992736, 1743622767.992848, 0.02895166230201721]"
"[1743622534.9955978, 1743622534.995677, 0.019435315132141112]","[1743622592.5518477, 1743622592.5519328, 0.02245106792449951]","[1743622650.1741502, 1743622650.174241, 0.022943185329437257]","[1743622709.3955328, 1743622709.3956254, 0.023275722503662107]","[1743622768.1280222, 1743622768.1281195, 0.02528317451477051]"
