epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1743622175.0501866, 1743622175.104479, 1.7793804421424868]","[1743622233.9094775, 1743622233.9458385, 7.927093410253523]","[1743622294.358571, 1743622294.395052, 6.972756363832804]","[1743622354.781453, 1743622354.8179512, 5.194731206893921]","[1743622414.2326105, 1743622414.2693987, 7.233705504178999]"
"[1743622175.2214088, 1743622175.256006, 1.9844413954019549]","[1743622234.0292761, 1743622234.064858, 7.45677677321434]","[1743622294.4858284, 1743622294.5217974, 6.031072708606721]","[1743622354.9015172, 1743622354.9372578, 4.647566473960877]","[1743622414.3528473, 1743622414.388671, 6.249316688776016]"
"[1743622175.336974, 1743622175.3719752, 2.7161337387561795]","[1743622234.159771, 1743622234.1954064, 7.151076941013336]","[1743622294.605172, 1743622294.6408238, 5.9149591165781015]","[1743622355.0246692, 1743622355.0662348, 4.954663079977036]","[1743622414.4722219, 1743622414.5080667, 5.923712120056153]"
"[1743622175.452934, 1743622175.4883218, 3.5527424576282502]","[1743622234.2776089, 1743622234.3133025, 6.58697672367096]","[1743622294.7221246, 1743622294.757599, 5.804499374270439]","[1743622355.1503322, 1743622355.1863508, 4.332414929389953]","[1743622414.6034207, 1743622414.6391346, 6.1145072841644295]"
"[1743622175.571196, 1743622175.6065526, 4.4936061995029455]","[1743622234.400741, 1743622234.4365077, 6.327699008941651]","[1743622294.8437798, 1743622294.8790855, 5.773763695478441]","[1743622355.2713337, 1743622355.3068814, 5.480395218491555]","[1743622414.7228189, 1743622414.7586267, 5.666591942310333]"
"[1743622175.6896834, 1743622175.7244344, 5.600676964879036]","[1743622234.5201323, 1743622234.5558062, 6.519759581446648]","[1743622294.970503, 1743622295.0061, 6.517355621337891]","[1743622355.387832, 1743622355.4234698, 6.22339904642105]","[1743622414.8399987, 1743622414.8750727, 5.80320301437378]"
"[1743622175.8051548, 1743622175.8401155, 6.485917739868164]","[1743622234.6393886, 1743622234.6749873, 6.981117047567604]","[1743622295.1252582, 1743622295.1612275, 7.329167817115785]","[1743622355.504476, 1743622355.5400329, 7.246196735978125]","[1743622414.9649382, 1743622415.0005207, 6.581093551132945]"
"[1743622175.9267259, 1743622175.9622433, 7.343162610054017]","[1743622234.7583714, 1743622234.7939594, 7.491991243362428]","[1743622295.2483659, 1743622295.284176, 7.810413465738296]","[1743622355.6209035, 1743622355.6564555, 8.153216995716095]","[1743622415.117742, 1743622415.153506, 8.2428462471962]"
"[1743622176.0701334, 1743622176.1055112, 7.809034873247147]","[1743622234.8769703, 1743622234.91234, 7.9673285267353045]","[1743622295.3704584, 1743622295.4063156, 9.325358001708983]","[1743622355.7386656, 1743622355.7740505, 8.776976579904556]","[1743622415.236421, 1743622415.271924, 8.822463855743408]"
"[1743622176.1923745, 1743622176.2281904, 8.260591678619383]","[1743622235.0053425, 1743622235.0409174, 9.468832300186158]","[1743622295.4902384, 1743622295.525936, 9.41116301727295]","[1743622355.8560092, 1743622355.8914719, 9.605723840951923]","[1743622415.353686, 1743622415.389277, 9.500246715784074]"
"[1743622176.3113468, 1743622176.346623, 8.64093423104286]","[1743622235.156087, 1743622235.1917107, 9.221759103298185]","[1743622295.6108303, 1743622295.6464503, 9.548432746887206]","[1743622355.9813852, 1743622356.016832, 9.831901729106907]","[1743622415.4719777, 1743622415.507073, 9.430891418457033]"
"[1743622176.4327273, 1743622176.4687028, 9.473042555212976]","[1743622235.2750616, 1743622235.3107793, 9.283362123489379]","[1743622295.7299786, 1743622295.7656524, 9.361212419748307]","[1743622356.0993044, 1743622356.1348662, 9.909757874250412]","[1743622415.5911016, 1743622415.6265454, 9.359356175422668]"
"[1743622176.5506365, 1743622176.5855422, 9.064371278218578]","[1743622235.3945305, 1743622235.4301763, 9.492955166339875]","[1743622295.8495824, 1743622295.8851738, 9.14552127814293]","[1743622356.2165837, 1743622356.2520187, 9.913674563169481]","[1743622415.7111242, 1743622415.7467234, 9.444191381454468]"
"[1743622176.670447, 1743622176.705135, 8.9173415081501]","[1743622235.5158753, 1743622235.5513735, 9.462491290569305]","[1743622295.9752169, 1743622296.0109756, 9.247172788858412]","[1743622356.334417, 1743622356.3699098, 9.583479230642318]","[1743622415.8284032, 1743622415.8639665, 9.523050740718842]"
"[1743622176.7863495, 1743622176.8213193, 9.024666406273843]","[1743622235.6420977, 1743622235.6777344, 9.41103699040413]","[1743622296.0958614, 1743622296.131488, 9.442095384836197]","[1743622356.4527578, 1743622356.4882207, 9.711503195762635]","[1743622415.9466438, 1743622415.9839087, 10.123287534713748]"
"[1743622176.901492, 1743622176.9369462, 9.165742744207384]","[1743622235.7614648, 1743622235.7972686, 9.307447100639342]","[1743622296.2151587, 1743622296.2506762, 9.549009617328641]","[1743622356.5712955, 1743622356.6071699, 10.025307037353516]","[1743622416.0665731, 1743622416.1020777, 9.584532257080077]"
"[1743622177.017433, 1743622177.0527287, 9.140324359416962]","[1743622235.882242, 1743622235.917831, 9.318450051784517]","[1743622296.3335345, 1743622296.3689873, 9.714667079448699]","[1743622356.6894414, 1743622356.7251203, 10.034359256744382]","[1743622416.1851637, 1743622416.220731, 9.587351380348204]"
"[1743622177.1346207, 1743622177.1700318, 9.344688260555268]","[1743622236.0120666, 1743622236.0477653, 9.542392545700071]","[1743622296.4526472, 1743622296.4882064, 9.764990816473961]","[1743622356.8077474, 1743622356.8432918, 10.014135795593264]","[1743622416.3035328, 1743622416.3390336, 9.835735406160353]"
"[1743622177.2505357, 1743622177.2855392, 9.314572937488556]","[1743622236.1321695, 1743622236.16769, 9.384210573196409]","[1743622296.5724173, 1743622296.6079645, 9.49361457133293]","[1743622356.9267418, 1743622356.962193, 9.804660230636598]","[1743622416.4219165, 1743622416.4575202, 9.64365868663788]"
