epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1743622175.0198011, 1743622175.050185, 0.9822940402030944]","[1743622233.9093251, 1743622233.9094765, 0.03300594925880432]","[1743622294.358419, 1743622294.3585703, 0.028998502492904664]","[1743622354.7812958, 1743622354.7814522, 0.022260467529296876]","[1743622414.232444, 1743622414.23261, 0.03262881660461426]"
"[1743622175.2213135, 1743622175.2214084, 0.003619696617126465]","[1743622234.0291798, 1743622234.0292752, 0.01998586654663086]","[1743622294.485731, 1743622294.4858274, 0.016213502883911133]","[1743622354.9014204, 1743622354.9015162, 0.012463205337524414]","[1743622414.3527431, 1743622414.3528466, 0.01805067014694214]"
"[1743622175.336877, 1743622175.3369737, 0.006401220560073853]","[1743622234.159673, 1743622234.1597707, 0.01961611032485962]","[1743622294.6050844, 1743622294.6051714, 0.014524798393249511]","[1743622355.0245826, 1743622355.024669, 0.01028673505783081]","[1743622414.472088, 1743622414.4722214, 0.022025189399719237]"
"[1743622175.4528341, 1743622175.4529335, 0.007838216543197631]","[1743622234.2775068, 1743622234.2776084, 0.018743250846862795]","[1743622294.7220478, 1743622294.7221243, 0.012671233892440797]","[1743622355.1502335, 1743622355.150332, 0.011768366813659668]","[1743622414.6033416, 1743622414.6034203, 0.013470325469970703]"
"[1743622175.5710797, 1743622175.5711951, 0.014494368553161621]","[1743622234.4006388, 1743622234.4007404, 0.01815172863006592]","[1743622294.843688, 1743622294.8437793, 0.014595680236816407]","[1743622355.2712476, 1743622355.271333, 0.012024309158325195]","[1743622414.722732, 1743622414.7228181, 0.013620436191558838]"
"[1743622175.6895363, 1743622175.689683, 0.02082476019859314]","[1743622234.5200348, 1743622234.5201318, 0.016974570751190188]","[1743622294.9704216, 1743622294.9705026, 0.014841537475585937]","[1743622355.387753, 1743622355.3878312, 0.012685735702514647]","[1743622414.839919, 1743622414.8399982, 0.013096664428710937]"
"[1743622175.8050504, 1743622175.8051546, 0.01932912826538086]","[1743622234.6392884, 1743622234.639388, 0.019048806748179305]","[1743622295.1251392, 1743622295.1252577, 0.024144581317901613]","[1743622355.5043983, 1743622355.5044758, 0.014088046550750731]","[1743622414.9648511, 1743622414.9649374, 0.015960850715637208]"
"[1743622175.9265387, 1743622175.9267254, 0.03859607791900634]","[1743622234.758269, 1743622234.7583709, 0.021431932449340822]","[1743622295.2480557, 1743622295.2483633, 0.06576524019241334]","[1743622355.6208224, 1743622355.620903, 0.01846592092514038]","[1743622415.1176572, 1743622415.1177416, 0.019924434185028077]"
"[1743622176.0699577, 1743622176.0701327, 0.03862810659408569]","[1743622234.8768737, 1743622234.8769696, 0.02158978414535522]","[1743622295.3703613, 1743622295.3704576, 0.021906694412231444]","[1743622355.7385848, 1743622355.7386646, 0.01831895470619202]","[1743622415.2363398, 1743622415.2364202, 0.018339136362075806]"
"[1743622176.1922324, 1743622176.1923738, 0.03260839462280273]","[1743622235.0052464, 1743622235.005342, 0.025447026729583738]","[1743622295.490151, 1743622295.4902382, 0.022862172603607178]","[1743622355.8559341, 1743622355.856009, 0.020278183460235598]","[1743622415.3536048, 1743622415.3536856, 0.020169523000717164]"
"[1743622176.3112526, 1743622176.3113463, 0.022951541662216187]","[1743622235.1559849, 1743622235.1560864, 0.027265781879425046]","[1743622295.6107244, 1743622295.6108298, 0.028248855590820316]","[1743622355.9813075, 1743622355.981385, 0.021492302417755127]","[1743622415.471894, 1743622415.4719772, 0.022359925985336305]"
"[1743622176.4326212, 1743622176.432727, 0.027967008590698245]","[1743622235.2748907, 1743622235.2750607, 0.0436620500087738]","[1743622295.7298973, 1743622295.729978, 0.02120907998085022]","[1743622356.099221, 1743622356.099304, 0.023120575904846192]","[1743622415.5909803, 1743622415.5911014, 0.031982301712036136]"
"[1743622176.5505261, 1743622176.550636, 0.028547504663467407]","[1743622235.3944042, 1743622235.3945298, 0.0334614462852478]","[1743622295.8495004, 1743622295.8495817, 0.020890955686569214]","[1743622356.2164803, 1743622356.2165835, 0.028882227659225466]","[1743622415.7110486, 1743622415.711124, 0.019987171173095702]"
"[1743622176.6702259, 1743622176.6704466, 0.05683757543563843]","[1743622235.515775, 1743622235.5158749, 0.026628946542739867]","[1743622295.9751341, 1743622295.9752164, 0.02127090811729431]","[1743622356.3342714, 1743622356.3344166, 0.039205054521560666]","[1743622415.8282983, 1743622415.8284028, 0.027963343620300295]"
"[1743622176.7862263, 1743622176.7863493, 0.031592313766479495]","[1743622235.641998, 1743622235.6420972, 0.02619231414794922]","[1743622296.0957797, 1743622296.095861, 0.02154705262184143]","[1743622356.4526844, 1743622356.4527574, 0.019979023933410646]","[1743622415.9465683, 1743622415.9466434, 0.020402019023895265]"
"[1743622176.9013865, 1743622176.9014916, 0.027213111162185673]","[1743622235.7613661, 1743622235.7614646, 0.025597152948379515]","[1743622296.2150803, 1743622296.2151582, 0.020960630893707276]","[1743622356.571217, 1743622356.5712953, 0.02185382080078125]","[1743622416.0664942, 1743622416.066573, 0.02123931884765625]"
"[1743622177.0173264, 1743622177.0174317, 0.02720105218887329]","[1743622235.8821437, 1743622235.8822415, 0.025406525135040284]","[1743622296.3334537, 1743622296.3335335, 0.021797702312469483]","[1743622356.6893642, 1743622356.6894412, 0.02165814471244812]","[1743622416.185086, 1743622416.185163, 0.02072664141654968]"
"[1743622177.1345031, 1743622177.134619, 0.030027153968811036]","[1743622236.0119567, 1743622236.0120661, 0.029252180099487303]","[1743622296.4525642, 1743622296.4526467, 0.02268956995010376]","[1743622356.8076687, 1743622356.807747, 0.02203211975097656]","[1743622416.3034596, 1743622416.3035324, 0.02014693856239319]"
"[1743622177.2504325, 1743622177.2505352, 0.027636462688446047]","[1743622236.1320617, 1743622236.132169, 0.0283446192741394]","[1743622296.5723362, 1743622296.5724168, 0.0218865327835083]","[1743622356.9266655, 1743622356.9267416, 0.021034524917602538]","[1743622416.421839, 1743622416.421916, 0.020867106199264525]"
"[1743622177.3670309, 1743622177.367144, 0.029410380125045776]","[1743622236.2525504, 1743622236.2526548, 0.026934525489807126]","[1743622296.6918614, 1743622296.691942, 0.021686519622802738]","[1743622357.0435255, 1743622357.0435996, 0.01991093611717224]","[1743622416.541281, 1743622416.5413592, 0.02117182731628418]"
"[1743622177.4829493, 1743622177.483055, 0.02767155933380127]","[1743622236.3719087, 1743622236.3720088, 0.02699200630187988]","[1743622296.8132846, 1743622296.813366, 0.022500222444534302]","[1743622357.1623106, 1743622357.1623857, 0.0204295814037323]","[1743622416.6587172, 1743622416.658798, 0.02221267032623291]"
"[1743622177.599909, 1743622177.6000106, 0.027438952445983888]","[1743622236.4908478, 1743622236.4909654, 0.031570635318756105]","[1743622296.9335742, 1743622296.9336543, 0.021989501953124997]","[1743622357.2796464, 1743622357.2797194, 0.02026223945617676]","[1743622416.776001, 1743622416.7760768, 0.02133690547943115]"
"[1743622177.7151747, 1743622177.7152684, 0.025874466419219973]","[1743622236.6095197, 1743622236.6096163, 0.025810843706130984]","[1743622297.0540771, 1743622297.0541534, 0.02088104248046875]","[1743622357.3973377, 1743622357.397411, 0.020884029388427736]","[1743622416.8933265, 1743622416.8934019, 0.021253113746643067]"
"[1743622177.8306649, 1743622177.830781, 0.032117028951644894]","[1743622236.7278523, 1743622236.7279568, 0.028853377819061277]","[1743622297.1735537, 1743622297.1736317, 0.020916815757751464]","[1743622357.5161858, 1743622357.5162609, 0.02099817752838135]","[1743622417.0106747, 1743622417.010748, 0.020000837326049802]"
"[1743622177.9474137, 1743622177.9475157, 0.02734868717193604]","[1743622236.8489082, 1743622236.8490157, 0.029282445192337036]","[1743622297.2951698, 1743622297.2952487, 0.021215057134628297]","[1743622357.6352904, 1743622357.6353695, 0.021628857612609863]","[1743622417.1302245, 1743622417.1303544, 0.03567737102508545]"
"[1743622178.0643651, 1743622178.064464, 0.02627252340316772]","[1743622236.968094, 1743622236.9681945, 0.02739814758300781]","[1743622297.4159398, 1743622297.4160204, 0.022225072383880617]","[1743622357.7518132, 1743622357.7518878, 0.019999280214309693]","[1743622417.2483437, 1743622417.2484179, 0.020700021028518676]"
"[1743622178.179723, 1743622178.179818, 0.024665956020355224]","[1743622237.0879147, 1743622237.0880604, 0.03916701030731201]","[1743622297.5369623, 1743622297.5370429, 0.02201337432861328]","[1743622357.8698225, 1743622357.869905, 0.02259660053253174]","[1743622417.3651412, 1743622417.365216, 0.021251782417297364]"
"[1743622178.2958465, 1743622178.2959478, 0.026628363132476806]","[1743622237.208894, 1743622237.2089953, 0.027307564020156862]","[1743622297.656506, 1743622297.6565883, 0.022409391403198243]","[1743622357.9876566, 1743622357.9877305, 0.02105400800704956]","[1743622417.4829426, 1743622417.4830177, 0.0213519823551178]"
"[1743622178.4122531, 1743622178.4123504, 0.026317399978637697]","[1743622237.328797, 1743622237.3289, 0.02849211502075195]","[1743622297.7774127, 1743622297.7774992, 0.023093140840530397]","[1743622358.1058924, 1743622358.1059687, 0.021095657348632814]","[1743622417.6023521, 1743622417.6024287, 0.021311584711074825]"
"[1743622178.5286152, 1743622178.528707, 0.02533591866493225]","[1743622237.447909, 1743622237.4480112, 0.028127990722656253]","[1743622297.8974986, 1743622297.8975806, 0.021879898071289063]","[1743622358.2237318, 1743622358.2238111, 0.021428830862045285]","[1743622417.7209404, 1743622417.7210274, 0.023579344749450684]"
"[1743622178.6442053, 1743622178.6442997, 0.025627198219299315]","[1743622237.5675325, 1743622237.5676281, 0.026045997381210325]","[1743622298.0171745, 1743622298.0172558, 0.021829897880554196]","[1743622358.3433003, 1743622358.3433738, 0.019871022224426268]","[1743622417.8399231, 1743622417.8401215, 0.05482530212402344]"
"[1743622178.7613025, 1743622178.7614036, 0.026893035888671875]","[1743622237.685985, 1743622237.6860802, 0.025533673524856568]","[1743622298.1364765, 1743622298.1365564, 0.021791871786117554]","[1743622358.4604094, 1743622358.4604826, 0.020129074096679685]","[1743622417.9591842, 1743622417.9592595, 0.02120286178588867]"
"[1743622178.8784556, 1743622178.8785632, 0.027955457210540772]","[1743622237.8043013, 1743622237.8044033, 0.027674306869506837]","[1743622298.256407, 1743622298.2565255, 0.031274130344390874]","[1743622358.5784144, 1743622358.5784895, 0.02113591432571411]","[1743622418.0767043, 1743622418.0767777, 0.020582513809204103]"
"[1743622178.9945161, 1743622178.9946125, 0.025813671112060545]","[1743622237.9232714, 1743622237.923371, 0.02770907926559448]","[1743622298.3771322, 1743622298.3772106, 0.02097995615005493]","[1743622358.7086117, 1743622358.7086906, 0.022340959548950195]","[1743622418.1944695, 1743622418.1945431, 0.02033689999580383]"
"[1743622179.1184616, 1743622179.1185575, 0.026217145442962646]","[1743622238.0449123, 1743622238.0450065, 0.0264078950881958]","[1743622298.4963589, 1743622298.4964385, 0.021225937366485596]","[1743622358.8275018, 1743622358.827577, 0.02081523609161377]","[1743622418.3124568, 1743622418.3125312, 0.020199234008789063]"
"[1743622179.2343395, 1743622179.2344325, 0.025387773513793944]","[1743622238.169232, 1743622238.1693223, 0.02443297529220581]","[1743622298.6155937, 1743622298.615674, 0.0219664044380188]","[1743622358.9444067, 1743622358.9444795, 0.01955974340438843]","[1743622418.4296174, 1743622418.4296904, 0.01959636926651001]"
"[1743622179.3502662, 1743622179.350371, 0.028044770717620852]","[1743622238.2883945, 1743622238.2884986, 0.027899917125701904]","[1743622298.7377837, 1743622298.7378619, 0.02146156311035156]","[1743622359.0633192, 1743622359.0633943, 0.020194963216781617]","[1743622418.548059, 1743622418.5481415, 0.022881035804748536]"
"[1743622179.4704685, 1743622179.4705646, 0.02531615471839905]","[1743622238.4083724, 1743622238.4084868, 0.030570030212402344]","[1743622298.8575218, 1743622298.8576205, 0.02694693946838379]","[1743622359.181619, 1743622359.1816928, 0.020473742485046385]","[1743622418.6660788, 1743622418.6661558, 0.021929602146148683]"
"[1743622179.5983, 1743622179.5983891, 0.023100093364715576]","[1743622238.527153, 1743622238.527314, 0.043509399890899664]","[1743622298.9773998, 1743622298.977511, 0.029966050148010254]","[1743622359.2996466, 1743622359.2997227, 0.021056581020355226]","[1743622418.792772, 1743622418.7928479, 0.021024159908294676]"
"[1743622179.7130125, 1743622179.713102, 0.023373420715332032]","[1743622238.6453056, 1743622238.64541, 0.028829986095428466]","[1743622299.0993292, 1743622299.0994036, 0.020133625030517577]","[1743622359.417311, 1743622359.4173882, 0.021395813941955565]","[1743622418.9123769, 1743622418.9124606, 0.022868829488754273]"
"[1743622179.829485, 1743622179.8297467, 0.07006795120239258]","[1743622238.765255, 1743622238.7653692, 0.031078268766403197]","[1743622299.2215958, 1743622299.2216744, 0.021678657531738282]","[1743622359.5419629, 1743622359.5420387, 0.02064128351211548]","[1743622419.0302835, 1743622419.0303633, 0.021837238073349]"
"[1743622179.9494832, 1743622179.9495761, 0.025138950347900393]","[1743622238.8861356, 1743622238.8862333, 0.02617798089981079]","[1743622299.3412704, 1743622299.3413486, 0.02118997001647949]","[1743622359.6592891, 1743622359.659366, 0.02071782398223877]","[1743622419.1600914, 1743622419.1601682, 0.02081747245788574]"
"[1743622180.0882478, 1743622180.08835, 0.026620312929153442]","[1743622239.0051808, 1743622239.0053587, 0.04742608261108399]","[1743622299.4615896, 1743622299.4616718, 0.02205388784408569]","[1743622359.7765691, 1743622359.776643, 0.02080049753189087]","[1743622419.2781792, 1743622419.2782545, 0.02087746715545654]"
"[1743622180.2054152, 1743622180.205513, 0.025414345264434812]","[1743622239.13254, 1743622239.1326394, 0.02689832854270935]","[1743622299.5922194, 1743622299.5923007, 0.021567703008651736]","[1743622359.8958333, 1743622359.8959146, 0.02312168526649475]","[1743622419.3957946, 1743622419.3958712, 0.021167397737503053]"
"[1743622180.3226821, 1743622180.322794, 0.02932737183570862]","[1743622239.2523823, 1743622239.2524729, 0.024467363357543945]","[1743622299.7148702, 1743622299.7149518, 0.02201108694076538]","[1743622360.0231645, 1743622360.0232437, 0.02210671615600586]","[1743622419.515468, 1743622419.515543, 0.020301382541656494]"
