0,1,2,3,4
"{'Conv2d': (1736173147.6901343, 1736173147.691613), 'ReLU': (1736173148.1630623, 1736173148.163089), 'MaxPool2d': (1736173147.6916523, 1736173147.6916978), 'AdaptiveAvgPool2d': (1736173147.6917078, 1736173147.7384887), 'Flatten': (1736173147.7384927, 1736173147.7385802), 'Linear': (1736173148.1631172, 1736173148.2137725), 'Dropout': (1736173148.16309, 1736173148.1631162)}","{'Conv2d': (1736173165.8656077, 1736173165.8663805), 'ReLU': (1736173165.8675244, 1736173165.8675432), 'MaxPool2d': (1736173165.866413, 1736173165.8664591), 'AdaptiveAvgPool2d': (1736173165.866467, 1736173165.8666265), 'Flatten': (1736173165.8666294, 1736173165.8666508), 'Linear': (1736173165.8675616, 1736173165.8676078), 'Dropout': (1736173165.8675435, 1736173165.8675609)}","{'Conv2d': (1736173181.7857747, 1736173181.7865505), 'ReLU': (1736173181.787681, 1736173181.7877002), 'MaxPool2d': (1736173181.7865825, 1736173181.7866263), 'AdaptiveAvgPool2d': (1736173181.786633, 1736173181.7867932), 'Flatten': (1736173181.7867963, 1736173181.7868164), 'Linear': (1736173181.7877226, 1736173181.787769), 'Dropout': (1736173181.7877007, 1736173181.7877219)}","{'Conv2d': (1736173197.7963066, 1736173197.7970748), 'ReLU': (1736173197.798192, 1736173197.7982092), 'MaxPool2d': (1736173197.7971056, 1736173197.7971482), 'AdaptiveAvgPool2d': (1736173197.7971575, 1736173197.7973163), 'Flatten': (1736173197.7973192, 1736173197.7973397), 'Linear': (1736173197.7982266, 1736173197.798267), 'Dropout': (1736173197.79821, 1736173197.798226)}","{'Conv2d': (1736173213.9784248, 1736173213.9791949), 'ReLU': (1736173213.9803205, 1736173213.9803386), 'MaxPool2d': (1736173213.9792285, 1736173213.9792705), 'AdaptiveAvgPool2d': (1736173213.9792747, 1736173213.979439), 'Flatten': (1736173213.9794416, 1736173213.979462), 'Linear': (1736173213.980357, 1736173213.980411), 'Dropout': (1736173213.9803393, 1736173213.9803567)}"
"{'Conv2d': (1736173149.8688767, 1736173149.8696396), 'ReLU': (1736173149.870638, 1736173149.8706582), 'MaxPool2d': (1736173149.8696718, 1736173149.8697145), 'AdaptiveAvgPool2d': (1736173149.8697152, 1736173149.8698506), 'Flatten': (1736173149.8698514, 1736173149.8698654), 'Linear': (1736173149.870678, 1736173149.8707125), 'Dropout': (1736173149.8706586, 1736173149.8706775)}","{'Conv2d': (1736173165.8979588, 1736173165.89872), 'ReLU': (1736173165.8996632, 1736173165.8996766), 'MaxPool2d': (1736173165.89875, 1736173165.8987908), 'AdaptiveAvgPool2d': (1736173165.8987918, 1736173165.8989289), 'Flatten': (1736173165.8989296, 1736173165.8989413), 'Linear': (1736173165.899693, 1736173165.8997197), 'Dropout': (1736173165.8996773, 1736173165.8996928)}","{'Conv2d': (1736173181.8183262, 1736173181.8190885), 'ReLU': (1736173181.820062, 1736173181.8200753), 'MaxPool2d': (1736173181.8191185, 1736173181.8191588), 'AdaptiveAvgPool2d': (1736173181.81916, 1736173181.8193007), 'Flatten': (1736173181.8193014, 1736173181.8193138), 'Linear': (1736173181.820092, 1736173181.8201194), 'Dropout': (1736173181.8200758, 1736173181.8200917)}","{'Conv2d': (1736173197.828366, 1736173197.8291252), 'ReLU': (1736173197.8300498, 1736173197.8300636), 'MaxPool2d': (1736173197.829156, 1736173197.829196), 'AdaptiveAvgPool2d': (1736173197.8291965, 1736173197.829331), 'Flatten': (1736173197.8293316, 1736173197.829342), 'Linear': (1736173197.8300807, 1736173197.830106), 'Dropout': (1736173197.830064, 1736173197.8300803)}","{'Conv2d': (1736173214.0107007, 1736173214.01146), 'ReLU': (1736173214.0123844, 1736173214.0123978), 'MaxPool2d': (1736173214.0114918, 1736173214.011532), 'AdaptiveAvgPool2d': (1736173214.0115328, 1736173214.0116684), 'Flatten': (1736173214.0116692, 1736173214.0116804), 'Linear': (1736173214.0124142, 1736173214.0124414), 'Dropout': (1736173214.0123982, 1736173214.0124137)}"
"{'Conv2d': (1736173149.9243605, 1736173149.9251225), 'ReLU': (1736173149.9260771, 1736173149.926093), 'MaxPool2d': (1736173149.9251544, 1736173149.925196), 'AdaptiveAvgPool2d': (1736173149.9251966, 1736173149.9253275), 'Flatten': (1736173149.9253285, 1736173149.9253402), 'Linear': (1736173149.9261124, 1736173149.9261408), 'Dropout': (1736173149.9260938, 1736173149.926112)}","{'Conv2d': (1736173165.9278197, 1736173165.9285786), 'ReLU': (1736173165.9295037, 1736173165.9295173), 'MaxPool2d': (1736173165.9286082, 1736173165.9286482), 'AdaptiveAvgPool2d': (1736173165.928649, 1736173165.9287832), 'Flatten': (1736173165.928784, 1736173165.9287953), 'Linear': (1736173165.9295347, 1736173165.9295616), 'Dropout': (1736173165.9295177, 1736173165.9295342)}","{'Conv2d': (1736173181.8497314, 1736173181.8505106), 'ReLU': (1736173181.851462, 1736173181.8514764), 'MaxPool2d': (1736173181.8505447, 1736173181.8505883), 'AdaptiveAvgPool2d': (1736173181.8505893, 1736173181.8507268), 'Flatten': (1736173181.8507273, 1736173181.8507385), 'Linear': (1736173181.8514943, 1736173181.8515222), 'Dropout': (1736173181.851477, 1736173181.8514938)}","{'Conv2d': (1736173197.8581457, 1736173197.858905), 'ReLU': (1736173197.8598187, 1736173197.8598359), 'MaxPool2d': (1736173197.858937, 1736173197.8589776), 'AdaptiveAvgPool2d': (1736173197.858978, 1736173197.859111), 'Flatten': (1736173197.8591118, 1736173197.8591216), 'Linear': (1736173197.859854, 1736173197.8598819), 'Dropout': (1736173197.8598363, 1736173197.8598535)}","{'Conv2d': (1736173214.0405576, 1736173214.0413144), 'ReLU': (1736173214.042234, 1736173214.042249), 'MaxPool2d': (1736173214.041345, 1736173214.041385), 'AdaptiveAvgPool2d': (1736173214.041386, 1736173214.04152), 'Flatten': (1736173214.0415206, 1736173214.041531), 'Linear': (1736173214.0422668, 1736173214.0422928), 'Dropout': (1736173214.0422494, 1736173214.0422664)}"
"{'Conv2d': (1736173149.955125, 1736173149.9558842), 'ReLU': (1736173149.9568172, 1736173149.9568355), 'MaxPool2d': (1736173149.9559188, 1736173149.9559658), 'AdaptiveAvgPool2d': (1736173149.9559665, 1736173149.9560943), 'Flatten': (1736173149.956095, 1736173149.9561057), 'Linear': (1736173149.956855, 1736173149.956883), 'Dropout': (1736173149.956836, 1736173149.9568546)}","{'Conv2d': (1736173165.9575157, 1736173165.9582753), 'ReLU': (1736173165.959204, 1736173165.959217), 'MaxPool2d': (1736173165.958305, 1736173165.9583445), 'AdaptiveAvgPool2d': (1736173165.9583452, 1736173165.958478), 'Flatten': (1736173165.9584792, 1736173165.9584894), 'Linear': (1736173165.959234, 1736173165.95926), 'Dropout': (1736173165.9592175, 1736173165.9592335)}","{'Conv2d': (1736173181.8796759, 1736173181.880435), 'ReLU': (1736173181.881352, 1736173181.8813658), 'MaxPool2d': (1736173181.8804648, 1736173181.880505), 'AdaptiveAvgPool2d': (1736173181.8805058, 1736173181.8806403), 'Flatten': (1736173181.880641, 1736173181.8806517), 'Linear': (1736173181.8813822, 1736173181.8814077), 'Dropout': (1736173181.8813663, 1736173181.8813818)}","{'Conv2d': (1736173197.8878865, 1736173197.8886485), 'ReLU': (1736173197.8895636, 1736173197.8895764), 'MaxPool2d': (1736173197.8886795, 1736173197.888719), 'AdaptiveAvgPool2d': (1736173197.8887196, 1736173197.888854), 'Flatten': (1736173197.8888545, 1736173197.8888648), 'Linear': (1736173197.8895924, 1736173197.8896177), 'Dropout': (1736173197.889577, 1736173197.8895922)}","{'Conv2d': (1736173214.0703938, 1736173214.0711513), 'ReLU': (1736173214.072075, 1736173214.072088), 'MaxPool2d': (1736173214.071181, 1736173214.0712202), 'AdaptiveAvgPool2d': (1736173214.0712209, 1736173214.071357), 'Flatten': (1736173214.0713575, 1736173214.0713677), 'Linear': (1736173214.0721042, 1736173214.0721302), 'Dropout': (1736173214.0720885, 1736173214.072104)}"
"{'Conv2d': (1736173149.9859586, 1736173149.9867206), 'ReLU': (1736173149.9876432, 1736173149.9876578), 'MaxPool2d': (1736173149.986752, 1736173149.9867942), 'AdaptiveAvgPool2d': (1736173149.986795, 1736173149.9869215), 'Flatten': (1736173149.9869223, 1736173149.9869328), 'Linear': (1736173149.9876764, 1736173149.987703), 'Dropout': (1736173149.9876583, 1736173149.987676)}","{'Conv2d': (1736173165.9875, 1736173165.988259), 'ReLU': (1736173165.9891713, 1736173165.989184), 'MaxPool2d': (1736173165.9882944, 1736173165.9883347), 'AdaptiveAvgPool2d': (1736173165.988335, 1736173165.988464), 'Flatten': (1736173165.9884646, 1736173165.988474), 'Linear': (1736173165.9891999, 1736173165.9892251), 'Dropout': (1736173165.9891846, 1736173165.9891994)}","{'Conv2d': (1736173181.9098454, 1736173181.9106042), 'ReLU': (1736173181.911515, 1736173181.911528), 'MaxPool2d': (1736173181.9106336, 1736173181.910673), 'AdaptiveAvgPool2d': (1736173181.9106734, 1736173181.9108043), 'Flatten': (1736173181.9108047, 1736173181.910814), 'Linear': (1736173181.9115448, 1736173181.9115694), 'Dropout': (1736173181.9115286, 1736173181.9115443)}","{'Conv2d': (1736173197.9181929, 1736173197.9189517), 'ReLU': (1736173197.919865, 1736173197.9198794), 'MaxPool2d': (1736173197.9189837, 1736173197.919024), 'AdaptiveAvgPool2d': (1736173197.9190245, 1736173197.9191566), 'Flatten': (1736173197.919157, 1736173197.9191673), 'Linear': (1736173197.9198964, 1736173197.9199224), 'Dropout': (1736173197.91988, 1736173197.919896)}","{'Conv2d': (1736173214.101761, 1736173214.102522), 'ReLU': (1736173214.103445, 1736173214.1034584), 'MaxPool2d': (1736173214.1025574, 1736173214.1025972), 'AdaptiveAvgPool2d': (1736173214.1025977, 1736173214.10273), 'Flatten': (1736173214.1027305, 1736173214.10274), 'Linear': (1736173214.1034746, 1736173214.1035008), 'Dropout': (1736173214.103459, 1736173214.1034744)}"
"{'Conv2d': (1736173150.0174332, 1736173150.0181596), 'ReLU': (1736173150.019063, 1736173150.0190785), 'MaxPool2d': (1736173150.0181904, 1736173150.01823), 'AdaptiveAvgPool2d': (1736173150.0182307, 1736173150.0183523), 'Flatten': (1736173150.0183532, 1736173150.0183632), 'Linear': (1736173150.0191011, 1736173150.0191278), 'Dropout': (1736173150.019079, 1736173150.0191007)}","{'Conv2d': (1736173166.0181382, 1736173166.018896), 'ReLU': (1736173166.0198202, 1736173166.0198412), 'MaxPool2d': (1736173166.0189257, 1736173166.0189655), 'AdaptiveAvgPool2d': (1736173166.018966, 1736173166.019096), 'Flatten': (1736173166.0190964, 1736173166.0191061), 'Linear': (1736173166.01986, 1736173166.019889), 'Dropout': (1736173166.019842, 1736173166.0198598)}","{'Conv2d': (1736173181.940777, 1736173181.9415355), 'ReLU': (1736173181.9424808, 1736173181.9424942), 'MaxPool2d': (1736173181.941565, 1736173181.9416046), 'AdaptiveAvgPool2d': (1736173181.941605, 1736173181.9417362), 'Flatten': (1736173181.9417367, 1736173181.9417777), 'Linear': (1736173181.9425106, 1736173181.9425352), 'Dropout': (1736173181.9424946, 1736173181.9425104)}","{'Conv2d': (1736173197.9493656, 1736173197.950124), 'ReLU': (1736173197.951042, 1736173197.9510555), 'MaxPool2d': (1736173197.9501555, 1736173197.9501963), 'AdaptiveAvgPool2d': (1736173197.9501967, 1736173197.9503295), 'Flatten': (1736173197.95033, 1736173197.9503405), 'Linear': (1736173197.9510717, 1736173197.951097), 'Dropout': (1736173197.9510562, 1736173197.9510715)}","{'Conv2d': (1736173214.1326523, 1736173214.1334105), 'ReLU': (1736173214.1343338, 1736173214.134348), 'MaxPool2d': (1736173214.1334403, 1736173214.133481), 'AdaptiveAvgPool2d': (1736173214.1334815, 1736173214.133614), 'Flatten': (1736173214.1336145, 1736173214.1336243), 'Linear': (1736173214.134366, 1736173214.1343915), 'Dropout': (1736173214.1343486, 1736173214.1343656)}"
"{'Conv2d': (1736173150.0473993, 1736173150.0481284), 'ReLU': (1736173150.0490403, 1736173150.049056), 'MaxPool2d': (1736173150.0481598, 1736173150.0482001), 'AdaptiveAvgPool2d': (1736173150.0482004, 1736173150.048322), 'Flatten': (1736173150.0483227, 1736173150.0483327), 'Linear': (1736173150.0490744, 1736173150.049101), 'Dropout': (1736173150.0490565, 1736173150.0490742)}","{'Conv2d': (1736173166.0480947, 1736173166.0488513), 'ReLU': (1736173166.0497754, 1736173166.0497923), 'MaxPool2d': (1736173166.0488818, 1736173166.048921), 'AdaptiveAvgPool2d': (1736173166.0489216, 1736173166.0490506), 'Flatten': (1736173166.049051, 1736173166.0490603), 'Linear': (1736173166.0498106, 1736173166.0498402), 'Dropout': (1736173166.0497928, 1736173166.0498102)}","{'Conv2d': (1736173181.9714215, 1736173181.9722009), 'ReLU': (1736173181.9731376, 1736173181.9731507), 'MaxPool2d': (1736173181.9722354, 1736173181.9722798), 'AdaptiveAvgPool2d': (1736173181.9722805, 1736173181.9724162), 'Flatten': (1736173181.972417, 1736173181.9724307), 'Linear': (1736173181.9731672, 1736173181.973195), 'Dropout': (1736173181.9731512, 1736173181.9731667)}","{'Conv2d': (1736173197.9794548, 1736173197.980214), 'ReLU': (1736173197.9811413, 1736173197.9811544), 'MaxPool2d': (1736173197.9802458, 1736173197.980286), 'AdaptiveAvgPool2d': (1736173197.9802861, 1736173197.9804192), 'Flatten': (1736173197.9804199, 1736173197.9804304), 'Linear': (1736173197.9811752, 1736173197.9812002), 'Dropout': (1736173197.981155, 1736173197.981175)}","{'Conv2d': (1736173214.162394, 1736173214.163153), 'ReLU': (1736173214.1640618, 1736173214.1640747), 'MaxPool2d': (1736173214.1631827, 1736173214.1632223), 'AdaptiveAvgPool2d': (1736173214.1632228, 1736173214.1633544), 'Flatten': (1736173214.1633549, 1736173214.163364), 'Linear': (1736173214.164091, 1736173214.1641219), 'Dropout': (1736173214.1640754, 1736173214.1640909)}"
"{'Conv2d': (1736173150.0769446, 1736173150.0776656), 'ReLU': (1736173150.078589, 1736173150.078604), 'MaxPool2d': (1736173150.0776951, 1736173150.0777357), 'AdaptiveAvgPool2d': (1736173150.0777361, 1736173150.0778902), 'Flatten': (1736173150.0778909, 1736173150.0779018), 'Linear': (1736173150.0786226, 1736173150.0786483), 'Dropout': (1736173150.0786045, 1736173150.078622)}","{'Conv2d': (1736173166.0779371, 1736173166.078697), 'ReLU': (1736173166.079596, 1736173166.0796092), 'MaxPool2d': (1736173166.0787263, 1736173166.078766), 'AdaptiveAvgPool2d': (1736173166.0787666, 1736173166.0788958), 'Flatten': (1736173166.0788963, 1736173166.0789053), 'Linear': (1736173166.0796251, 1736173166.0796494), 'Dropout': (1736173166.0796094, 1736173166.0796247)}","{'Conv2d': (1736173182.0011046, 1736173182.001867), 'ReLU': (1736173182.0027702, 1736173182.002784), 'MaxPool2d': (1736173182.0018966, 1736173182.0019362), 'AdaptiveAvgPool2d': (1736173182.0019367, 1736173182.0020666), 'Flatten': (1736173182.0020676, 1736173182.0020766), 'Linear': (1736173182.002801, 1736173182.0028265), 'Dropout': (1736173182.0027845, 1736173182.0028007)}","{'Conv2d': (1736173198.009604, 1736173198.0103607), 'ReLU': (1736173198.0112834, 1736173198.0112967), 'MaxPool2d': (1736173198.0103903, 1736173198.0104306), 'AdaptiveAvgPool2d': (1736173198.010431, 1736173198.010564), 'Flatten': (1736173198.0105653, 1736173198.0105774), 'Linear': (1736173198.0113132, 1736173198.0113382), 'Dropout': (1736173198.011297, 1736173198.0113127)}","{'Conv2d': (1736173214.19323, 1736173214.1939867), 'ReLU': (1736173214.1948962, 1736173214.1949108), 'MaxPool2d': (1736173214.1940162, 1736173214.194056), 'AdaptiveAvgPool2d': (1736173214.1940565, 1736173214.1941874), 'Flatten': (1736173214.1941884, 1736173214.1941974), 'Linear': (1736173214.194928, 1736173214.194954), 'Dropout': (1736173214.1949112, 1736173214.1949275)}"
"{'Conv2d': (1736173150.1074634, 1736173150.1081822), 'ReLU': (1736173150.1090767, 1736173150.109092), 'MaxPool2d': (1736173150.108212, 1736173150.108251), 'AdaptiveAvgPool2d': (1736173150.1082513, 1736173150.1083713), 'Flatten': (1736173150.108372, 1736173150.1083822), 'Linear': (1736173150.1091106, 1736173150.1091366), 'Dropout': (1736173150.1090927, 1736173150.10911)}","{'Conv2d': (1736173166.1080122, 1736173166.1087701), 'ReLU': (1736173166.1096718, 1736173166.1096847), 'MaxPool2d': (1736173166.1087995, 1736173166.1088388), 'AdaptiveAvgPool2d': (1736173166.1088395, 1736173166.1089678), 'Flatten': (1736173166.1089685, 1736173166.1089773), 'Linear': (1736173166.109701, 1736173166.1097257), 'Dropout': (1736173166.1096852, 1736173166.1097004)}","{'Conv2d': (1736173182.0311391, 1736173182.0318968), 'ReLU': (1736173182.0327992, 1736173182.0328135), 'MaxPool2d': (1736173182.0319269, 1736173182.0319667), 'AdaptiveAvgPool2d': (1736173182.0319672, 1736173182.0320966), 'Flatten': (1736173182.032097, 1736173182.032106), 'Linear': (1736173182.0328305, 1736173182.0328562), 'Dropout': (1736173182.032814, 1736173182.03283)}","{'Conv2d': (1736173198.039713, 1736173198.0404713), 'ReLU': (1736173198.0413797, 1736173198.041393), 'MaxPool2d': (1736173198.0405014, 1736173198.0405412), 'AdaptiveAvgPool2d': (1736173198.0405414, 1736173198.0406728), 'Flatten': (1736173198.0406733, 1736173198.0406826), 'Linear': (1736173198.0414095, 1736173198.0414345), 'Dropout': (1736173198.0413938, 1736173198.041409)}","{'Conv2d': (1736173214.2253516, 1736173214.2261083), 'ReLU': (1736173214.2270212, 1736173214.2270346), 'MaxPool2d': (1736173214.226138, 1736173214.226178), 'AdaptiveAvgPool2d': (1736173214.2261786, 1736173214.2263103), 'Flatten': (1736173214.226311, 1736173214.2263246), 'Linear': (1736173214.227051, 1736173214.2270763), 'Dropout': (1736173214.227035, 1736173214.2270508)}"
"{'Conv2d': (1736173150.1379077, 1736173150.138629), 'ReLU': (1736173150.1395216, 1736173150.1395373), 'MaxPool2d': (1736173150.1386578, 1736173150.1386986), 'AdaptiveAvgPool2d': (1736173150.138699, 1736173150.138819), 'Flatten': (1736173150.13882, 1736173150.1388335), 'Linear': (1736173150.1395566, 1736173150.1395829), 'Dropout': (1736173150.1395378, 1736173150.1395562)}","{'Conv2d': (1736173166.1380172, 1736173166.1387715), 'ReLU': (1736173166.139685, 1736173166.1396995), 'MaxPool2d': (1736173166.1388009, 1736173166.1388407), 'AdaptiveAvgPool2d': (1736173166.1388412, 1736173166.1389694), 'Flatten': (1736173166.1389701, 1736173166.138979), 'Linear': (1736173166.1397166, 1736173166.1397424), 'Dropout': (1736173166.1397, 1736173166.1397161)}","{'Conv2d': (1736173182.0610538, 1736173182.0618117), 'ReLU': (1736173182.062717, 1736173182.0627294), 'MaxPool2d': (1736173182.0618415, 1736173182.061881), 'AdaptiveAvgPool2d': (1736173182.0618815, 1736173182.0620108), 'Flatten': (1736173182.0620115, 1736173182.0620203), 'Linear': (1736173182.0627499, 1736173182.0627756), 'Dropout': (1736173182.06273, 1736173182.0627449)}","{'Conv2d': (1736173198.0716374, 1736173198.0724), 'ReLU': (1736173198.0733204, 1736173198.073335), 'MaxPool2d': (1736173198.0724297, 1736173198.0724692), 'AdaptiveAvgPool2d': (1736173198.0724697, 1736173198.0726004), 'Flatten': (1736173198.0726008, 1736173198.0726104), 'Linear': (1736173198.0733523, 1736173198.0733776), 'Dropout': (1736173198.0733356, 1736173198.0733519)}","{'Conv2d': (1736173214.2553315, 1736173214.2560878), 'ReLU': (1736173214.2570064, 1736173214.25702), 'MaxPool2d': (1736173214.256118, 1736173214.256163), 'AdaptiveAvgPool2d': (1736173214.2561634, 1736173214.2562945), 'Flatten': (1736173214.256295, 1736173214.256304), 'Linear': (1736173214.2570367, 1736173214.257062), 'Dropout': (1736173214.2570205, 1736173214.2570362)}"
