time,minimum_cost,day,hour_in_day,day_hour
0,0.56177,1,0,1d0h
1,0.58677,1,1,1d1h
2,0.58677,1,2,1d2h
3,0.58677,1,3,1d3h
4,0.58677,1,4,1d4h
5,0.58677,1,5,1d5h
6,0.58926,1,6,1d6h
7,0.6174299999999999,1,7,1d7h
8,0.56743,1,8,1d8h
9,0.6043,1,9,1d9h
10,0.748,1,10,1d10h
11,0.95929,1,11,1d11h
12,1.1681700000000002,1,12,1d12h
13,1.34101,1,13,1d13h
14,1.46233,1,14,1d14h
15,1.4956800000000001,1,15,1d15h
16,1.4488599999999998,1,16,1d16h
17,1.4111600000000002,1,17,1d17h
18,1.43092,1,18,1d18h
19,1.45592,1,19,1d19h
20,1.45592,1,20,1d20h
21,1.45592,1,21,1d21h
22,1.45592,1,22,1d22h
23,1.45592,1,23,1d23h
24,1.48092,2,0,2d0h
25,1.5059200000000001,2,1,2d1h
26,1.5059200000000001,2,2,2d2h
27,1.5059200000000001,2,3,2d3h
28,1.5059200000000001,2,4,2d4h
29,1.5059200000000001,2,5,2d5h
30,1.50841,2,6,2d6h
31,1.5365799999999998,2,7,2d7h
32,1.48658,2,8,2d8h
33,1.47219,2,9,2d9h
34,1.50978,2,10,2d10h
35,1.5091199999999998,2,11,2d11h
36,1.42849,2,12,2d12h
37,1.26256,2,13,2d13h
38,1.04104,2,14,2d14h
39,0.8057000000000001,2,15,2d15h
40,0.60011,2,16,2d16h
41,0.47645,2,17,2d17h
42,0.46214,2,18,2d18h
43,0.48527,2,19,2d19h
44,0.48527,2,20,2d20h
45,0.48527,2,21,2d21h
46,0.48527,2,22,2d22h
47,0.48527,2,23,2d23h
48,0.51027,3,0,3d0h
49,0.53527,3,1,3d1h
50,0.53527,3,2,3d2h
51,0.53527,3,3,3d3h
52,0.53527,3,4,3d4h
53,0.53527,3,5,3d5h
54,0.53776,3,6,3d6h
55,0.5659299999999999,3,7,3d7h
56,0.51593,3,8,3d8h
57,0.55459,3,9,3d9h
58,0.70113,3,10,3d10h
59,0.85982,3,11,3d11h
60,0.9625,3,12,3d12h
61,0.96323,3,13,3d13h
62,0.87682,3,14,3d14h
63,0.7090700000000001,3,15,3d15h
64,0.50662,3,16,3d16h
65,0.37273,3,17,3d17h
66,0.35537,3,18,3d18h
67,0.37795,3,19,3d19h
68,0.37795,3,20,3d20h
69,0.37795,3,21,3d21h
70,0.37795,3,22,3d22h
71,0.37795,3,23,3d23h
72,0.40295,4,0,4d0h
73,0.42795,4,1,4d1h
74,0.42795,4,2,4d2h
75,0.42795,4,3,4d3h
76,0.42795,4,4,4d4h
77,0.42795,4,5,4d5h
78,0.43044,4,6,4d6h
79,0.45861,4,7,4d7h
80,0.40861000000000003,4,8,4d8h
81,0.45473,4,9,4d9h
82,0.61107,4,10,4d10h
83,0.78832,4,11,4d11h
84,0.92395,4,12,4d12h
85,0.9794700000000001,4,13,4d13h
86,0.95214,4,14,4d14h
87,0.83935,4,15,4d15h
88,0.6684500000000001,4,16,4d16h
89,0.54302,4,17,4d17h
90,0.52822,4,18,4d18h
91,0.55126,4,19,4d19h
92,0.55126,4,20,4d20h
93,0.55126,4,21,4d21h
94,0.55126,4,22,4d22h
95,0.55126,4,23,4d23h
96,0.57626,5,0,5d0h
97,0.60126,5,1,5d1h
98,0.60126,5,2,5d2h
99,0.60126,5,3,5d3h
100,0.60126,5,4,5d4h
101,0.60126,5,5,5d5h
102,0.60375,5,6,5d6h
103,0.6319199999999999,5,7,5d7h
104,0.58192,5,8,5d8h
105,0.62699,5,9,5d9h
106,0.7724,5,10,5d10h
107,0.9137799999999999,5,11,5d11h
108,0.9916799999999999,5,12,5d12h
109,0.96827,5,13,5d13h
110,0.86678,5,14,5d14h
111,0.69753,5,15,5d15h
112,0.49295,5,16,5d16h
113,0.35843,5,17,5d17h
114,0.33995,5,18,5d18h
115,0.36232,5,19,5d19h
116,0.36232,5,20,5d20h
117,0.36232,5,21,5d21h
118,0.36232,5,22,5d22h
119,0.36232,5,23,5d23h
120,0.38732,6,0,6d0h
121,0.41232,6,1,6d1h
122,0.41232,6,2,6d2h
123,0.41232,6,3,6d3h
124,0.41232,6,4,6d4h
125,0.41232,6,5,6d5h
126,0.41481,6,6,6d6h
127,0.44298000000000004,6,7,6d7h
128,0.39298,6,8,6d8h
129,0.43982,6,9,6d9h
130,0.59773,6,10,6d10h
131,0.78308,6,11,6d11h
132,0.91939,6,12,6d12h
133,0.97363,6,13,6d13h
134,0.9418500000000001,6,14,6d14h
135,0.82075,6,15,6d15h
136,0.6447,6,16,6d16h
137,0.52058,6,17,6d17h
138,0.5037900000000001,6,18,6d18h
139,0.52643,6,19,6d19h
140,0.52643,6,20,6d20h
141,0.52643,6,21,6d21h
142,0.52643,6,22,6d22h
143,0.52643,6,23,6d23h
