Month,Day,Hour,Beam Irradiance (W/m2),Diffuse Irradiance (W/m2),Ambient Temperature (C),Wind Speed (m/s),Albedo,Plane of Array Irradiance (W/m2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,-1.4,0,0.2,0,-1.4,0,0
1,1,1,0,0,-1.8,0,0.2,0,-1.8,0,0
1,1,2,0,0,-2.4,0,0.2,0,-2.4,0,0
1,1,3,0,0,-3.2,0,0.2,0,-3.2,0,0
1,1,4,0,0,-3.5,0,0.2,0,-3.5,0,0
1,1,5,0,0,-3.6,0,0.2,0,-3.6,0,0
1,1,6,0,0,-3.6,0,0.2,0,-3.6,0,0
1,1,7,0,0,-3,0,0.2,0,-3,0,0
1,1,8,30,7,-2.1,0,0.2,0,-2.1,0,0
1,1,9,137,26,-0.8,0,0.2,87.285,3.243,212.476,193.056
1,1,10,247,42,1,0,0.2,180.568,9.596,485.273,456.187
1,1,11,328,52,3.3,0,0.2,275.13,16.43,736.008,698.037
1,1,12,359,55,6,0,0.2,319.106,21.224,840.409,798.739
1,1,13,332,52,6.9,0,0.2,298.184,21.125,784.146,744.47
1,1,14,254,43,7.1,0,0.2,220.537,17.623,583.425,550.861
1,1,15,146,28,6.6,0,0.2,113.783,12.021,299.349,276.852
1,1,16,37,8,5.5,0,0.2,26.227,6.723,61.502,47.432
1,1,17,0,0,3.8,0,0.2,0,3.8,0,0
1,1,18,0,0,1.4,0,0.2,0,1.4,0,0
1,1,19,0,0,0.3,0,0.2,0,0.3,0,0
1,1,20,0,0,-0.5,0,0.2,0,-0.5,0,0
1,1,21,0,0,-1,0,0.2,0,-1,0,0
1,1,22,0,0,-1,0,0.2,0,-1,0,0
1,1,23,0,0,-0.6,0,0.2,0,-0.6,0,0
1,2,0,0,0,0.2,0,0.2,0,0.2,0,0
1,2,1,0,0,0.5,0,0.2,0,0.5,0,0
1,2,2,0,0,0.8,0,0.2,0,0.8,0,0
1,2,3,0,0,1,0,0.2,0,1,0,0
1,2,4,0,0,1.2,0,0.2,0,1.2,0,0
1,2,5,0,0,1.3,0,0.2,0,1.3,0,0
1,2,6,0,0,1.4,0,0.2,0,1.4,0,0
1,2,7,0,0,1.6,0,0.2,0,1.6,0,0
1,2,8,0,8,1.8,0,0.2,0,1.8,0,0
1,2,9,0,38,2,0,0.2,38.76,3.813,94.384,79.149
1,2,10,1,66,2.6,0,0.2,65.275,5.696,169.557,151.658
1,2,11,6,81,3.3,0,0.2,82.218,7.204,215.059,195.548
1,2,12,9,87,4.2,0,0.2,90.016,8.473,234.808,214.597
1,2,13,7,82,4.3,0,0.2,83.433,8.26,217.112,197.529
1,2,14,1,68,4.1,0,0.2,65.392,7.204,169.373,151.481
1,2,15,0,41,3.6,0,0.2,38.888,5.445,99.186,83.781
1,2,16,0,11,3.2,0,0.2,10.407,3.689,24.395,11.64
1,2,17,0,0,2.8,0,0.2,0,2.8,0,0
1,2,18,0,0,2.2,0,0.2,0,2.2,0,0
1,2,19,0,0,2,0,0.2,0,2,0,0
1,2,20,0,0,1.9,0,0.2,0,1.9,0,0
1,2,21,0,0,2,0,0.2,0,2,0,0
1,2,22,0,0,1.9,0,0.2,0,1.9,0,0
1,2,23,0,0,1.9,0,0.2,0,1.9,0,0
1,3,0,0,0,1.8,0,0.2,0,1.8,0,0
1,3,1,0,0,1.7,0,0.2,0,1.7,0,0
1,3,2,0,0,1.6,0,0.2,0,1.6,0,0
1,3,3,0,0,1.4,0,0.2,0,1.4,0,0
1,3,4,0,0,0.6,0,0.2,0,0.6,0,0
1,3,5,0,0,-0.5,0,0.2,0,-0.5,0,0
1,3,6,0,0,-2,0,0.2,0,-2,0,0
1,3,7,0,0,-1.9,0,0.2,0,-1.9,0,0
1,3,8,30,7,-1.3,0,0.2,0,-1.3,0,0
1,3,9,139,27,0,0,0.2,89.16,4.131,216.592,197.027
1,3,10,250,42,2.1,3,0.2,181.943,6.391,495.092,465.658
1,3,11,332,52,4.9,6,0.2,277.749,9.263,763.331,724.393
1,3,12,364,56,8.4,9,0.2,324.34,12.214,883.818,840.61
1,3,13,338,53,9.2,9,0.2,304.368,12.779,826.326,785.156
1,3,14,260,44,8.9,6,0.2,226.404,12.456,611.309,577.757
1,3,15,151,28,7.6,3,0.2,116.816,10.358,310.078,287.2
1,3,16,40,9,6,3,0.2,28.923,6.669,68.507,54.188
1,3,17,0,0,3.7,0,0.2,0,3.7,0,0
1,3,18,0,0,0.8,0,0.2,0,0.8,0,0
1,3,19,0,0,-0.6,0,0.2,0,-0.6,0,0
1,3,20,0,0,-1.5,0,0.2,0,-1.5,0,0
1,3,21,0,0,-2,0,0.2,0,-2,0,0
1,3,22,0,0,-2.2,0,0.2,0,-2.2,0,0
1,3,23,0,0,-2.1,0,0.2,0,-2.1,0,0
1,4,0,0,0,-1.6,0,0.2,0,-1.6,0,0
1,4,1,0,0,-2.1,0,0.2,0,-2.1,0,0
1,4,2,0,0,-2.9,0,0.2,0,-2.9,0,0
1,4,3,0,0,-4,0,0.2,0,-4,0,0
1,4,4,0,0,-4.5,0,0.2,0,-4.5,0,0
1,4,5,0,0,-4.8,0,0.2,0,-4.8,0,0
1,4,6,0,0,-5,0,0.2,0,-5,0,0
1,4,7,0,0,-4.3,0,0.2,0,-4.3,0,0
1,4,8,33,7,-3.1,0,0.2,0,-3.1,0,0
1,4,9,150,29,-1.4,0,0.2,95.558,3.027,233.774,213.6
1,4,10,269,46,0.6,0,0.2,196.557,9.958,528.994,498.359
1,4,11,358,57,3,3,0.2,300.158,10.096,823.811,782.73
1,4,12,393,61,5.8,6,0.2,350.572,11.305,959.901,913.997
1,4,13,366,57,6.6,6,0.2,328.93,11.765,897.828,854.124
1,4,14,282,47,6.6,6,0.2,244.521,10.441,666.645,631.132
1,4,15,165,31,5.8,6,0.2,128.365,7.814,345.422,321.292
1,4,16,44,10,4.2,6,0.2,31.955,4.692,76.85,62.236
1,4,17,0,0,1.8,3,0.2,0,0,0,0
1,4,18,0,0,-1.4,0,0.2,0,-1.4,0,0
1,4,19,0,0,-2.6,0,0.2,0,-2.6,0,0
1,4,20,0,0,-3.3,0,0.2,0,-3.3,0,0
1,4,21,0,0,-3.4,0,0.2,0,-3.4,0,0
1,4,22,0,0,-3.9,0,0.2,0,-3.9,0,0
1,4,23,0,0,-4.3,0,0.2,0,-4.3,0,0
1,5,0,0,0,-4.6,0,0.2,0,-4.6,0,0
1,5,1,0,0,-4.9,0,0.2,0,-4.9,0,0
1,5,2,0,0,-5.2,0,0.2,0,-5.2,0,0
1,5,3,0,0,-5.4,0,0.2,0,-5.4,0,0
1,5,4,0,0,-5.4,0,0.2,0,-5.4,0,0
1,5,5,0,0,-5.4,0,0.2,0,-5.4,0,0
1,5,6,0,0,-5.2,0,0.2,0,-5.2,0,0
1,5,7,0,0,-5,0,0.2,0,-5,0,0
1,5,8,18,13,-4.7,0,0.2,0,-4.7,0,0
1,5,9,86,50,-4.4,0,0.2,92.196,-0.11,231.355,211.266
1,5,10,161,80,-3,3,0.2,177.997,1.193,491.215,461.919
1,5,11,218,100,-1.1,6,0.2,252.943,2.868,705.951,669.045
1,5,12,241,107,1.4,9,0.2,289.326,4.797,803.618,763.252
1,5,13,223,101,1.9,9,0.2,271.006,5.082,750.665,712.175
1,5,14,170,84,1.7,9,0.2,206.386,4.124,570.108,538.016
1,5,15,96,55,0.8,6,0.2,116.244,2.621,316.19,293.096
