time,G_grid,W_grid,P_grid,R_grid,G_solar,W_solar,P_solar,R_solar,D_dc,D_grid,GPU_power,operations,job_completion,total_job_completion,minimum_cost
143,150.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,['Process 2 is executed'],0.038461538461538464,100.12%,$532.98
144,150.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,['Process 2 is executed'],0.038461538461538464,100.12%,$532.98
145,125.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,['Process 1 is executed'],0.03571428571428571,100.12%,$532.98
146,125.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,['Process 1 is executed'],0.03571428571428571,100.12%,$532.98
147,125.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,['Process 1 is executed'],0.03571428571428571,100.12%,$532.98
148,125.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,['Process 1 is executed'],0.03571428571428571,100.12%,$532.98
149,125.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,['Process 1 is executed'],0.03571428571428571,100.12%,$532.98
150,281.6876115220074,0.0,125.0,156.68761152200742,0.0,0.0,0.0,0.0,0.0,0.0,125.0,['Process 1 is executed'],0.03571428571428571,100.12%,$532.98
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.88888888888889,0.0,125.0,['Process 1 is executed'],0.03571428571428571,100.12%,$532.98
152,0.0,0.0,0.0,0.0,198.276,0.0,198.276,0.0,1.9155555555550592,0.0,200.0,['Process 4 is executed'],0.041666666666666664,100.12%,$532.98
153,0.0,218.904,0.0,0.0,468.904,218.904,250.0,0.0,0.0,0.0,250.0,['Process 6 is executed'],0.045454545454545456,100.12%,$532.98
154,0.0,435.42499999999995,0.0,0.0,685.425,435.42499999999995,250.0,0.0,0.0,0.0,250.0,['Process 6 is executed'],0.045454545454545456,100.12%,$532.98
155,0.0,286.688,0.0,0.0,786.688,286.688,250.0,250.0,0.0,0.0,250.0,['Process 6 is executed'],0.045454545454545456,100.12%,$532.98
156,0.0,467.0615,0.0,0.0,742.399,467.0615,250.0,25.337499999999977,0.0,0.0,250.0,['Process 6 is executed'],0.045454545454545456,100.12%,$532.98
157,0.0,306.71705062499996,0.0,0.0,559.622,306.71705062499996,250.0,2.9049493749999726,0.0,0.0,250.0,['Process 6 is executed'],0.045454545454545456,100.12%,$532.98
158,0.0,38.08694080490628,0.0,0.0,288.752,38.08694080490628,250.0,0.6650591950937326,0.0,0.0,250.0,['Process 6 is executed'],0.045454545454545456,100.12%,$532.98
159,0.0,0.0,0.0,0.0,60.829,0.0,60.829,0.0,71.3011111111111,0.0,125.0,['Process 1 is executed'],0.03571428571428571,100.12%,$532.98
160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.88888888888889,0.0,125.0,['Process 1 is executed'],0.03571428571428571,100.12%,$532.98
161,89.86169977653083,0.0,89.86169977653083,0.0,0.0,0.0,0.0,0.0,39.04255580385463,0.0,125.0,['Process 1 is executed'],0.03571428571428571,100.12%,$532.98
162,125.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,['Process 1 is executed'],0.03571428571428571,100.12%,$532.98
163,125.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,['Process 1 is executed'],0.03571428571428571,100.12%,$532.98
164,125.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,['Process 1 is executed'],0.03571428571428571,100.12%,$532.98
165,125.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,['Process 1 is executed'],0.03571428571428571,100.12%,$532.98
166,125.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,['Process 1 is executed'],0.03571428571428571,100.12%,$532.98
167,125.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,['Process 1 is executed'],0.03571428571428571,100.12%,$532.98
168,150.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,['Process 2 is executed'],0.038461538461538464,100.12%,$532.98
