Month,Day,Hour,AC System Output (W),AC System Output (kWh)
1,1,0,0.0,0.0
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,8,0.0,0.0
1,1,9,2547.074,2.5470740000000003
1,1,10,4123.633,4.123633
1,1,11,5349.942,5.349942
1,1,12,5651.579,5.651579
1,1,13,5261.851,5.261851
1,1,14,4212.907,4.212907
1,1,15,2477.385,2.4773850000000004
1,1,16,676.073,0.6760729999999999
1,1,17,0.0,0.0
1,1,18,0.0,0.0
1,1,19,0.0,0.0
1,1,20,0.0,0.0
1,1,21,0.0,0.0
1,1,22,0.0,0.0
1,1,23,0.0,0.0
1,2,0,0.0,0.0
1,2,1,0.0,0.0
1,2,2,0.0,0.0
1,2,3,0.0,0.0
1,2,4,0.0,0.0
1,2,5,0.0,0.0
1,2,6,0.0,0.0
1,2,7,0.0,0.0
1,2,8,0.0,0.0
1,2,9,305.298,0.305298
1,2,10,517.304,0.517304
1,2,11,703.778,0.703778
1,2,12,795.011,0.7950109999999999
1,2,13,712.842,0.712842
1,2,14,487.734,0.487734
1,2,15,235.666,0.235666
1,2,16,8.598,0.008598000000000001
1,2,17,0.0,0.0
1,2,18,0.0,0.0
1,2,19,0.0,0.0
1,2,20,0.0,0.0
1,2,21,0.0,0.0
1,2,22,0.0,0.0
1,2,23,0.0,0.0
1,3,0,0.0,0.0
1,3,1,0.0,0.0
1,3,2,0.0,0.0
1,3,3,0.0,0.0
1,3,4,0.0,0.0
1,3,5,0.0,0.0
1,3,6,0.0,0.0
1,3,7,0.0,0.0
1,3,8,0.0,0.0
1,3,9,2592.323,2.592323
1,3,10,4252.783,4.252783
1,3,11,5616.452,5.616452000000001
1,3,12,6002.199,6.002198999999999
1,3,13,5588.17,5.58817
1,3,14,4436.467,4.4364669999999995
1,3,15,2569.175,2.569175
1,3,16,747.092,0.747092
1,3,17,0.0,0.0
1,3,18,0.0,0.0
1,3,19,0.0,0.0
1,3,20,0.0,0.0
1,3,21,0.0,0.0
1,3,22,0.0,0.0
1,3,23,0.0,0.0
1,4,0,0.0,0.0
1,4,1,0.0,0.0
1,4,2,0.0,0.0
1,4,3,0.0,0.0
1,4,4,0.0,0.0
1,4,5,0.0,0.0
1,4,6,0.0,0.0
1,4,7,0.0,0.0
1,4,8,0.0,0.0
1,4,9,2795.302,2.795302
1,4,10,4481.033,4.481033
1,4,11,6017.296,6.017296
1,4,12,6486.683,6.486683
1,4,13,6043.728,6.043728
1,4,14,4821.006,4.821006000000001
1,4,15,2853.995,2.853995
1,4,16,837.437,0.837437
1,4,17,0.0,0.0
1,4,18,0.0,0.0
1,4,19,0.0,0.0
1,4,20,0.0,0.0
1,4,21,0.0,0.0
1,4,22,0.0,0.0
1,4,23,0.0,0.0
1,5,0,0.0,0.0
1,5,1,0.0,0.0
1,5,2,0.0,0.0
1,5,3,0.0,0.0
1,5,4,0.0,0.0
1,5,5,0.0,0.0
1,5,6,0.0,0.0
1,5,7,0.0,0.0
1,5,8,0.0,0.0
1,5,9,2109.259,2.109259
1,5,10,3609.652,3.609652
1,5,11,4566.151,4.566151
1,5,12,4890.719,4.890719
1,5,13,4536.138,4.536138
1,5,14,3598.565,3.5985650000000002
1,5,15,2188.808,2.188808
1,5,16,462.958,0.46295800000000004
1,5,17,0.0,0.0
1,5,18,0.0,0.0
1,5,19,0.0,0.0
1,5,20,0.0,0.0
1,5,21,0.0,0.0
1,5,22,0.0,0.0
1,5,23,0.0,0.0
1,6,0,0.0,0.0
1,6,1,0.0,0.0
1,6,2,0.0,0.0
1,6,3,0.0,0.0
1,6,4,0.0,0.0
1,6,5,0.0,0.0
1,6,6,0.0,0.0
1,6,7,0.0,0.0
1,6,8,0.0,0.0
1,6,9,2814.219,2.814219
1,6,10,4522.556,4.522556
1,6,11,6062.167,6.0621670000000005
1,6,12,6532.199,6.532198999999999
1,6,13,6099.115,6.099114999999999
1,6,14,4846.345,4.846345
1,6,15,2827.565,2.827565
1,6,16,864.101,0.864101
1,6,17,0.0,0.0
1,6,18,0.0,0.0
1,6,19,0.0,0.0
1,6,20,0.0,0.0
1,6,21,0.0,0.0
1,6,22,0.0,0.0
1,6,23,0.0,0.0
1,7,0,0.0,0.0
1,7,1,0.0,0.0
1,7,2,0.0,0.0
1,7,3,0.0,0.0
1,7,4,0.0,0.0
1,7,5,0.0,0.0
1,7,6,0.0,0.0
1,7,7,0.0,0.0
1,7,8,0.0,0.0
1,7,9,2277.689,2.2776889999999996
1,7,10,4035.76,4.03576
1,7,11,5007.488,5.007488
1,7,12,5331.991,5.331991
1,7,13,5003.192,5.003192
1,7,14,4025.705,4.025705
1,7,15,2293.059,2.2930590000000004
1,7,16,664.46,0.66446
1,7,17,0.0,0.0
1,7,18,0.0,0.0
1,7,19,0.0,0.0
1,7,20,0.0,0.0
1,7,21,0.0,0.0
1,7,22,0.0,0.0
1,7,23,0.0,0.0
1,8,0,0.0,0.0
1,8,1,0.0,0.0
1,8,2,0.0,0.0
1,8,3,0.0,0.0
1,8,4,0.0,0.0
1,8,5,0.0,0.0
1,8,6,0.0,0.0
1,8,7,0.0,0.0
1,8,8,0.0,0.0
1,8,9,2673.727,2.673727
1,8,10,4299.949,4.299949
1,8,11,5788.373,5.788373
1,8,12,6270.007,6.270007
1,8,13,5875.909,5.875909
1,8,14,4739.372,4.739372
1,8,15,2835.725,2.835725
1,8,16,897.215,0.897215
1,8,17,0.0,0.0
1,8,18,0.0,0.0
1,8,19,0.0,0.0
1,8,20,0.0,0.0
1,8,21,0.0,0.0
1,8,22,0.0,0.0
1,8,23,0.0,0.0
1,9,0,0.0,0.0
1,9,1,0.0,0.0
1,9,2,0.0,0.0
1,9,3,0.0,0.0
1,9,4,0.0,0.0
1,9,5,0.0,0.0
1,9,6,0.0,0.0
1,9,7,0.0,0.0
1,9,8,0.0,0.0
1,9,9,2329.246,2.329246
1,9,10,3698.582,3.698582
1,9,11,5010.253,5.010253
1,9,12,5328.451,5.328451
1,9,13,5009.515,5.009515
1,9,14,4078.949,4.078949
1,9,15,2327.151,2.3271509999999997
1,9,16,732.066,0.732066
1,9,17,0.0,0.0
1,9,18,0.0,0.0
1,9,19,0.0,0.0
1,9,20,0.0,0.0
1,9,21,0.0,0.0
1,9,22,0.0,0.0
1,9,23,0.0,0.0
1,10,0,0.0,0.0
1,10,1,0.0,0.0
1,10,2,0.0,0.0
1,10,3,0.0,0.0
1,10,4,0.0,0.0
1,10,5,0.0,0.0
1,10,6,0.0,0.0
1,10,7,0.0,0.0
1,10,8,0.0,0.0
1,10,9,2986.539,2.986539
1,10,10,4801.406,4.801406
1,10,11,6196.305,6.196305000000001
1,10,12,6552.781,6.5527809999999995
1,10,13,6175.744,6.175744
1,10,14,5054.895,5.054895
1,10,15,3135.272,3.135272
1,10,16,1056.603,1.056603
1,10,17,0.0,0.0
1,10,18,0.0,0.0
1,10,19,0.0,0.0
1,10,20,0.0,0.0
1,10,21,0.0,0.0
1,10,22,0.0,0.0
1,10,23,0.0,0.0
1,11,0,0.0,0.0
1,11,1,0.0,0.0
1,11,2,0.0,0.0
1,11,3,0.0,0.0
1,11,4,0.0,0.0
1,11,5,0.0,0.0
1,11,6,0.0,0.0
1,11,7,0.0,0.0
1,11,8,0.0,0.0
1,11,9,2249.521,2.249521
1,11,10,3320.825,3.3208249999999997
1,11,11,4446.599,4.446599
1,11,12,4717.584,4.7175839999999996
1,11,13,4427.642,4.427642
1,11,14,3579.468,3.579468
1,11,15,2032.587,2.032587
1,11,16,591.134,0.591134
1,11,17,0.0,0.0
1,11,18,0.0,0.0
1,11,19,0.0,0.0
1,11,20,0.0,0.0
1,11,21,0.0,0.0
1,11,22,0.0,0.0
1,11,23,0.0,0.0
1,12,0,0.0,0.0
1,12,1,0.0,0.0
1,12,2,0.0,0.0
1,12,3,0.0,0.0
1,12,4,0.0,0.0
1,12,5,0.0,0.0
1,12,6,0.0,0.0
1,12,7,0.0,0.0
1,12,8,0.0,0.0
1,12,9,2234.841,2.234841
1,12,10,3619.353,3.6193530000000003
1,12,11,4603.94,4.60394
1,12,12,4925.686,4.925686
1,12,13,4580.1,4.580100000000001
1,12,14,3675.748,3.675748
1,12,15,2058.532,2.058532
1,12,16,614.19,0.61419
1,12,17,0.0,0.0
1,12,18,0.0,0.0
1,12,19,0.0,0.0
1,12,20,0.0,0.0
1,12,21,0.0,0.0
1,12,22,0.0,0.0
1,12,23,0.0,0.0
1,13,0,0.0,0.0
1,13,1,0.0,0.0
1,13,2,0.0,0.0
1,13,3,0.0,0.0
1,13,4,0.0,0.0
1,13,5,0.0,0.0
1,13,6,0.0,0.0
1,13,7,0.0,0.0
1,13,8,0.0,0.0
1,13,9,2633.366,2.633366
1,13,10,4183.155,4.183155
1,13,11,5447.527,5.447527
1,13,12,5772.458,5.772457999999999
1,13,13,5422.521,5.422521
1,13,14,4454.206,4.454206
1,13,15,2770.135,2.7701350000000002
1,13,16,1007.996,1.007996
1,13,17,0.0,0.0
1,13,18,0.0,0.0
1,13,19,0.0,0.0
1,13,20,0.0,0.0
1,13,21,0.0,0.0
1,13,22,0.0,0.0
1,13,23,0.0,0.0
1,14,0,0.0,0.0
1,14,1,0.0,0.0
1,14,2,0.0,0.0
1,14,3,0.0,0.0
1,14,4,0.0,0.0
1,14,5,0.0,0.0
1,14,6,0.0,0.0
1,14,7,0.0,0.0
1,14,8,0.0,0.0
1,14,9,3177.603,3.177603
1,14,10,5057.058,5.057058
1,14,11,6462.618,6.462618
1,14,12,6826.407,6.826407000000001
1,14,13,6437.695,6.437695
1,14,14,5488.156,5.488156
1,14,15,3448.458,3.448458
1,14,16,1267.343,1.267343
1,14,17,0.0,0.0
1,14,18,0.0,0.0
1,14,19,0.0,0.0
1,14,20,0.0,0.0
1,14,21,0.0,0.0
1,14,22,0.0,0.0
1,14,23,0.0,0.0
1,15,0,0.0,0.0
1,15,1,0.0,0.0
1,15,2,0.0,0.0
1,15,3,0.0,0.0
1,15,4,0.0,0.0
1,15,5,0.0,0.0
1,15,6,0.0,0.0
1,15,7,0.0,0.0
1,15,8,0.0,0.0
1,15,9,2328.262,2.328262
1,15,10,4095.733,4.095733
1,15,11,5067.195,5.067195
1,15,12,5396.897,5.396897
1,15,13,5103.163,5.1031629999999994
1,15,14,4204.376,4.204376
1,15,15,2814.571,2.814571
1,15,16,902.802,0.902802
1,15,17,0.0,0.0
1,15,18,0.0,0.0
1,15,19,0.0,0.0
1,15,20,0.0,0.0
1,15,21,0.0,0.0
1,15,22,0.0,0.0
1,15,23,0.0,0.0
1,16,0,0.0,0.0
1,16,1,0.0,0.0
1,16,2,0.0,0.0
1,16,3,0.0,0.0
1,16,4,0.0,0.0
1,16,5,0.0,0.0
1,16,6,0.0,0.0
1,16,7,0.0,0.0
1,16,8,0.0,0.0
1,16,9,2671.9,2.6719
1,16,10,4228.147,4.228147
1,16,11,5460.201,5.460201
1,16,12,5784.546,5.784546000000001
1,16,13,5479.723,5.479723
1,16,14,4501.979,4.501979
1,16,15,2863.503,2.863503
1,16,16,1116.566,1.116566
1,16,17,0.0,0.0
1,16,18,0.0,0.0
1,16,19,0.0,0.0
1,16,20,0.0,0.0
1,16,21,0.0,0.0
1,16,22,0.0,0.0
1,16,23,0.0,0.0
1,17,0,0.0,0.0
1,17,1,0.0,0.0
1,17,2,0.0,0.0
1,17,3,0.0,0.0
1,17,4,0.0,0.0
1,17,5,0.0,0.0
1,17,6,0.0,0.0
1,17,7,0.0,0.0
1,17,8,0.0,0.0
1,17,9,440.149,0.440149
1,17,10,705.266,0.705266
1,17,11,952.284,0.952284
1,17,12,1058.942,1.058942
1,17,13,971.936,0.971936
1,17,14,730.672,0.730672
1,17,15,377.5,0.3775
1,17,16,79.109,0.079109
1,17,17,0.0,0.0
1,17,18,0.0,0.0
1,17,19,0.0,0.0
1,17,20,0.0,0.0
1,17,21,0.0,0.0
1,17,22,0.0,0.0
1,17,23,0.0,0.0
1,18,0,0.0,0.0
1,18,1,0.0,0.0
1,18,2,0.0,0.0
1,18,3,0.0,0.0
1,18,4,0.0,0.0
1,18,5,0.0,0.0
1,18,6,0.0,0.0
1,18,7,0.0,0.0
1,18,8,0.0,0.0
1,18,9,80.218,0.080218
1,18,10,210.587,0.210587
1,18,11,338.506,0.338506
1,18,12,395.099,0.395099
1,18,13,379.561,0.379561
1,18,14,275.374,0.275374
1,18,15,138.972,0.138972
1,18,16,6.118,0.006118
1,18,17,0.0,0.0
1,18,18,0.0,0.0
1,18,19,0.0,0.0
1,18,20,0.0,0.0
1,18,21,0.0,0.0
1,18,22,0.0,0.0
1,18,23,0.0,0.0
1,19,0,0.0,0.0
1,19,1,0.0,0.0
1,19,2,0.0,0.0
1,19,3,0.0,0.0
1,19,4,0.0,0.0
1,19,5,0.0,0.0
1,19,6,0.0,0.0
1,19,7,0.0,0.0
1,19,8,0.0,0.0
1,19,9,114.468,0.114468
1,19,10,289.464,0.289464
1,19,11,453.905,0.45390499999999995
1,19,12,536.87,0.53687
1,19,13,499.732,0.499732
1,19,14,361.553,0.361553
1,19,15,194.579,0.194579
1,19,16,26.689,0.026689
1,19,17,0.0,0.0
1,19,18,0.0,0.0
1,19,19,0.0,0.0
1,19,20,0.0,0.0
1,19,21,0.0,0.0
1,19,22,0.0,0.0
1,19,23,0.0,0.0
1,20,0,0.0,0.0
1,20,1,0.0,0.0
1,20,2,0.0,0.0
1,20,3,0.0,0.0
1,20,4,0.0,0.0
1,20,5,0.0,0.0
1,20,6,0.0,0.0
1,20,7,0.0,0.0
1,20,8,0.0,0.0
1,20,9,141.609,0.141609
1,20,10,335.435,0.335435
1,20,11,519.035,0.5190349999999999
1,20,12,615.777,0.615777
1,20,13,566.33,0.56633
1,20,14,431.447,0.431447
1,20,15,233.241,0.233241
1,20,16,40.195,0.040195
1,20,17,0.0,0.0
1,20,18,0.0,0.0
1,20,19,0.0,0.0
1,20,20,0.0,0.0
1,20,21,0.0,0.0
1,20,22,0.0,0.0
1,20,23,0.0,0.0
1,21,0,0.0,0.0
1,21,1,0.0,0.0
1,21,2,0.0,0.0
1,21,3,0.0,0.0
1,21,4,0.0,0.0
1,21,5,0.0,0.0
1,21,6,0.0,0.0
1,21,7,0.0,0.0
1,21,8,0.0,0.0
1,21,9,489.266,0.48926600000000003
1,21,10,762.958,0.762958
1,21,11,1035.391,1.0353910000000002
1,21,12,1142.898,1.142898
1,21,13,1065.769,1.065769
1,21,14,809.553,0.809553
1,21,15,433.793,0.433793
1,21,16,115.272,0.115272
1,21,17,0.0,0.0
1,21,18,0.0,0.0
1,21,19,0.0,0.0
1,21,20,0.0,0.0
1,21,21,0.0,0.0
1,21,22,0.0,0.0
1,21,23,0.0,0.0
1,22,0,0.0,0.0
1,22,1,0.0,0.0
1,22,2,0.0,0.0
1,22,3,0.0,0.0
1,22,4,0.0,0.0
1,22,5,0.0,0.0
1,22,6,0.0,0.0
1,22,7,0.0,0.0
1,22,8,0.0,0.0
1,22,9,227.02,0.22702
1,22,10,450.169,0.450169
1,22,11,673.524,0.673524
1,22,12,763.094,0.763094
1,22,13,718.666,0.718666
1,22,14,531.818,0.531818
1,22,15,295.834,0.295834
1,22,16,67.708,0.067708
1,22,17,0.0,0.0
1,22,18,0.0,0.0
1,22,19,0.0,0.0
1,22,20,0.0,0.0
1,22,21,0.0,0.0
1,22,22,0.0,0.0
1,22,23,0.0,0.0
1,23,0,0.0,0.0
1,23,1,0.0,0.0
1,23,2,0.0,0.0
1,23,3,0.0,0.0
1,23,4,0.0,0.0
1,23,5,0.0,0.0
1,23,6,0.0,0.0
1,23,7,0.0,0.0
1,23,8,0.0,0.0
1,23,9,115.451,0.115451
1,23,10,289.29,0.28929000000000005
1,23,11,443.602,0.443602
1,23,12,524.314,0.524314
1,23,13,496.672,0.496672
1,23,14,360.808,0.360808
1,23,15,195.452,0.195452
1,23,16,34.168,0.034168
1,23,17,0.0,0.0
1,23,18,0.0,0.0
1,23,19,0.0,0.0
1,23,20,0.0,0.0
1,23,21,0.0,0.0
1,23,22,0.0,0.0
1,23,23,0.0,0.0
1,24,0,0.0,0.0
1,24,1,0.0,0.0
1,24,2,0.0,0.0
1,24,3,0.0,0.0
1,24,4,0.0,0.0
1,24,5,0.0,0.0
1,24,6,0.0,0.0
1,24,7,0.0,0.0
1,24,8,100.308,0.10030800000000001
1,24,9,2316.948,2.316948
1,24,10,2850.707,2.850707
1,24,11,3676.812,3.676812
1,24,12,3902.415,3.902415
1,24,13,3691.703,3.691703
