Month,Day,Hour,Beam Irradiance (W/m2),Diffuse Irradiance (W/m2),Ambient Temperature (C),Wind Speed (m/s),Albedo,Plane of Array Irradiance (W/m2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,-1.4,0,0.2,0,-1.4,0,0
1,1,1,0,0,-1.8,0,0.2,0,-1.8,0,0
1,1,2,0,0,-2.4,0,0.2,0,-2.4,0,0
1,1,3,0,0,-3.2,0,0.2,0,-3.2,0,0
1,1,4,0,0,-3.5,0,0.2,0,-3.5,0,0
1,1,5,0,0,-3.6,0,0.2,0,-3.6,0,0
1,1,6,0,0,-3.6,0,0.2,0,-3.6,0,0
1,1,7,0,0,-3,0,0.2,0,-3,0,0
1,1,8,30,7,-2.1,0,0.2,0,-2.1,0,0
1,1,9,137,26,-0.8,0,0.2,220.237,8.121,38.014,36.183
1,1,10,247,42,1,0,0.2,339.623,14.962,61.035,58.336
1,1,11,328,52,3.3,0,0.2,446.593,21.678,78.941,75.567
1,1,12,359,55,6,0,0.2,478.848,25.699,83.346,79.805
1,1,13,332,52,6.9,0,0.2,445.937,25.244,77.655,74.329
1,1,14,254,43,7.1,0,0.2,354.334,21.679,62.338,59.59
1,1,15,146,28,6.6,0,0.2,208.509,15.173,36.996,35.204
1,1,16,37,8,5.5,0,0.2,63.726,8.091,10.694,9.893
1,1,17,0,0,3.8,0,0.2,0,3.8,0,0
1,1,18,0,0,1.4,0,0.2,0,1.4,0,0
1,1,19,0,0,0.3,0,0.2,0,0.3,0,0
1,1,20,0,0,-0.5,0,0.2,0,-0.5,0,0
1,1,21,0,0,-1,0,0.2,0,-1,0,0
1,1,22,0,0,-1,0,0.2,0,-1,0,0
1,1,23,0,0,-0.6,0,0.2,0,-0.6,0,0
1,2,0,0,0,0.2,0,0.2,0,0.2,0,0
1,2,1,0,0,0.5,0,0.2,0,0.5,0,0
1,2,2,0,0,0.8,0,0.2,0,0.8,0,0
1,2,3,0,0,1,0,0.2,0,1,0,0
1,2,4,0,0,1.2,0,0.2,0,1.2,0,0
1,2,5,0,0,1.3,0,0.2,0,1.3,0,0
1,2,6,0,0,1.4,0,0.2,0,1.4,0,0
1,2,7,0,0,1.6,0,0.2,0,1.6,0,0
1,2,8,0,8,1.8,0,0.2,0,1.8,0,0
1,2,9,0,38,2,0,0.2,32.803,3.321,5.28,4.683
1,2,10,1,66,2.6,0,0.2,48.746,4.593,8.375,7.662
1,2,11,6,81,3.3,0,0.2,63.837,5.914,11.098,10.282
1,2,12,9,87,4.2,0,0.2,71.554,7.13,12.431,11.564
1,2,13,7,82,4.3,0,0.2,64.887,6.956,11.231,10.41
1,2,14,1,68,4.1,0,0.2,46.389,5.998,7.944,7.247
1,2,15,0,41,3.6,0,0.2,25.465,4.641,4.263,3.705
1,2,16,0,11,3.2,0,0.2,6.221,3.452,0.947,0.514
1,2,17,0,0,2.8,0,0.2,0,2.8,0,0
1,2,18,0,0,2.2,0,0.2,0,2.2,0,0
1,2,19,0,0,2,0,0.2,0,2,0,0
1,2,20,0,0,1.9,0,0.2,0,1.9,0,0
1,2,21,0,0,2,0,0.2,0,2,0,0
1,2,22,0,0,1.9,0,0.2,0,1.9,0,0
1,2,23,0,0,1.9,0,0.2,0,1.9,0,0
1,3,0,0,0,1.8,0,0.2,0,1.8,0,0
1,3,1,0,0,1.7,0,0.2,0,1.7,0,0
1,3,2,0,0,1.6,0,0.2,0,1.6,0,0
1,3,3,0,0,1.4,0,0.2,0,1.4,0,0
1,3,4,0,0,0.6,0,0.2,0,0.6,0,0
1,3,5,0,0,-0.5,0,0.2,0,-0.5,0,0
1,3,6,0,0,-2,0,0.2,0,-2,0,0
1,3,7,0,0,-1.9,0,0.2,0,-1.9,0,0
1,3,8,30,7,-1.3,0,0.2,0,-1.3,0,0
1,3,9,139,27,0,0,0.2,224.627,9.1,38.675,36.819
1,3,10,250,42,2.1,3,0.2,342.517,9.076,62.921,60.15
1,3,11,332,52,4.9,6,0.2,450.493,11.002,82.833,79.312
1,3,12,364,56,8.4,9,0.2,485.379,13.321,88.465,84.732
1,3,13,338,53,9.2,9,0.2,453.461,13.797,82.42,78.914
1,3,14,260,44,8.9,6,0.2,361.9,13.801,65.603,62.731
1,3,15,151,28,7.6,3,0.2,213.151,11.942,38.337,36.494
1,3,16,40,9,6,3,0.2,69.231,7.396,11.731,10.891
1,3,17,0,0,3.7,0,0.2,0,3.7,0,0
1,3,18,0,0,0.8,0,0.2,0,0.8,0,0
1,3,19,0,0,-0.6,0,0.2,0,-0.6,0,0
1,3,20,0,0,-1.5,0,0.2,0,-1.5,0,0
1,3,21,0,0,-2,0,0.2,0,-2,0,0
1,3,22,0,0,-2.2,0,0.2,0,-2.2,0,0
1,3,23,0,0,-2.1,0,0.2,0,-2.1,0,0
1,4,0,0,0,-1.6,0,0.2,0,-1.6,0,0
1,4,1,0,0,-2.1,0,0.2,0,-2.1,0,0
1,4,2,0,0,-2.9,0,0.2,0,-2.9,0,0
1,4,3,0,0,-4,0,0.2,0,-4,0,0
1,4,4,0,0,-4.5,0,0.2,0,-4.5,0,0
1,4,5,0,0,-4.8,0,0.2,0,-4.8,0,0
1,4,6,0,0,-5,0,0.2,0,-5,0,0
1,4,7,0,0,-4.3,0,0.2,0,-4.3,0,0
1,4,8,33,7,-3.1,0,0.2,0,-3.1,0,0
1,4,9,150,29,-1.4,0,0.2,240.538,8.347,41.639,39.671
1,4,10,269,46,0.6,0,0.2,369.076,15.774,66.253,63.358
1,4,11,358,57,3,3,0.2,485.212,12.891,88.686,84.944
1,4,12,393,61,5.8,6,0.2,523.03,12.882,95.54,91.539
1,4,13,366,57,6.6,6,0.2,488.616,13.216,89.072,85.315
1,4,14,282,47,6.6,6,0.2,389.584,11.876,71.218,68.135
1,4,15,165,31,5.8,6,0.2,233.037,8.955,42.496,40.496
1,4,16,44,10,4.2,6,0.2,75.943,5.218,13.05,12.16
1,4,17,0,0,1.8,3,0.2,0,0,0,0
1,4,18,0,0,-1.4,0,0.2,0,-1.4,0,0
1,4,19,0,0,-2.6,0,0.2,0,-2.6,0,0
1,4,20,0,0,-3.3,0,0.2,0,-3.3,0,0
1,4,21,0,0,-3.4,0,0.2,0,-3.4,0,0
1,4,22,0,0,-3.9,0,0.2,0,-3.9,0,0
1,4,23,0,0,-4.3,0,0.2,0,-4.3,0,0
1,5,0,0,0,-4.6,0,0.2,0,-4.6,0,0
1,5,1,0,0,-4.9,0,0.2,0,-4.9,0,0
1,5,2,0,0,-5.2,0,0.2,0,-5.2,0,0
1,5,3,0,0,-5.4,0,0.2,0,-5.4,0,0
1,5,4,0,0,-5.4,0,0.2,0,-5.4,0,0
1,5,5,0,0,-5.4,0,0.2,0,-5.4,0,0
1,5,6,0,0,-5.2,0,0.2,0,-5.2,0,0
1,5,7,0,0,-5,0,0.2,0,-5,0,0
1,5,8,18,13,-4.7,0,0.2,0,-4.7,0,0
1,5,9,86,50,-4.4,0,0.2,181.212,2.935,31.621,30.031
1,5,10,161,80,-3,3,0.2,287.328,2.845,53.53,51.114
1,5,11,218,100,-1.1,6,0.2,360.268,3.775,67.496,64.554
1,5,12,241,107,1.4,9,0.2,387.692,5.327,72.236,69.114
1,5,13,223,101,1.9,9,0.2,360.711,5.554,67.058,64.132
1,5,14,170,84,1.7,9,0.2,287.122,4.609,53.368,50.958
1,5,15,96,55,0.8,6,0.2,178.149,3.209,32.783,31.149
