Configuration,Total Grid Consumption,Total Cost
s0_d14_wdc100.csv,2816.990561042484,$0.90
s0_d14_wdc1000.csv,2651.438806042485,$0.83
s0_d14_wdc200.csv,2797.3723160424847,$0.89
s0_d14_wdc300.csv,2777.7510710424845,$0.89
s0_d14_wdc400.csv,2758.1318260424846,$0.88
s0_d14_wdc500.csv,2738.512576042485,$0.87
s0_d14_wdc600.csv,2718.8933310424845,$0.86
s0_d14_wdc700.csv,2699.364081042485,$0.85
s0_d14_wdc800.csv,2679.7568310424845,$0.84
s0_d14_wdc900.csv,2660.1485860424846,$0.83
s12_d14_wdc100.csv,4471.127999999999,$1.63
s12_d14_wdc1000.csv,4399.022999999999,$1.60
s12_d14_wdc200.csv,4462.257,$1.62
s12_d14_wdc300.csv,4453.3859999999995,$1.62
s12_d14_wdc400.csv,4444.513999999999,$1.62
s12_d14_wdc500.csv,4435.642,$1.61
s12_d14_wdc600.csv,4426.770999999999,$1.61
s12_d14_wdc700.csv,4417.942999999999,$1.60
s12_d14_wdc800.csv,4409.0779999999995,$1.60
s12_d14_wdc900.csv,4400.2119999999995,$1.60
s16_d14_wdc100.csv,4480.0,$1.38
s16_d14_wdc1000.csv,4480.0,$1.38
s16_d14_wdc200.csv,4480.0,$1.38
s16_d14_wdc300.csv,4480.0,$1.38
s16_d14_wdc400.csv,4480.0,$1.38
s16_d14_wdc500.csv,4480.0,$1.38
s16_d14_wdc600.csv,4480.0,$1.38
s16_d14_wdc700.csv,4480.0,$1.38
s16_d14_wdc800.csv,4480.0,$1.38
s16_d14_wdc900.csv,4480.0,$1.38
s20_d14_wdc100.csv,4528.188154628125,$1.34
s20_d14_wdc1000.csv,4457.689154628126,$1.31
s20_d14_wdc200.csv,4519.933154628125,$1.34
s20_d14_wdc300.csv,4511.677154628125,$1.33
s20_d14_wdc400.csv,4503.421154628125,$1.33
s20_d14_wdc500.csv,4125.1651546281255,$1.20
s20_d14_wdc600.csv,4116.910154628125,$1.19
s20_d14_wdc700.csv,4478.691154628125,$1.32
s20_d14_wdc800.csv,4470.441154628125,$1.32
s20_d14_wdc900.csv,4462.191154628125,$1.31
s4_d14_wdc100.csv,2825.4055610424844,$1.04
s4_d14_wdc1000.csv,2649.5118060424843,$0.96
s4_d14_wdc200.csv,2804.203316042476,$1.03
s4_d14_wdc300.csv,2782.9980710424843,$1.02
s4_d14_wdc400.csv,2761.793826042484,$1.01
s4_d14_wdc500.csv,2740.589576042476,$1.00
s4_d14_wdc600.csv,2719.3863310424763,$0.99
s4_d14_wdc700.csv,2698.281081042484,$0.98
s4_d14_wdc800.csv,2677.090831042484,$0.98
s4_d14_wdc900.csv,2655.8995860424848,$0.97
s8_d14_wdc100.csv,4458.793,$1.85
s8_d14_wdc1000.csv,4282.9,$1.77
s8_d14_wdc200.csv,4437.589999999999,$1.84
s8_d14_wdc300.csv,4416.383999999999,$1.83
s8_d14_wdc400.csv,4395.178999999999,$1.82
s8_d14_wdc500.csv,4373.973999999999,$1.81
s8_d14_wdc600.csv,4352.7699999999995,$1.80
s8_d14_wdc700.csv,4221.664,$1.75
s8_d14_wdc800.csv,4200.473,$1.74
s8_d14_wdc900.csv,4289.280999999999,$1.77
s0_d15_wdc100.csv,4836.225154628126,$1.64
s0_d15_wdc1000.csv,4667.266154628125,$1.56
s0_d15_wdc200.csv,4816.009154628124,$1.63
s0_d15_wdc300.csv,4795.791154628125,$1.62
s0_d15_wdc400.csv,4775.574154628126,$1.61
s0_d15_wdc500.csv,4755.357154628125,$1.60
s0_d15_wdc600.csv,4735.140154628126,$1.60
s0_d15_wdc700.csv,4715.017154628125,$1.59
s0_d15_wdc800.csv,4694.813154628126,$1.58
s0_d15_wdc900.csv,4674.608154628125,$1.57
s12_d15_wdc100.csv,4791.127999999999,$1.71
s12_d15_wdc1000.csv,4719.022999999999,$1.68
s12_d15_wdc200.csv,4782.257,$1.70
s12_d15_wdc300.csv,4773.3859999999995,$1.70
s12_d15_wdc400.csv,4764.513999999999,$1.70
s12_d15_wdc500.csv,4755.642,$1.69
s12_d15_wdc600.csv,4746.770999999999,$1.69
s12_d15_wdc700.csv,4737.942999999999,$1.68
s12_d15_wdc800.csv,4729.0779999999995,$1.68
s12_d15_wdc900.csv,4720.2119999999995,$1.68
s16_d15_wdc100.csv,4450.0,$1.32
s16_d15_wdc1000.csv,4450.0,$1.32
s16_d15_wdc200.csv,4450.0,$1.32
s16_d15_wdc300.csv,4450.0,$1.32
s16_d15_wdc400.csv,4450.0,$1.32
s16_d15_wdc500.csv,4450.0,$1.32
s16_d15_wdc600.csv,4450.0,$1.32
s16_d15_wdc700.csv,4450.0,$1.32
s16_d15_wdc800.csv,4450.0,$1.32
s16_d15_wdc900.csv,4450.0,$1.32
s20_d15_wdc100.csv,4843.069154628125,$1.48
s20_d15_wdc1000.csv,4728.381154628126,$1.43
s20_d15_wdc200.csv,4829.694154628125,$1.48
s20_d15_wdc300.csv,4816.319154628125,$1.47
s20_d15_wdc400.csv,4802.944154628125,$1.47
s20_d15_wdc500.csv,4789.569154628125,$1.46
s20_d15_wdc600.csv,4666.194154628125,$1.43
s20_d15_wdc700.csv,4762.880154628126,$1.45
s20_d15_wdc800.csv,4749.514154628126,$1.44
s20_d15_wdc900.csv,4736.148154628126,$1.44
s4_d15_wdc100.csv,4835.237154628125,$1.83
s4_d15_wdc1000.csv,4659.344154628125,$1.75
s4_d15_wdc200.csv,4814.034154628125,$1.82
s4_d15_wdc300.csv,4792.828154628125,$1.81
s4_d15_wdc400.csv,4771.623154628125,$1.80
s4_d15_wdc500.csv,4750.418154628125,$1.79
s4_d15_wdc600.csv,4729.214154628125,$1.78
s4_d15_wdc700.csv,4708.108154628126,$1.78
s4_d15_wdc800.csv,4526.917154628125,$1.69
s4_d15_wdc900.csv,4665.725154628126,$1.76
s8_d15_wdc100.csv,4778.793,$1.96
s8_d15_wdc1000.csv,4602.9,$1.88
s8_d15_wdc200.csv,4757.589999999999,$1.95
