time,G_grid,W_grid,P_grid,R_grid,G_solar,W_solar,P_solar,R_solar,D_dc,D_grid,GPU_power,operations,job_completion,total_job_completion,minimum_cost
20,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,['Process 6 is executed'],0.068,100.30%,$1.35
21,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,['Process 0 is executed'],0.036000000000000004,100.30%,$1.35
22,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,['Process 0 is executed'],0.036000000000000004,100.30%,$1.35
23,170.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,['Process 3 is executed'],0.054,100.30%,$1.35
24,170.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,['Process 5 is executed'],0.064,100.30%,$1.35
25,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,['Process 0 is executed'],0.036000000000000004,100.30%,$1.35
26,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,['Process 0 is executed'],0.036000000000000004,100.30%,$1.35
27,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,['Process 0 is executed'],0.036000000000000004,100.30%,$1.35
28,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,['Process 0 is executed'],0.036000000000000004,100.30%,$1.35
29,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,['Process 0 is executed'],0.036000000000000004,100.30%,$1.35
30,190.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,['Process 3 is executed'],0.054,100.30%,$1.35
31,230.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,['Process 11 is executed'],0.07200000000000001,100.30%,$1.35
32,100.0,5.299,100.0,0.0,5.299,5.299,0.0,0.0,0.0,0.0,100.0,['Process 0 is executed'],0.036000000000000004,100.30%,$1.35
33,207.043,0.0,207.043,0.0,2.957,0.0,2.957,0.0,0.0,0.0,200.0,['Process 6 is executed'],0.068,100.30%,$1.35
34,100.0,5.119,100.0,0.0,5.119,5.119,0.0,0.0,0.0,0.0,100.0,['Process 0 is executed'],0.036000000000000004,100.30%,$1.35
35,100.0,4.941,100.0,0.0,4.941,4.941,0.0,0.0,0.0,0.0,100.0,['Process 0 is executed'],0.036000000000000004,100.30%,$1.35
36,150.0,12.548,150.0,0.0,12.548,12.548,0.0,0.0,0.0,0.0,130.0,['Process 3 is executed'],0.054,100.30%,$1.35
37,243.95,0.0,243.95,0.0,6.05,0.0,6.05,0.0,0.0,0.0,250.0,['Process 11 is executed'],0.07200000000000001,100.30%,$1.35
38,197.001,0.0,197.001,0.0,2.999,0.0,2.999,0.0,0.0,0.0,200.0,['Process 4 is executed'],0.059000000000000004,100.30%,$1.35
39,110.0,0.973,110.0,0.0,0.973,0.973,0.0,0.0,0.0,0.0,110.0,['Process 1 is executed'],0.04200000000000001,100.30%,$1.35
40,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,['Process 0 is executed'],0.036000000000000004,100.30%,$1.35
