epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1742749844.534469, 1742749844.6515388, 4.6250253899097435]","[1742749958.4291723, 1742749958.5384054, 18.69621019792557]","[1742750071.3140478, 1742750071.4240015, 19.37669923675061]","[1742750185.9956005, 1742750186.1047506, 16.804135625123976]","[1742750301.2546492, 1742750301.3634777, 15.8494526386261]"
"[1742749844.830298, 1742749844.9374793, 9.623788117527962]","[1742749958.686909, 1742749958.7958589, 18.70715514016151]","[1742750071.571297, 1742750071.6798463, 18.193864840149875]","[1742750186.2748258, 1742750186.383001, 16.368943462610243]","[1742750301.5295663, 1742750301.6380546, 15.351451613187793]"
"[1742749845.0882072, 1742749845.195364, 13.461138509750366]","[1742749958.9407332, 1742749959.0490716, 17.615676910638804]","[1742750071.831844, 1742750071.9408617, 18.088902517795564]","[1742750186.5349019, 1742750186.643158, 16.088696619987484]","[1742750301.7877338, 1742750301.8966162, 15.414112238407135]"
"[1742749845.3424828, 1742749845.4497974, 16.07361322879791]","[1742749959.199029, 1742749959.3071425, 17.483096723079683]","[1742750072.092373, 1742750072.2008686, 17.892817756175997]","[1742750186.7928786, 1742750186.9010787, 18.209893315651488]","[1742750302.0524142, 1742750302.1611674, 17.93787662565708]"
"[1742749845.602564, 1742749845.709837, 19.20685569167137]","[1742749959.4600167, 1742749959.5689607, 19.85540974712372]","[1742750072.3538222, 1742750072.4621747, 19.97572417032718]","[1742750187.06594, 1742750187.1741066, 19.907393550872808]","[1742750302.333063, 1742750302.4417107, 19.973706504821777]"
"[1742749845.8657544, 1742749845.97269, 19.049090019464497]","[1742749959.7285092, 1742749959.8369186, 19.590386749744418]","[1742750072.6202276, 1742750072.729117, 20.693803471207616]","[1742750187.338648, 1742750187.446634, 19.850425459146507]","[1742750302.629697, 1742750302.738312, 19.805331376791]"
"[1742749846.134612, 1742749846.2431078, 19.179217237830162]","[1742749959.9927888, 1742749960.1005368, 19.936301690101622]","[1742750072.8858721, 1742750072.9946594, 20.10781466007233]","[1742750187.6092412, 1742750187.7179163, 20.329322205424308]","[1742750302.9132674, 1742750303.0221422, 19.580865877747538]"
"[1742749846.3994937, 1742749846.506671, 19.33463351774216]","[1742749960.2611096, 1742749960.3691785, 20.339067750453946]","[1742750073.1560502, 1742750073.2642777, 20.07501203334331]","[1742750187.8820755, 1742750187.990371, 19.88769686222077]","[1742750303.2000237, 1742750303.308964, 18.96574395108223]"
"[1742749846.6779525, 1742749846.7848473, 18.84623616600037]","[1742749960.530147, 1742749960.6383812, 19.880614516496657]","[1742750073.4235518, 1742750073.5326622, 20.492530485153196]","[1742750188.1615832, 1742750188.2693734, 19.709279616594316]","[1742750303.488319, 1742750303.5971456, 18.864279185652737]"
"[1742749846.9438114, 1742749847.0510125, 18.826882421016695]","[1742749960.794876, 1742749960.903497, 20.076330825805663]","[1742750073.6914227, 1742750073.8001423, 19.954274173736565]","[1742750188.427047, 1742750188.53591, 20.00300302219391]","[1742750303.7770314, 1742750303.886196, 19.146506964206694]"
