epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1742749844.31911, 1742749844.5270448, 7.043971031546593]","[1742749958.3672092, 1742749958.4287348, 11.105859984397888]","[1742750071.2528412, 1742750071.3138545, 10.79031029129028]","[1742750185.932755, 1742750185.9951882, 9.765363117456436]","[1742750301.1927817, 1742750301.2542133, 8.923560948371888]"
"[1742749844.7700713, 1742749844.830102, 3.257745961189269]","[1742749958.625158, 1742749958.6867235, 10.724855388045313]","[1742750071.50916, 1742750071.5711362, 10.317820234298706]","[1742750186.2125502, 1742750186.2746503, 9.283603119373323]","[1742750301.4676719, 1742750301.5292552, 8.66011463881822]"
"[1742749845.0279996, 1742749845.0879757, 7.075556242704391]","[1742749958.8792489, 1742749958.9405935, 10.336201003074645]","[1742750071.7696373, 1742750071.831716, 10.475198663473128]","[1742750186.4727173, 1742750186.5347042, 9.201134553432468]","[1742750301.7264206, 1742750301.787169, 8.757530627846718]"
"[1742749845.280773, 1742749845.3421025, 8.894283596277239]","[1742749959.1376932, 1742749959.1988459, 10.146456644654272]","[1742750072.0304108, 1742750072.092247, 9.666983489990233]","[1742750186.7304454, 1742750186.7923355, 9.892420209921374]","[1742750301.9901829, 1742750302.0521467, 9.706938558816908]"
"[1742749845.5410492, 1742749845.6023362, 10.68280154418945]","[1742749959.3983235, 1742749959.4598885, 10.777586451292038]","[1742750072.2933, 1742750072.3536777, 10.940897195100785]","[1742750187.0043943, 1742750187.0656118, 11.090170717239383]","[1742750302.2710526, 1742750302.3328855, 11.228175352573395]"
"[1742749845.8056831, 1742749845.8656263, 10.667291954994203]","[1742749959.6666079, 1742749959.7282314, 11.599590073585508]","[1742750072.5591655, 1742750072.6200333, 11.098828251838684]","[1742750187.2777638, 1742750187.3384807, 11.091868895292285]","[1742750302.5650933, 1742750302.62953, 11.75366012299061]"
"[1742749846.0724928, 1742749846.1344903, 11.29648674106598]","[1742749959.9320924, 1742749959.9926622, 11.337639499783517]","[1742750072.8242216, 1742750072.8857388, 11.125085017681123]","[1742750187.5473163, 1742750187.6090736, 11.378690754175187]","[1742750302.8513968, 1742750302.913113, 11.171960875511171]"
"[1742749846.3383298, 1742749846.3993182, 10.73811980694258]","[1742749960.1995187, 1742749960.260948, 11.480378860235211]","[1742750073.095349, 1742750073.1559198, 11.195731809854506]","[1742750187.8207157, 1742750187.8819036, 11.133092238664624]","[1742750303.1367147, 1742750303.1996994, 11.233449144124988]"
"[1742749846.6164107, 1742749846.6777747, 10.850726742982868]","[1742749960.4695158, 1742749960.5299933, 10.948180477380756]","[1742750073.3619578, 1742750073.423431, 11.21475970482826]","[1742750188.100692, 1742750188.1614034, 11.088994966030121]","[1742750303.4268935, 1742750303.4880362, 10.976293781399727]"
"[1742749846.8834503, 1742749846.9436553, 10.728528240323065]","[1742749960.73386, 1742749960.7946434, 11.171865172147749]","[1742750073.6290238, 1742750073.691304, 11.33455644750595]","[1742750188.365439, 1742750188.4268017, 11.244734363079072]","[1742750303.7144878, 1742750303.7768815, 11.346685619115826]"
