epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1742749844.5270462, 1742749844.534468, 0.2639376578330993]","[1742749958.428737, 1742749958.4291708, 0.07832635879516602]","[1742750071.313856, 1742750071.3140469, 0.03377400684356689]","[1742750185.9951904, 1742750185.9955988, 0.06279932141304015]","[1742750301.2542164, 1742750301.254648, 0.06268515586853027]"
"[1742749844.8301036, 1742749844.8302972, 0.010506061553955079]","[1742749958.6867254, 1742749958.6869082, 0.032035929918289185]","[1742750071.5711384, 1742750071.5712962, 0.02611869478225708]","[1742750186.2746522, 1742750186.2748249, 0.025804914474487305]","[1742750301.529268, 1742750301.5295653, 0.04179912185668946]"
"[1742749845.0879774, 1742749845.0882063, 0.027220687866210937]","[1742749958.9405947, 1742749958.9407327, 0.02325964593887329]","[1742750071.8317177, 1742750071.8318436, 0.0209150390625]","[1742750186.5347059, 1742750186.5349011, 0.028521355390548706]","[1742750301.7871728, 1742750301.7877324, 0.0777425172328949]"
"[1742749845.3421056, 1742749845.342482, 0.05564837479591369]","[1742749959.1988487, 1742749959.1990287, 0.02990998148918152]","[1742750072.0922482, 1742750072.0923724, 0.019418948173522948]","[1742750186.7923377, 1742750186.7928681, 0.08805941196807136]","[1742750302.0521493, 1742750302.0524132, 0.04134585499763489]"
"[1742749845.6023388, 1742749845.6025636, 0.03918944454193115]","[1742749959.4598901, 1742749959.460016, 0.022724887847900388]","[1742750072.3536801, 1742750072.3538218, 0.025843358516693116]","[1742750187.0656135, 1742750187.0659387, 0.05891376495361328]","[1742750302.3328876, 1742750302.3330622, 0.031691348075866696]"
"[1742749845.8656278, 1742749845.8657541, 0.02210536241531372]","[1742749959.728237, 1742749959.7285085, 0.05111632037162781]","[1742750072.6200342, 1742750072.620227, 0.036718685626983646]","[1742750187.3384821, 1742750187.3386476, 0.03009431838989258]","[1742750302.6295323, 1742750302.6296957, 0.029767903089523314]"
"[1742749846.134492, 1742749846.1346114, 0.021764447450637818]","[1742749959.992664, 1742749959.992788, 0.023167333602905273]","[1742750072.8857405, 1742750072.8858716, 0.02371424436569214]","[1742750187.6090753, 1742750187.609241, 0.031083999872207644]","[1742750302.913115, 1742750302.9132664, 0.027310590744018554]"
"[1742749846.39932, 1742749846.3994932, 0.03051254725456238]","[1742749960.26095, 1742749960.2611086, 0.02993170976638794]","[1742750073.1559215, 1742750073.1560497, 0.023674901962280274]","[1742750187.881906, 1742750187.882075, 0.03075643563270569]","[1742750303.1997015, 1742750303.2000225, 0.055564205646514896]"
"[1742749846.6777766, 1742749846.6779518, 0.030642932653427126]","[1742749960.5299957, 1742749960.5301464, 0.02727754783630371]","[1742750073.423433, 1742750073.4235506, 0.022114866018295286]","[1742750188.1614053, 1742750188.161582, 0.032268617391586304]","[1742750303.4880397, 1742750303.4883175, 0.047965412139892576]"
"[1742749846.9436564, 1742749846.9438107, 0.027057726144790652]","[1742749960.7946453, 1742749960.7948756, 0.04228143167495727]","[1742750073.6913054, 1742750073.6914222, 0.021261351108551024]","[1742750188.4268045, 1742750188.4270456, 0.04430216431617736]","[1742750303.7768831, 1742750303.7770307, 0.025873918533325196]"
"[1742749847.2069564, 1742749847.2071347, 0.031170649528503416]","[1742749961.065274, 1742749961.0655098, 0.04418910884857178]","[1742750073.9638991, 1742750073.964004, 0.01917774200439453]","[1742750188.6947558, 1742750188.694852, 0.017556405093676723]","[1742750304.06298, 1742750304.0631123, 0.024045742750167846]"
"[1742749847.4775457, 1742749847.4776974, 0.026644103050231932]","[1742749961.330559, 1742749961.3308992, 0.06164029884338378]","[1742750074.2309117, 1742750074.2310956, 0.034217676401138306]","[1742750188.962516, 1742750188.9626482, 0.02401562547683716]","[1742750304.3300705, 1742750304.330186, 0.020944926261901857]"
"[1742749847.7522469, 1742749847.7524114, 0.028904364109039307]","[1742749961.595413, 1742749961.5955143, 0.018518686294555664]","[1742750074.4978912, 1742750074.4980295, 0.02499917507171631]","[1742750189.2285511, 1742750189.2286737, 0.02229463529586792]","[1742750304.6023943, 1742750304.6028917, 0.0896840386390686]"
"[1742749848.0184743, 1742749848.0186212, 0.025912715911865232]","[1742749961.8629932, 1742749961.8631358, 0.02669276237487793]","[1742750074.7625878, 1742750074.762834, 0.04491130876541138]","[1742750189.4953296, 1742750189.4954772, 0.026627615213394164]","[1742750304.8731596, 1742750304.8732882, 0.02343362045288086]"
"[1742749848.2844186, 1742749848.2845428, 0.02179296588897705]","[1742749962.1257114, 1742749962.1259801, 0.048517675876617435]","[1742750075.029089, 1742750075.0292413, 0.028627227544784545]","[1742750189.762276, 1742750189.7624485, 0.031116452217102047]","[1742750305.1390822, 1742750305.1393137, 0.04219423079490661]"
"[1742749848.5484731, 1742749848.5487814, 0.05416858077049255]","[1742749962.3890698, 1742749962.3892174, 0.027143263578414917]","[1742750075.2947755, 1742750075.294915, 0.025242022275924685]","[1742750190.0283597, 1742750190.0286303, 0.04932264804840088]","[1742750305.405288, 1742750305.4054735, 0.03374501991271973]"
"[1742749848.8128126, 1742749848.812975, 0.028711795091629026]","[1742749962.6555054, 1742749962.6556542, 0.028098495483398437]","[1742750075.5676, 1742750075.5677485, 0.027006741285324095]","[1742750190.296128, 1742750190.2965817, 0.08222006583213806]","[1742750305.6757212, 1742750305.6758604, 0.025275732040405275]"
"[1742749849.0827296, 1742749849.0828712, 0.024916168212890628]","[1742749962.9176762, 1742749962.9178152, 0.02517504549026489]","[1742750075.8330474, 1742750075.833196, 0.027798431634902955]","[1742750190.5646906, 1742750190.5648744, 0.03330941820144653]","[1742750305.9484198, 1742750305.948544, 0.022466465473175053]"
"[1742749849.354433, 1742749849.3545456, 0.019850921630859376]","[1742749963.187218, 1742749963.1874337, 0.039956068992614745]","[1742750076.111388, 1742750076.1115408, 0.027711077690124514]","[1742750190.836129, 1742750190.836247, 0.021478421688079834]","[1742750306.2176871, 1742750306.2178252, 0.025019435405731198]"
