epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1742749844.6515422, 1742749844.6652012, 0.648174204826355]","[1742749958.5384092, 1742749958.5406606, 0.38218413949012753]","[1742750071.4240031, 1742750071.4258049, 0.3166827349662781]","[1742750186.1047523, 1742750186.1068823, 0.33062563276290896]","[1742750301.3634815, 1742750301.3669832, 0.5101559233665466]"
"[1742749844.937481, 1742749844.9391935, 0.1892430899143219]","[1742749958.795861, 1742749958.7975283, 0.27976141476631167]","[1742750071.679848, 1742750071.6814876, 0.2773981385231018]","[1742750186.383003, 1742750186.3847563, 0.26586096954345706]","[1742750301.6380563, 1742750301.6399362, 0.26693697094917296]"
"[1742749845.195366, 1742749845.197426, 0.26947294259071347]","[1742749959.049073, 1742749959.0507662, 0.2768732624053955]","[1742750071.9408631, 1742750071.942513, 0.272523307800293]","[1742750186.6431594, 1742750186.6448305, 0.25279867911338805]","[1742750301.8966181, 1742750301.8987317, 0.31476289272308355]"
"[1742749845.4497995, 1742749845.4516146, 0.29785110330581666]","[1742749959.3071449, 1742749959.308852, 0.27033783912658693]","[1742750072.2008698, 1742750072.2025414, 0.2795604958534241]","[1742750186.9010806, 1742750186.903245, 0.3866592750549316]","[1742750302.1611693, 1742750302.1631048, 0.32192872524261473]"
"[1742749845.7098393, 1742749845.7115371, 0.30760014963150023]","[1742749959.5689626, 1742749959.5706637, 0.32133581519126886]","[1742750072.4621763, 1742750072.4638236, 0.3078350830078125]","[1742750187.174109, 1742750187.1758807, 0.3275851964950562]","[1742750302.4417126, 1742750302.445433, 0.6884012603759765]"
"[1742749845.9726918, 1742749845.974506, 0.3357023813724518]","[1742749959.8369207, 1742749959.8386173, 0.3043184366226196]","[1742750072.7291179, 1742750072.7306466, 0.28651490879058844]","[1742750187.4466362, 1742750187.4484375, 0.3346762919425964]","[1742750302.7383137, 1742750302.7403655, 0.37423127508163456]"
"[1742749846.2431102, 1742749846.245, 0.3415113859176636]","[1742749960.100539, 1742749960.1022384, 0.3112215442657471]","[1742750072.9946618, 1742750072.996358, 0.3161124587059021]","[1742750187.7179174, 1742750187.7195585, 0.3040509796142578]","[1742750303.022145, 1742750303.024356, 0.3962847912311554]"
"[1742749846.5066757, 1742749846.5083828, 0.31218341827392576]","[1742749960.369181, 1742749960.3708787, 0.3156764829158783]","[1742750073.2642794, 1742750073.2659159, 0.3056418800354004]","[1742750187.9903731, 1742750187.9922109, 0.33785203361511235]","[1742750303.308966, 1742750303.310843, 0.33021593880653377]"
"[1742749846.7848506, 1742749846.7869089, 0.3671270158290863]","[1742749960.6383836, 1742749960.6400673, 0.31014480257034305]","[1742750073.5326645, 1742750073.5343432, 0.31166337418556217]","[1742750188.269376, 1742750188.2711284, 0.32056049108505247]","[1742750303.5971475, 1742750303.5994904, 0.4111554024219513]"
"[1742749847.0510147, 1742749847.0527403, 0.3069438509941101]","[1742749960.9035006, 1742749960.905365, 0.34691510200500486]","[1742750073.800144, 1742750073.8021734, 0.37359573364257814]","[1742750188.5359182, 1742750188.5376437, 0.3168986155986786]","[1742750303.886198, 1742750303.8881166, 0.3375657930374146]"
