epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1742749844.2978442, 1742749844.3191023, 0.6641247947216034]","[1742749958.3547428, 1742749958.3672068, 2.2498601016998294]","[1742750071.2397282, 1742750071.2528393, 2.318726821899414]","[1742750185.9149005, 1742750185.9327526, 2.797668976306915]","[1742750301.1650927, 1742750301.192779, 4.0402692155838]"
"[1742749844.7592094, 1742749844.7700667, 0.5892063264846802]","[1742749958.6146584, 1742749958.6251569, 1.8049061965942381]","[1742750071.4985144, 1742750071.5091588, 1.87092991733551]","[1742750186.1917708, 1742750186.212549, 3.106213116645813]","[1742750301.4487076, 1742750301.467667, 2.7936217225935134]"
"[1742749845.0161684, 1742749845.027998, 1.3072079064846038]","[1742749958.8681135, 1742749958.879248, 1.876077245235443]","[1742750071.75282, 1742750071.7696364, 2.8511495633125308]","[1742750186.4608152, 1742750186.472716, 1.8393319759368896]","[1742750301.7129233, 1742750301.7264192, 1.974993238449097]"
"[1742749845.270015, 1742749845.2807715, 1.5555932054519652]","[1742749959.126532, 1742749959.1376922, 1.8248606786727903]","[1742750072.019184, 1742750072.030409, 1.7548243741989136]","[1742750186.7186773, 1742750186.730444, 1.8799612069129943]","[1742750301.973081, 1742750301.9901812, 2.6788154995441436]"
"[1742749845.5240233, 1742749845.5410478, 2.8526857728958137]","[1742749959.3793778, 1742749959.3983216, 3.284985206604004]","[1742750072.2753818, 1742750072.2932982, 3.2085299971103667]","[1742750186.983444, 1742750187.0043924, 3.7790842208862303]","[1742750302.2420805, 1742750302.271051, 5.174853598356248]"
"[1742749845.7914653, 1742749845.8056812, 2.5714940757751465]","[1742749959.6491988, 1742749959.6666064, 3.276695258378983]","[1742750072.5422492, 1742750072.5591638, 3.0774096035957337]","[1742750187.2577686, 1742750187.277762, 3.7088580822944643]","[1742750302.5322292, 1742750302.5650911, 6.075516948699951]"
"[1742749846.0539858, 1742749846.0724914, 3.3718820004463197]","[1742749959.9149282, 1742749959.932091, 3.231686557769775]","[1742750072.8073792, 1742750072.8242204, 3.1072221162319185]","[1742750187.5278556, 1742750187.5473146, 3.5614656944274903]","[1742750302.8233848, 1742750302.851395, 5.109495861053467]"
"[1742749846.3217306, 1742749846.338329, 2.9990103648923534]","[1742749960.181768, 1742749960.1995173, 3.30703360414505]","[1742750073.0760784, 1742750073.0953472, 3.570306899547577]","[1742750187.7977967, 1742750187.8207142, 4.169817859411241]","[1742750303.1080546, 1742750303.1367128, 5.228479157209397]"
"[1742749846.5965455, 1742749846.6164033, 3.581826012134552]","[1742749960.4496398, 1742749960.4695141, 3.597830870389938]","[1742750073.342581, 1742750073.3619561, 3.5225262296199795]","[1742750188.0784476, 1742750188.1006904, 4.082405439019204]","[1742750303.398941, 1742750303.4268916, 5.09188694357872]"
"[1742749846.8641045, 1742749846.883449, 3.450568017482757]","[1742749960.7168636, 1742749960.7338588, 3.137380345344544]","[1742750073.6113544, 1742750073.6290221, 3.2434480628967286]","[1742750188.348083, 1742750188.3654377, 3.169944976806641]","[1742750303.6848361, 1742750303.7144861, 5.405130762577056]"
"[1742749847.1305213, 1742749847.1471019, 2.925784704685211]","[1742749960.9863372, 1742749961.0033057, 3.0799843196868895]","[1742750073.8845844, 1742750073.902254, 3.250054504394532]","[1742750188.614998, 1742750188.6325932, 3.2039183397293094]","[1742750303.9732106, 1742750304.0022717, 5.2810083415508275]"
"[1742749847.3993003, 1742749847.416212, 3.030618540287018]","[1742749961.2531772, 1742749961.2701972, 3.085732997693367]","[1742750074.1515217, 1742750074.1687844, 3.1250660777091976]","[1742750188.8836224, 1742750188.9017334, 3.322164238214492]","[1742750304.2517915, 1742750304.2688973, 3.0368471505641934]"
"[1742749847.674241, 1742749847.6917365, 3.1207933468818663]","[1742749961.51797, 1742749961.5348644, 3.1133735418319697]","[1742750074.420422, 1742750074.437191, 3.0315378956794734]","[1742750189.1503408, 1742750189.1672838, 3.1032419471740718]","[1742750304.5248568, 1742750304.5419126, 3.108478641033172]"
"[1742749847.9406626, 1742749847.957335, 2.9439363237128227]","[1742749961.7841935, 1742749961.801214, 3.07209161901474]","[1742750074.6843584, 1742750074.7012472, 3.1082927770614623]","[1742750189.4157712, 1742750189.4328566, 3.0826519124507903]","[1742750304.7927785, 1742750304.8115153, 3.416700119018554]"
"[1742749848.2069194, 1742749848.2242918, 3.1030353152751924]","[1742749962.0506148, 1742749962.0636387, 2.3607100952863695]","[1742750074.9497893, 1742750074.9671104, 3.1320723533630375]","[1742750189.6838713, 1742750189.7015514, 3.2474061582088467]","[1742750305.0602047, 1742750305.0770292, 3.0726647098064417]"
"[1742749848.471566, 1742749848.4882648, 2.978605003356934]","[1742749962.3112364, 1742749962.3285902, 3.2001919467449182]","[1742750075.2170956, 1742750075.2343524, 3.1471450028419503]","[1742750189.9493384, 1742750189.9669263, 3.2545353975296023]","[1742750305.3273313, 1742750305.344483, 3.168225322008133]"
"[1742749848.7354543, 1742749848.7520523, 2.96117107963562]","[1742749962.5758755, 1742749962.5944815, 3.359694545030594]","[1742750075.48739, 1742750075.5057054, 3.3931319332122802]","[1742750190.2169232, 1742750190.2343152, 3.1517115828990936]","[1742750305.5945067, 1742750305.6134412, 3.4371965949535372]"
"[1742749849.0051658, 1742749849.021794, 3.008668453216553]","[1742749962.8393106, 1742749962.8563423, 3.142791704177857]","[1742750075.7538974, 1742750075.7722366, 3.3161414051055913]","[1742750190.4866486, 1742750190.503691, 3.1368408265113827]","[1742750305.8680456, 1742750305.8873281, 3.5139624807834626]"
"[1742749849.2726717, 1742749849.2931476, 3.7022000923156737]","[1742749963.1044602, 1742749963.1262262, 4.022085877418519]","[1742750076.0304081, 1742750076.0497448, 3.506207870483399]","[1742750190.757071, 1742750190.7750483, 3.3359461140632627]","[1742750306.1362646, 1742750306.1555011, 3.545260389328003]"
"[1742749849.5435817, 1742749849.560261, 2.9668391122817996]","[1742749963.3747745, 1742749963.392861, 3.274982843399048]","[1742750076.2972858, 1742750076.3140864, 3.0840266518592836]","[1742750191.0228603, 1742750191.039975, 3.098246034622192]","[1742750306.419727, 1742750306.4394028, 3.5923754105567935]"
"[1742749849.8109264, 1742749849.8253183, 2.57282541179657]","[1742749963.6377993, 1742749963.6543562, 3.071545006990433]","[1742750076.56127, 1742750076.5782034, 3.0690676765441895]","[1742750191.287316, 1742750191.3044574, 3.159942281365395]","[1742750306.6947439, 1742750306.7147348, 3.6180168590545656]"
"[1742749850.0776181, 1742749850.094509, 3.025575034618378]","[1742749963.9027054, 1742749963.9164026, 2.514905834197998]","[1742750076.8262658, 1742750076.843297, 3.0924509925982266]","[1742750191.551531, 1742750191.5686235, 3.1767716116905214]","[1742750306.9657316, 1742750306.9875193, 3.9462641000747687]"
"[1742749850.34688, 1742749850.363684, 2.984505900184206]","[1742749964.1637208, 1742749964.1816883, 3.258776648283005]","[1742750077.0947535, 1742750077.1131637, 3.402390141487122]","[1742750191.8175433, 1742750191.834622, 3.1009341583251953]","[1742750307.2423425, 1742750307.270709, 5.133242096424103]"
"[1742749850.6162121, 1742749850.6329446, 3.0148870806694026]","[1742749964.4279768, 1742749964.445175, 3.2106762390136714]","[1742750077.359818, 1742750077.377236, 3.1919709320068366]","[1742750192.0866017, 1742750192.105174, 3.4549694496393206]","[1742750307.5283477, 1742750307.5545952, 4.736729087829589]"
"[1742749850.8952715, 1742749850.9203775, 4.520803889751434]","[1742749964.6985846, 1742749964.7159448, 3.1752345662117003]","[1742750077.6248856, 1742750077.64182, 3.0913742481470106]","[1742750192.3546305, 1742750192.371546, 3.133150727033615]","[1742750307.8164775, 1742750307.8445826, 5.091870883226394]"
"[1742749851.18401, 1742749851.2142694, 5.335302000761032]","[1742749964.9664798, 1742749964.9849312, 3.3308930640220646]","[1742750077.895423, 1742750077.9140482, 3.4682281780242925]","[1742750192.6313682, 1742750192.6505058, 3.4608856434822086]","[1742750308.101565, 1742750308.129414, 5.065685457229614]"
"[1742749851.472606, 1742749851.501251, 5.010332347393036]","[1742749965.234352, 1742749965.2515438, 3.1687818400859835]","[1742750078.1615188, 1742750078.1798797, 3.357649223804475]","[1742750192.8995774, 1742750192.9169183, 3.1475248619318013]","[1742750308.3978803, 1742750308.4245539, 4.828740402936936]"
"[1742749851.7601604, 1742749851.7885468, 4.982656795978547]","[1742749965.5041373, 1742749965.523769, 3.5728378186225886]","[1742750078.4277356, 1742750078.4447849, 3.1298333728313446]","[1742750193.1658716, 1742750193.1838126, 3.2896255254745483]","[1742750308.6890092, 1742750308.7130787, 4.368550690412522]"
"[1742749852.0467439, 1742749852.0729809, 4.582258371591568]","[1742749965.7748706, 1742749965.7924879, 3.1811952867507935]","[1742750078.6989079, 1742750078.717368, 3.4274562985897066]","[1742750193.4363954, 1742750193.4535327, 3.1162446403503417]","[1742750308.9731016, 1742750309.0048766, 5.723053022503853]"
"[1742749852.3293495, 1742749852.353358, 4.070265058994293]","[1742749966.0427456, 1742749966.0602171, 3.2168371522426615]","[1742750078.9657679, 1742750078.9863076, 3.7575438022613525]","[1742750193.7046547, 1742750193.7249925, 3.689955108165741]","[1742750309.2643218, 1742750309.2934322, 5.197875005245209]"
"[1742749852.616562, 1742749852.6443624, 4.767684837341309]","[1742749966.311787, 1742749966.3291829, 3.1786096200942993]","[1742750079.2346268, 1742750079.2524178, 3.237807848691941]","[1742750193.9741192, 1742750193.9916933, 3.24851446557045]","[1742750309.5529933, 1742750309.582756, 5.33038856124878]"
"[1742749852.9020665, 1742749852.9332423, 5.389494207859039]","[1742749966.578756, 1742749966.5960832, 3.131677347421646]","[1742750079.5102384, 1742750079.5307236, 3.8066758503913882]","[1742750194.2459059, 1742750194.2628183, 3.0960118999481203]","[1742750309.8380892, 1742750309.859044, 3.7858074939250947]"
"[1742749853.1977394, 1742749853.226299, 4.966671977043151]","[1742749966.844896, 1742749966.8619618, 3.145477849245072]","[1742750079.7812033, 1742750079.8000228, 3.45600711464882]","[1742750194.5192914, 1742750194.5405223, 3.839975710630416]","[1742750310.118644, 1742750310.1478398, 5.346157070159912]"
"[1742749853.4870617, 1742749853.5146186, 4.831440384864806]","[1742749967.11081, 1742749967.1283245, 3.1997180199623108]","[1742750080.0606596, 1742750080.0833626, 4.1285055463314055]","[1742750194.8103368, 1742750194.8371239, 4.870795107364654]","[1742750310.4082205, 1742750310.4374268, 5.327984094619751]"
"[1742749853.7735183, 1742749853.8005507, 4.767213455200196]","[1742749967.378095, 1742749967.3957472, 3.1905601155757903]","[1742750080.3356116, 1742750080.3562481, 3.7595682334899907]","[1742750195.0906103, 1742750195.1170313, 4.78985770392418]","[1742750310.6976933, 1742750310.7247927, 4.940784412145614]"
"[1742749854.0590713, 1742749854.0867052, 4.8890181791782386]","[1742749967.6442008, 1742749967.6612687, 3.150514163017273]","[1742750080.6079147, 1742750080.6323147, 4.434479637384415]","[1742750195.3674185, 1742750195.3881264, 3.752158099412918]","[1742750310.9908679, 1742750311.0175607, 4.879936610221863]"
"[1742749854.3473618, 1742749854.3751347, 4.868020189285279]","[1742749967.9097505, 1742749967.9273865, 3.235088433265686]","[1742750080.890186, 1742750080.9178789, 5.0474549369812]","[1742750195.643156, 1742750195.661055, 3.2781369218826293]","[1742750311.2811596, 1742750311.3127038, 5.72322243976593]"
