epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1742747443.6776333, 1742747443.790876, 4.870009756684302]","[1742747562.383913, 1742747562.4899583, 21.154634503364562]","[1742747681.524082, 1742747681.6305642, 18.86379691809525]","[1742747799.931207, 1742747800.0372944, 20.50083697664739]","[1742747918.373482, 1742747918.4803994, 20.67034342956543]"
"[1742747443.9591236, 1742747444.06362, 7.041746509909628]","[1742747562.6229658, 1742747562.7282133, 20.446222467899336]","[1742747681.7727196, 1742747681.8787723, 18.566275067687034]","[1742747800.1722832, 1742747800.277414, 19.526425962567334]","[1742747918.6132703, 1742747918.7190366, 19.80133762371539]"
"[1742747444.2006996, 1742747444.3039286, 12.036048303604128]","[1742747562.8631957, 1742747562.9687545, 19.44766098213196]","[1742747682.0196397, 1742747682.125794, 17.58618223965168]","[1742747800.4092188, 1742747800.514196, 18.730643338203432]","[1742747918.8515804, 1742747918.9581335, 19.197948306083685]"
"[1742747444.4398913, 1742747444.542817, 14.801431419014925]","[1742747563.1022856, 1742747563.2074268, 18.896229297757145]","[1742747682.2662103, 1742747682.3717854, 17.40443792867661]","[1742747800.647619, 1742747800.7527244, 18.444730792403224]","[1742747919.0910347, 1742747919.1967146, 18.464361229777342]"
"[1742747444.6868446, 1742747444.790544, 17.815841779470436]","[1742747563.3424904, 1742747563.4482193, 19.370571991920475]","[1742747682.5146682, 1742747682.6207802, 19.04125672650337]","[1742747800.8868318, 1742747800.992328, 18.298620378255848]","[1742747919.331159, 1742747919.4367316, 19.554919023990625]"
"[1742747444.9289184, 1742747445.0326204, 18.600218187332157]","[1742747563.5818274, 1742747563.6871355, 19.79613162648678]","[1742747682.7621238, 1742747682.867587, 19.67360664606094]","[1742747801.1272206, 1742747801.23255, 19.877332246541968]","[1742747919.5719626, 1742747919.677768, 19.934116048216808]"
"[1742747445.1674411, 1742747445.2703557, 19.218943405509]","[1742747563.8209152, 1742747563.9264991, 19.870126118659975]","[1742747683.0087903, 1742747683.1151555, 19.54992786383629]","[1742747801.3668106, 1742747801.4726133, 20.28765468335151]","[1742747919.8103762, 1742747919.9155123, 19.824228568553924]"
"[1742747445.4026477, 1742747445.5063143, 19.266831848859784]","[1742747564.0593107, 1742747564.1646802, 19.647833296298977]","[1742747683.254344, 1742747683.3597655, 19.611132851600647]","[1742747801.60707, 1742747801.71235, 19.771132634401322]","[1742747920.0483072, 1742747920.153991, 19.909092204093934]"
"[1742747445.6408322, 1742747445.744121, 19.2944601483345]","[1742747564.2993827, 1742747564.4050136, 19.822671012163163]","[1742747683.5043197, 1742747683.6105835, 19.695511099457743]","[1742747801.84771, 1742747801.952595, 19.895149229288105]","[1742747920.2876434, 1742747920.393426, 19.926823865652093]"
"[1742747445.8795478, 1742747445.982834, 19.67865629136562]","[1742747564.5458567, 1742747564.6509447, 19.480667264699935]","[1742747683.7616954, 1742747683.8674855, 19.629623458027833]","[1742747802.087264, 1742747802.192462, 19.809185722351078]","[1742747920.5284111, 1742747920.633941, 19.887036769866942]"
"[1742747446.1216497, 1742747446.2249868, 19.34355750644207]","[1742747564.7841997, 1742747564.8889022, 19.676034904956822]","[1742747684.004721, 1742747684.1101382, 19.446279294013983]","[1742747802.325999, 1742747802.4317243, 19.888596022129054]","[1742747920.7686403, 1742747920.874549, 19.924454348087313]"
"[1742747446.365518, 1742747446.46958, 19.507482896089552]","[1742747565.021718, 1742747565.1266918, 19.7753122599125]","[1742747684.2445955, 1742747684.350323, 19.492148092985158]","[1742747802.567324, 1742747802.6726758, 20.01783181500435]","[1742747921.008897, 1742747921.115072, 19.920139409899715]"
"[1742747446.6099021, 1742747446.713667, 19.40699121499061]","[1742747565.2631705, 1742747565.3686697, 19.671256890296938]","[1742747684.484629, 1742747684.589809, 19.612856944799425]","[1742747802.8075876, 1742747802.9128735, 19.76959391522407]","[1742747921.2519965, 1742747921.3574333, 19.72484713578224]"
"[1742747446.8571024, 1742747446.9619095, 19.307627359628675]","[1742747565.502465, 1742747565.6077886, 19.871783486127857]","[1742747684.7252746, 1742747684.831143, 19.341258000493056]","[1742747803.0487695, 1742747803.1543734, 20.097535271406176]","[1742747921.490679, 1742747921.5956266, 19.66672164404392]"
"[1742747447.0999064, 1742747447.2035778, 19.18801879549026]","[1742747565.7479537, 1742747565.8525088, 19.411646067261692]","[1742747684.9691782, 1742747685.0738158, 19.768040263652807]","[1742747803.2869534, 1742747803.392092, 20.28466585612297]","[1742747921.7293882, 1742747921.8346617, 19.77741784548759]"
"[1742747447.3442535, 1742747447.4480023, 19.108180551645454]","[1742747565.9845676, 1742747566.0896337, 19.77537793958187]","[1742747685.2078297, 1742747685.3127222, 19.836561434507377]","[1742747803.5292225, 1742747803.6339154, 19.653056554794315]","[1742747921.9705539, 1742747922.0769982, 19.9961520383358]"
"[1742747447.5910869, 1742747447.6947074, 19.08778295195101]","[1742747566.2225978, 1742747566.3277292, 19.841938719034193]","[1742747685.447507, 1742747685.5521162, 19.78421642804146]","[1742747803.767061, 1742747803.8721254, 19.885167396187793]","[1742747922.210738, 1742747922.316079, 19.742365110586636]"
