epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1742747443.4636464, 1742747443.6704404, 6.1672841584682425]","[1742747562.3253496, 1742747562.3837218, 11.727829590082168]","[1742747681.4636014, 1742747681.5238295, 11.314874221086502]","[1742747799.871943, 1742747799.9310102, 12.078039054393768]","[1742747918.3132942, 1742747918.3732474, 11.640036159515379]"
"[1742747443.900481, 1742747443.958973, 3.620472056150436]","[1742747562.564107, 1742747562.6228478, 11.609542436599732]","[1742747681.7131934, 1742747681.7724142, 10.528746462821962]","[1742747800.1138237, 1742747800.172149, 11.101206745147708]","[1742747918.5546067, 1742747918.613144, 11.27869826519489]"
"[1742747444.142902, 1742747444.2005603, 6.724357196807862]","[1742747562.803688, 1742747562.8630848, 11.20689702796936]","[1742747681.959351, 1742747682.0194938, 10.558481728792188]","[1742747800.3504996, 1742747800.4091005, 10.71986310482025]","[1742747918.792162, 1742747918.851442, 10.728126432776456]"
"[1742747444.3822763, 1742747444.4397519, 7.721041722416878]","[1742747563.0428643, 1742747563.1021717, 10.718674288511277]","[1742747682.2075458, 1742747682.2660584, 9.64812742304802]","[1742747800.587501, 1742747800.6473823, 10.61148153603077]","[1742747919.0312693, 1742747919.090857, 10.526587332010271]"
"[1742747444.6285605, 1742747444.6866739, 9.785379244208338]","[1742747563.2829971, 1742747563.3423762, 10.5755185713768]","[1742747682.455514, 1742747682.5145264, 10.525512999534605]","[1742747800.82689, 1742747800.8866878, 10.234327480792999]","[1742747919.2720833, 1742747919.3310485, 10.571251022338869]"
"[1742747444.8709736, 1742747444.9287915, 10.682268391132357]","[1742747563.5221386, 1742747563.5816429, 11.268115719795228]","[1742747682.7017398, 1742747682.7618735, 11.406339623451231]","[1742747801.0672424, 1742747801.1270883, 11.357431615471839]","[1742747919.5133774, 1742747919.5718546, 10.97458467078209]"
"[1742747445.109389, 1742747445.1672657, 10.817627372264862]","[1742747563.760872, 1742747563.8206632, 11.493028992891313]","[1742747682.9498875, 1742747683.0085664, 11.188944739580155]","[1742747801.3066967, 1742747801.3666596, 11.629019072294229]","[1742747919.7510378, 1742747919.8102608, 11.410304248809817]"
"[1742747445.3450418, 1742747445.4024906, 11.113999777317048]","[1742747563.9995036, 1742747564.0592077, 11.497047065615657]","[1742747683.1949534, 1742747683.25416, 11.3057635627985]","[1742747801.5469575, 1742747801.6069245, 11.61609558105469]","[1742747919.9884048, 1742747920.0481505, 11.288051268100736]"
"[1742747445.5830941, 1742747445.640574, 10.851908416509628]","[1742747564.239434, 1742747564.2992327, 11.279159512022911]","[1742747683.4438236, 1742747683.5041604, 11.527532044172288]","[1742747801.7881246, 1742747801.8475509, 11.230989590167999]","[1742747920.2276578, 1742747920.2874935, 11.33682550287247]"
"[1742747445.8219159, 1742747445.8793974, 11.057731502532956]","[1742747564.487434, 1742747564.5457377, 11.310946746826176]","[1742747683.7000434, 1742747683.7614634, 11.649264945030211]","[1742747802.0273752, 1742747802.0870886, 11.683277877807615]","[1742747920.468419, 1742747920.5282838, 11.54339556884766]"
"[1742747446.0637984, 1742747446.1214714, 11.110295394420625]","[1742747564.7255352, 1742747564.784015, 11.051901631236076]","[1742747683.9450066, 1742747684.0044816, 11.302559085845948]","[1742747802.2659404, 1742747802.325854, 11.417790678858756]","[1742747920.7085843, 1742747920.7685199, 11.237195340156555]"
"[1742747446.3071501, 1742747446.3652937, 11.005872744083407]","[1742747564.9623275, 1742747565.0216086, 11.392584585428237]","[1742747684.1851819, 1742747684.2444472, 11.326950856566427]","[1742747802.50769, 1742747802.5671985, 11.42076577806473]","[1742747920.9487557, 1742747921.008724, 11.505565172433853]"
"[1742747446.5512931, 1742747446.6096802, 10.714956233024594]","[1742747565.2041843, 1742747565.263004, 11.383849700927735]","[1742747684.425317, 1742747684.4845204, 11.190675723314284]","[1742747802.747821, 1742747802.8073118, 11.498596727371215]","[1742747921.1931689, 1742747921.2518833, 11.00248090147972]"
"[1742747446.797954, 1742747446.8569117, 11.002394593000414]","[1742747565.4426591, 1742747565.5022042, 11.302038472652436]","[1742747684.6663384, 1742747684.7250662, 11.31278352308273]","[1742747802.9898605, 1742747803.048597, 11.128617122650146]","[1742747921.4316814, 1742747921.4905398, 11.100281217098235]"
"[1742747447.0418468, 1742747447.0996234, 10.44869447636604]","[1742747565.6891706, 1742747565.7476873, 11.503418106364057]","[1742747684.9107265, 1742747684.9690485, 11.125218332290652]","[1742747803.227421, 1742747803.2868083, 11.626411682128904]","[1742747921.6695445, 1742747921.729285, 11.485394973754884]"
"[1742747447.2861967, 1742747447.344043, 10.724474072456362]","[1742747565.9259644, 1742747565.9843516, 11.087237395286555]","[1742747685.1491072, 1742747685.20763, 11.45090286540985]","[1742747803.4705098, 1742747803.5290563, 11.043786224842073]","[1742747921.9111624, 1742747921.9704323, 11.086741672451069]"
