epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1742747443.6704416, 1742747443.6776323, 0.284866943359375]","[1742747562.3837235, 1742747562.3839126, 0.037577988624572754]","[1742747681.5238318, 1742747681.5240812, 0.04685136842727661]","[1742747799.9310122, 1742747799.9312062, 0.03756626892089844]","[1742747918.3732493, 1742747918.3734815, 0.04508591842651367]"
"[1742747443.9589744, 1742747443.9591227, 0.00970881414413452]","[1742747562.6228487, 1742747562.6229653, 0.023042192459106443]","[1742747681.7724173, 1742747681.772719, 0.05323894739151001]","[1742747800.1721501, 1742747800.1722827, 0.025210267066955568]","[1742747918.6131496, 1742747918.6132698, 0.02246747016906738]"
"[1742747444.2005618, 1742747444.200699, 0.016015869140625]","[1742747562.863086, 1742747562.8631952, 0.020077705860137938]","[1742747682.0194955, 1742747682.019639, 0.02519734239578247]","[1742747800.4091015, 1742747800.409218, 0.021327202320098878]","[1742747918.8514433, 1742747918.85158, 0.02444937014579773]"
"[1742747444.4397533, 1742747444.4398906, 0.01964286804199219]","[1742747563.1021729, 1742747563.1022851, 0.020295214891433714]","[1742747682.2660604, 1742747682.2662096, 0.02440491724014282]","[1742747800.6473844, 1742747800.647618, 0.04143739700317383]","[1742747919.0908582, 1742747919.091034, 0.031041195154190064]"
"[1742747444.6866755, 1742747444.6868439, 0.02857072877883911]","[1742747563.3423774, 1742747563.34249, 0.02046996879577637]","[1742747682.5145278, 1742747682.5146677, 0.024961926221847532]","[1742747800.8866894, 1742747800.886831, 0.02423823022842407]","[1742747919.3310494, 1742747919.3311586, 0.01983714771270752]"
"[1742747444.9287932, 1742747444.9289174, 0.022949790239334106]","[1742747563.581648, 1742747563.5818245, 0.03309469223022461]","[1742747682.7618756, 1742747682.7621233, 0.0459861660003662]","[1742747801.1270938, 1742747801.1272182, 0.02350422763824463]","[1742747919.5718555, 1742747919.571962, 0.02000089430809021]"
"[1742747445.167267, 1742747445.1674404, 0.03273065519332886]","[1742747563.8206651, 1742747563.8209147, 0.047982524156570436]","[1742747683.0085678, 1742747683.0087895, 0.04227956056594849]","[1742747801.366661, 1742747801.36681, 0.029248744249343872]","[1742747919.8102617, 1742747919.8103757, 0.02139994716644287]"
"[1742747445.402492, 1742747445.4026473, 0.030026867151260378]","[1742747564.0592089, 1742747564.0593104, 0.018782861709594725]","[1742747683.2541618, 1742747683.2543435, 0.03359969329833984]","[1742747801.6069257, 1742747801.6070693, 0.027802518844604492]","[1742747920.0481522, 1742747920.0483062, 0.02856209659576416]"
"[1742747445.640577, 1742747445.6408315, 0.047545472621917724]","[1742747564.2992344, 1742747564.299382, 0.027830253601074217]","[1742747683.5041625, 1742747683.504319, 0.029881183624267577]","[1742747801.8475528, 1742747801.8477092, 0.029872268676757813]","[1742747920.2874954, 1742747920.287642, 0.027780911922454837]"
"[1742747445.879399, 1742747445.879547, 0.028897504091262818]","[1742747564.545739, 1742747564.5458562, 0.021646782875061034]","[1742747683.7614653, 1742747683.7616942, 0.042188186645507816]","[1742747802.0870898, 1742747802.0872636, 0.03400641059875489]","[1742747920.5282853, 1742747920.5284107, 0.023407184600830078]"
"[1742747446.1214733, 1742747446.1216488, 0.033804237365722654]","[1742747564.7840161, 1742747564.7841992, 0.03429949951171875]","[1742747684.004484, 1742747684.0047204, 0.04494635772705078]","[1742747802.3258584, 1742747802.3259985, 0.02638406181335449]","[1742747920.768521, 1742747920.7686396, 0.022200805187225343]"
"[1742747446.3652966, 1742747446.3655171, 0.04078460335731506]","[1742747565.0216098, 1742747565.0217175, 0.020710207939147948]","[1742747684.2444491, 1742747684.244595, 0.02679224681854248]","[1742747802.5671995, 1742747802.5673232, 0.023995142698287963]","[1742747921.0087256, 1742747921.0088964, 0.032752150535583495]"
"[1742747446.6096845, 1742747446.6099007, 0.03968453693389892]","[1742747565.2630057, 1742747565.26317, 0.030390845537185667]","[1742747684.4845216, 1742747684.4846284, 0.02017039489746094]","[1742747802.807314, 1742747802.807587, 0.052764458656311033]","[1742747921.2518842, 1742747921.2519958, 0.020543197631835937]"
"[1742747446.8569145, 1742747446.8571012, 0.03415249228477478]","[1742747565.5022063, 1742747565.502457, 0.04752385783195496]","[1742747684.7250674, 1742747684.725274, 0.03981854367256164]","[1742747803.0485983, 1742747803.0487685, 0.03262627744674682]","[1742747921.490541, 1742747921.4906783, 0.025899307250976562]"
