epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1742747443.7908773, 1742747443.8056548, 0.6842389686107635]","[1742747562.48996, 1742747562.4919384, 0.3960474557876587]","[1742747681.6305828, 1742747681.6326187, 0.36219895401186863]","[1742747800.0372953, 1742747800.0391028, 0.346233553647995]","[1742747918.4804008, 1742747918.4824572, 0.396914541721344]"
"[1742747444.0636232, 1742747444.0653737, 0.12655892372131347]","[1742747562.7282143, 1742747562.7297015, 0.2882211141586304]","[1742747681.878774, 1742747681.8805158, 0.3019333176612854]","[1742747800.2774148, 1742747800.2791257, 0.3114883689880371]","[1742747918.7190428, 1742747918.7205799, 0.2900294151306152]"
"[1742747444.3039298, 1742747444.305537, 0.18736821699142456]","[1742747562.9687552, 1742747562.9702253, 0.27215903902053834]","[1742747682.1257958, 1742747682.1277761, 0.32574032306671147]","[1742747800.514197, 1742747800.51571, 0.26905150318145754]","[1742747918.9581358, 1742747918.9597547, 0.29364864349365233]"
"[1742747444.5428188, 1742747444.544456, 0.25456484842300414]","[1742747563.207428, 1742747563.2089736, 0.27696818590164185]","[1742747682.371787, 1742747682.3734107, 0.27116740465164185]","[1742747800.7527268, 1742747800.754454, 0.29591685009002683]","[1742747919.1967156, 1742747919.198206, 0.2599565806388855]"
"[1742747444.7905455, 1742747444.7921524, 0.27898427963256833]","[1742747563.4482207, 1742747563.4497213, 0.2918199520111084]","[1742747682.6207833, 1742747682.6227133, 0.3467879021167755]","[1742747800.9923298, 1742747800.9938912, 0.2725179591178894]","[1742747919.4367332, 1742747919.4382463, 0.29411290645599364]"
"[1742747445.0326233, 1742747445.034512, 0.33801294374465946]","[1742747563.687144, 1742747563.688998, 0.3494330062866211]","[1742747682.8675897, 1742747682.8695529, 0.3699986176490784]","[1742747801.2325563, 1742747801.2342765, 0.3225029504299164]","[1742747919.6777692, 1742747919.6794255, 0.3126619062423706]"
"[1742747445.2703571, 1742747445.2719407, 0.28914676237106324]","[1742747563.9265, 1742747563.9280844, 0.2967314529418945]","[1742747683.115158, 1742747683.1168938, 0.3154004096984864]","[1742747801.4726164, 1742747801.4747345, 0.3954025430679321]","[1742747919.9155135, 1742747919.917139, 0.31984408283233645]"
"[1742747445.506316, 1742747445.5079045, 0.2893429176807404]","[1742747564.1646824, 1742747564.1665578, 0.35912982702255253]","[1742747683.3597682, 1742747683.361608, 0.3485737407207489]","[1742747801.7123516, 1742747801.7141747, 0.3405767776966095]","[1742747920.1539924, 1742747920.1555786, 0.3045787224769592]"
"[1742747445.7441235, 1742747445.7458882, 0.3262608880996704]","[1742747564.4050155, 1742747564.406695, 0.31419437885284424]","[1742747683.6105857, 1742747683.6123812, 0.32842045068740844]","[1742747801.9525962, 1742747801.9541447, 0.2882895827293396]","[1742747920.3934276, 1742747920.3950906, 0.3128112316131592]"
"[1742747445.9828362, 1742747445.9845405, 0.31413472747802734]","[1742747564.6509464, 1742747564.652573, 0.3148340640068054]","[1742747683.8674881, 1742747683.8694823, 0.37570662117004394]","[1742747802.192463, 1742747802.1940713, 0.2961977386474609]","[1742747920.6339426, 1742747920.6356053, 0.3229323225021362]"
"[1742747446.22499, 1742747446.2267406, 0.32574366378784175]","[1742747564.888903, 1742747564.8905017, 0.3015994362831116]","[1742747684.1101391, 1742747684.111667, 0.2782694606781006]","[1742747802.4317253, 1742747802.4332287, 0.28075753211975096]","[1742747920.8745503, 1742747920.8762012, 0.3113824310302734]"
"[1742747446.4695828, 1742747446.4716847, 0.4092101516723633]","[1742747565.126693, 1742747565.1282618, 0.2940704822540283]","[1742747684.3503244, 1742747684.3519073, 0.30035577893257137]","[1742747802.6726773, 1742747802.6746552, 0.3662317657470703]","[1742747921.1150749, 1742747921.1171935, 0.4149656138420105]"
"[1742747446.7136695, 1742747446.7154775, 0.3411216790676117]","[1742747565.368671, 1742747565.370237, 0.3005874931812287]","[1742747684.58981, 1742747684.5912566, 0.2661234216690064]","[1742747802.9128752, 1742747802.9145706, 0.3165047252178192]","[1742747921.3574352, 1742747921.3591008, 0.3180048551559448]"
"[1742747446.961912, 1742747446.9636157, 0.3261518998146057]","[1742747565.607797, 1742747565.6094294, 0.306781809091568]","[1742747684.8311443, 1742747684.8327715, 0.2975201189517975]","[1742747803.1543744, 1742747803.155892, 0.2827940261363983]","[1742747921.595628, 1742747921.5973256, 0.3176233673095703]"
"[1742747447.2035806, 1742747447.205361, 0.3373365311622619]","[1742747565.8525102, 1742747565.8541732, 0.32232508063316345]","[1742747685.0738173, 1742747685.0755386, 0.3227316093444824]","[1742747803.3920932, 1742747803.3938022, 0.326677490234375]","[1742747921.8346627, 1742747921.8364546, 0.3474419689178466]"
"[1742747447.4480035, 1742747447.4496312, 0.3066495232587923]","[1742747566.0896347, 1742747566.0912492, 0.30493426513671873]","[1742747685.3127234, 1742747685.3144562, 0.3229225654602051]","[1742747803.6339161, 1742747803.6355035, 0.30963805627822877]","[1742747922.0769997, 1742747922.078644, 0.30979657316207887]"
"[1742747447.6947098, 1742747447.6963568, 0.31371641731262206]","[1742747566.3277307, 1742747566.3293028, 0.29480778551101683]","[1742747685.5521178, 1742747685.5536952, 0.3002679691314697]","[1742747803.8721302, 1742747803.87393, 0.34890086579322815]","[1742747922.3160808, 1742747922.318174, 0.40964493400350216]"
"[1742747447.946951, 1742747447.948852, 0.3560618670386214]","[1742747566.5675547, 1742747566.5692077, 0.3170039033889771]","[1742747685.790938, 1742747685.7924008, 0.27625652122497557]","[1742747804.1110783, 1742747804.1126485, 0.29621662044525143]","[1742747922.5577788, 1742747922.559299, 0.290672233581543]"
"[1742747448.1981032, 1742747448.200038, 0.3683080065250397]","[1742747566.8074143, 1742747566.8090768, 0.313019122838974]","[1742747686.02932, 1742747686.0308506, 0.28640859603881835]","[1742747804.3500793, 1742747804.351559, 0.290628080368042]","[1742747922.7955604, 1742747922.7975242, 0.368075305223465]"
"[1742747448.4428823, 1742747448.4448595, 0.3662476193904877]","[1742747567.046652, 1742747567.048124, 0.2761010178507377]","[1742747686.2675889, 1742747686.269422, 0.3468506920337677]","[1742747804.5938604, 1742747804.595375, 0.2898660459518433]","[1742747923.038106, 1742747923.0398736, 0.34253414487838746]"
"[1742747448.6870103, 1742747448.6886184, 0.306772335767746]","[1742747567.287648, 1742747567.2896264, 0.3725065054893494]","[1742747686.509227, 1742747686.510681, 0.2719432368278503]","[1742747804.8324728, 1742747804.8339827, 0.283849908052036]","[1742747923.280546, 1742747923.2829201, 0.4482365908622742]"
"[1742747448.9312513, 1742747448.9332132, 0.3656989774703979]","[1742747567.5270624, 1742747567.5285501, 0.2780258560180664]","[1742747686.7492342, 1742747686.750742, 0.2842276668548584]","[1742747805.0720422, 1742747805.0735626, 0.2951391315460205]","[1742747923.520629, 1742747923.5221207, 0.29398160433769227]"
"[1742747449.1756496, 1742747449.1776488, 0.3855920827388763]","[1742747567.7675586, 1742747567.7690828, 0.29100521707534793]","[1742747686.9887059, 1742747686.9904149, 0.31976123046875]","[1742747805.312656, 1742747805.3141348, 0.27910589504241945]","[1742747923.757606, 1742747923.7591124, 0.2897754421234131]"
"[1742747449.4225826, 1742747449.4247715, 0.40943766832351686]","[1742747568.009095, 1742747568.0107527, 0.30997456645965576]","[1742747687.2285068, 1742747687.2301133, 0.29606174755096437]","[1742747805.5548272, 1742747805.5565343, 0.3361798000335693]","[1742747923.9965732, 1742747923.9983516, 0.3361908566951751]"
"[1742747449.668014, 1742747449.669915, 0.3652525086402893]","[1742747568.2482595, 1742747568.2500467, 0.3314961338043213]","[1742747687.468701, 1742747687.4703562, 0.30911491727828977]","[1742747805.7936041, 1742747805.7951417, 0.29475974893569945]","[1742747924.2350864, 1742747924.236564, 0.28890494894981383]"
"[1742747449.9137537, 1742747449.9154036, 0.31068284034729005]","[1742747568.4886346, 1742747568.4927003, 0.7678782570362092]","[1742747687.709722, 1742747687.7112544, 0.28397650122642515]","[1742747806.0321608, 1742747806.0343144, 0.4079276004057643]","[1742747924.4761236, 1742747924.4776115, 0.2818930072784424]"
"[1742747450.1603754, 1742747450.1620538, 0.31744338989257814]","[1742747568.7301967, 1742747568.7317867, 0.29753127694129944]","[1742747687.9500282, 1742747687.9517622, 0.3257191117276693]","[1742747806.2750866, 1742747806.276884, 0.3500887320041656]","[1742747924.717599, 1742747924.7191122, 0.2843383073806763]"
"[1742747450.405893, 1742747450.4078882, 0.3768060340881348]","[1742747568.969613, 1742747568.971235, 0.3118302261829376]","[1742747688.1898115, 1742747688.1914828, 0.3124087429046631]","[1742747806.513619, 1742747806.5152748, 0.3133981454372406]","[1742747924.9549284, 1742747924.956685, 0.3375753936767578]"
"[1742747450.652783, 1742747450.6544473, 0.3156984179019928]","[1742747569.2077358, 1742747569.2096975, 0.37049995613098147]","[1742747688.4329255, 1742747688.4344025, 0.273645840883255]","[1742747806.7531388, 1742747806.754846, 0.33623187446594244]","[1742747925.1967854, 1742747925.1984708, 0.31708251309394836]"
"[1742747450.9018748, 1742747450.9035723, 0.321590518951416]","[1742747569.4487274, 1742747569.450301, 0.2937007427215576]","[1742747688.6711302, 1742747688.672788, 0.31232190418243405]","[1742747806.9909127, 1742747806.992432, 0.29164466047286985]","[1742747925.4389155, 1742747925.4404604, 0.2998150062561035]"
"[1742747451.146113, 1742747451.1479654, 0.34127538442611693]","[1742747569.6891792, 1742747569.6908288, 0.3136287016868592]","[1742747688.9101894, 1742747688.9119382, 0.32698368072509765]","[1742747807.2292755, 1742747807.2307682, 0.2809020802974701]","[1742747925.676863, 1742747925.6785011, 0.3102472319602966]"
"[1742747451.3928635, 1742747451.3949015, 0.388993444442749]","[1742747569.9262285, 1742747569.9279003, 0.3159618263244629]","[1742747689.1518955, 1742747689.1534228, 0.28989860057830813]","[1742747807.468242, 1742747807.4700499, 0.3513961343765259]","[1742747925.9153655, 1742747925.9170053, 0.3082773628234863]"
"[1742747451.6404774, 1742747451.6422415, 0.32637738823890683]","[1742747570.1682193, 1742747570.1697712, 0.29888328647613527]","[1742747689.3920014, 1742747689.3934684, 0.27572361373901366]","[1742747807.708451, 1742747807.710147, 0.3204959435462951]","[1742747926.155156, 1742747926.157012, 0.3568571698665619]"
