epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
"[1742747443.4590633, 1742747443.4636452, 0.12152648305892944]","[1742747562.3200927, 1742747562.3253484, 1.1121164531707763]","[1742747681.4562926, 1742747681.4636002, 1.3728436350822448]","[1742747799.866121, 1742747799.8719416, 1.2038450155258178]","[1742747918.3086927, 1742747918.3132932, 0.8932011108398437]"
"[1742747443.8947864, 1742747443.90048, 0.336171599149704]","[1742747562.5595772, 1742747562.5641062, 0.8951114273071288]","[1742747681.7056935, 1742747681.713192, 1.355699299812317]","[1742747800.108306, 1742747800.1138227, 1.0567864658832549]","[1742747918.5494044, 1742747918.5546036, 1.0074374141693117]"
"[1742747444.1359673, 1742747444.1429007, 0.8086067543029785]","[1742747562.7984843, 1742747562.803687, 1.0024125380516051]","[1742747681.9518294, 1742747681.9593494, 1.3201816885471342]","[1742747800.3447156, 1742747800.350499, 1.0579426312446594]","[1742747918.786698, 1742747918.792161, 1.0307808265686034]"
"[1742747444.3753717, 1742747444.3822753, 0.9204082088470459]","[1742747563.0374017, 1742747563.0428636, 0.987158077554021]","[1742747682.200087, 1742747682.2075443, 1.243855439186096]","[1742747800.5814736, 1742747800.5875003, 1.0673545918464662]","[1742747919.0260217, 1742747919.0312686, 0.9268976686000825]"
"[1742747444.6215985, 1742747444.628559, 1.082280580997467]","[1742747563.2782815, 1742747563.2829962, 0.8386509954929351]","[1742747682.4477167, 1742747682.4555125, 1.3904685921669007]","[1742747800.8221388, 1742747800.826889, 0.813001206931606]","[1742747919.267478, 1742747919.272082, 0.816827402830124]"
"[1742747444.8653333, 1742747444.8709726, 1.041902857065201]","[1742747563.5177114, 1742747563.5221379, 0.8608085842132567]","[1742747682.6944983, 1742747682.7017386, 1.3997807922363281]","[1742747801.0624533, 1742747801.0672393, 0.9086200776100157]","[1742747919.508501, 1742747919.5133762, 0.9149402389526367]"
"[1742747445.1036062, 1742747445.1093879, 1.067708969116211]","[1742747563.755657, 1742747563.760871, 1.002225234746933]","[1742747682.941503, 1742747682.9498863, 1.5985310845375063]","[1742747801.3007874, 1742747801.3066957, 1.1076847698688506]","[1742747919.7454982, 1742747919.7510371, 1.0687828674316404]"
"[1742747445.3392925, 1742747445.3450408, 1.1120549416542054]","[1742747563.994124, 1742747563.999503, 1.0559062917232513]","[1742747683.1857297, 1742747683.194952, 1.7871374094486236]","[1742747801.541513, 1742747801.5469565, 1.054463638305664]","[1742747919.9828246, 1742747919.988404, 1.0978279886245728]"
"[1742747445.5781546, 1742747445.5830925, 0.9326928222179413]","[1742747564.2348201, 1742747564.2394328, 0.8832860597737305]","[1742747683.4355807, 1742747683.4438217, 1.574455963373184]","[1742747801.782785, 1742747801.7881234, 1.00220489358902]","[1742747920.2228234, 1742747920.2276564, 0.9156859602928162]"
"[1742747445.816886, 1742747445.8219151, 0.9297685995101929]","[1742747564.4820318, 1742747564.4874327, 1.0521593656539918]","[1742747683.6901462, 1742747683.700042, 1.9147089533805848]","[1742747802.0216026, 1742747802.027374, 1.109285978794098]","[1742747920.4634128, 1742747920.4684181, 0.9804098052978516]"
