time,G_grid,W_grid,P_grid,R_grid,G_solar,W_solar,P_solar,R_solar,D_dc,D_grid,GPU_power,operations,job_completion,total_job_completion,minimum_cost
7,150.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,['Process 2 is executed'],0.038461538461538464,100.00%,33.03
8,0.0,43.05600000000001,0.0,0.0,193.056,43.05600000000001,150.0,0.0,0.0,0.0,150.0,['Process 2 is executed'],0.038461538461538464,100.00%,33.03
9,0.0,306.187,0.0,0.0,456.187,306.187,150.0,0.0,0.0,0.0,150.0,['Process 2 is executed'],0.038461538461538464,100.00%,33.03
10,0.0,548.037,0.0,0.0,698.037,548.037,150.0,0.0,0.0,0.0,150.0,['Process 2 is executed'],0.038461538461538464,100.00%,33.03
11,0.0,648.739,0.0,0.0,798.739,648.739,150.0,0.0,0.0,0.0,150.0,['Process 2 is executed'],0.038461538461538464,100.00%,33.03
12,0.0,594.47,0.0,0.0,744.47,594.47,150.0,0.0,0.0,0.0,150.0,['Process 2 is executed'],0.038461538461538464,100.00%,33.03
13,0.0,150.861,0.0,0.0,550.861,150.861,150.0,250.0,0.0,0.0,150.0,['Process 2 is executed'],0.038461538461538464,100.00%,33.03
14,0.0,100.72699999999998,0.0,0.0,276.852,100.72699999999998,150.0,26.125,0.0,0.0,150.0,['Process 2 is executed'],0.038461538461538464,100.00%,33.03
15,0.0,0.0,0.0,0.0,47.432,0.0,47.432,0.0,113.96444444444444,0.0,150.0,['Process 2 is executed'],0.038461538461538464,100.00%,33.03
16,31.627331281249,0.0,31.627331281249,0.0,0.0,0.0,0.0,0.0,131.52518746527778,0.0,150.0,['Process 2 is executed'],0.03846153846153832,100.00%,33.03
17,150.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,['Process 2 is executed'],0.038461538461538464,100.00%,33.03
18,150.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,['Process 2 is executed'],0.038461538461538464,100.00%,33.03
19,150.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,['Process 2 is executed'],0.038461538461538464,100.00%,33.03
20,150.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,['Process 2 is executed'],0.038461538461538464,100.00%,33.03
21,150.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,['Process 2 is executed'],0.038461538461538464,100.00%,33.03
22,150.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,['Process 2 is executed'],0.038461538461538464,100.00%,33.03
23,150.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,['Process 2 is executed'],0.038461538461538464,100.00%,33.03
24,150.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,['Process 2 is executed'],0.038461538461538464,100.00%,33.03
25,150.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,['Process 2 is executed'],0.038461538461538464,100.00%,33.03
26,150.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,['Process 2 is executed'],0.038461538461538464,100.00%,33.03
27,150.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,['Process 2 is executed'],0.038461538461538464,100.00%,33.03
28,150.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,['Process 2 is executed'],0.038461538461538464,100.00%,33.03
29,395.9039433893755,0.0,150.0,245.9039433893755,0.0,0.0,0.0,0.0,0.0,0.0,150.0,['Process 2 is executed'],0.038461538461538464,100.00%,33.03
30,179.79301869481424,0.0,150.0,29.793018694814236,0.0,0.0,0.0,0.0,0.0,0.0,150.0,['Process 2 is executed'],0.038461538461538464,100.00%,33.03
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.66666666666666,0.0,150.0,['Process 2 is executed'],0.038461538461538464,100.00%,33.03
32,0.0,0.0,0.0,0.0,79.149,0.0,79.149,0.0,78.72333333333333,0.0,150.0,['Process 2 is executed'],0.038461538461538464,100.00%,33.03
